Company,Year_term,Hydroelectric_Number_of_sites,Hydroelectric_Capacity_in_total (kW),Conventional_thermal_power_Number_of_sites,Conventional_thermal_power_Capacity_in_total (kW),Gas_turbine_Number_of_sites,Gas_turbine_Capacity_in_total (kW),Internal_combustion_engine_Number_of_sites,Internal_combustion_engine_Capacity_in_total (kW),Total_Thermal_Power_Number_of_sites,Total_Thermal_Power_Capacity_in_total (kW),Nuclear_power_Number_of_sites,Nuclear_power_Capacity_in_total (kW),Renewable_energy_Number_of_sites,Renewable_energy_Capacity_in_total (kW),Other_power_sources_Number_of_sites,Other_power_sources_Capacity_in_total (kW),Number_of_sites,Capacity_in_total (kW)
Chugoku,1999,95,2892845,8,7731000,,,3,33900,11,7764900,1,1280000,,,,,107,11937745
Shikoku,1999,57,1122966,4,3137000,,34000,,,4,3171000,1,2022000,,,,,62,6315966
Kyushu,1999,138,2369706,12,10746750,3,3300,36,369494,51,11119544,2,5258000,5,207500,,,196,18954750
Okinawa,1999,,,3,1027000,2,266000,14,151900,19,1444900,,,,,,,19,1444900
Hokkaido,1998,65,1220972,6,3285000,1,148000,4,15510,11,3448510,1,1158000,1,50000,,,78,5877482
Tohoku,1998,212,2434919,8,10315000,,,5,85740,13,10400740,1,1349000,4,223800,,,230,14408459
Tokyo,1998,157,7695150,13,31311000,1,511400,11,45400,25,31867800,3,17308000,1,3300,,,186,56874250
Chubu,1998,180,5210950,12,22940000,,,1,720,13,22940720,1,3617000,,,,,194,31768670
Hokuriku,1998,116,1805500,5,3862000,,,1,288,6,3862288,1,540000,,,,,123,6207788
Kansai,1998,143,8087029,17,19521000,4,400000,,,21,19921000,3,9768000,,,,,167,37776029
Chugoku,1998,95,2892845,8,7731000,,,3,29900,11,7760900,1,1280000,,,,,107,11933745
Shikoku,1998,57,1122966,4,3137000,,34000,,,4,3171000,1,2022000,,,,,62,6315966
Kyushu,1998,137,2347556,12,10746750,3,3300,36,356494,51,11106544,2,5258000,5,207500,,,195,18919600
Okinawa,1998,,,3,1027000,2,266000,14,151950,19,1444950,,,,,,,19,1444950
Hokkaido,1997,64,1210972,6,3285000,1,148000,4,15510,11,3448510,1,1158000,1,50000,,,77,5867482
Tohoku,1997,212,2434639,8,9315000,,,5,85740,13,9400740,1,1349000,4,223800,,,230,13408179
Tokyo,1997,156,7663780,13,31212400,1,526400,11,45400,25,31784200,3,17308000,,,,,184,56755980
Chubu,1997,180,5210340,12,21482000,,,1,720,13,21482720,1,3617000,,,,,194,30310060
Hokuriku,1997,117,1806530,5,3162000,,,1,288,6,3162288,1,540000,,,,,124,5508818
Kansai,1997,142,7359829,17,19521000,4,400000,,,21,19921000,3,9768000,,,,,166,37048829
