Company,Year_term,Assets_Noncurrent assets (M. JPY),Assets_Electric utility plants and equipment (M. JPY),Assets_Hydroelectric power production facilities (M. JPY),Assets_Thermal power production facilities (M. JPY),Assets_Nuclear power production facilities (M. JPY),Assets_Internal-combustion power production facilities (M. JPY),Assets_Renewable energy power production facilities &c. (M. JPY),Assets_Transmission facilities (M. JPY),Assets_Transformation facilities (M. JPY),Assets_Distribution facilities (M. JPY),Assets_General facilities (M. JPY),Assets_Inactive facillites (M. JPY),Assets_Loaned faciliteis (M. JPY),Assets_Incidental business facillities (M. JPY),Assets_Non-operating facillities (M. JPY),Assets_Construction/Retirement in progress (M. JPY),Assets_Construction in progress (M. JPY),Assets_Retirement in progress (M. JPY),Assets_Nuclear power aboltion related in progress (M. JPY),Assets_Nuclear fuel (M. JPY),Assets_Loaded nuclear fuel (M. JPY),Assets_Nuclear fuel in processing (M. JPY),Assets_Investments and other assets (M. JPY),Assets_Long-term investments (M. JPY),Assets_Long-term investments to affiliates &c. (M. JPY),Assets_Fund for reprocessing of spent fuel (M. JPY),Receivable Nuclear Damage Compensation Support Organization Fund Grant (M. JPY),Receivable Nuclear Decomissioning Compensation Support Organization Fund Grant (M. JPY),Assets_Long-term prepaid expences (M. JPY),Assets_prepaid pension expences (M. JPY),Assets_Deferred tax assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract) (M. JPY)",Assets_Current assets (M. JPY),Assets_Cash and deposits (M. JPY),Assets_Accounts recievable trade (M. JPY),Assets_Other accounts receivable (M. JPY),Assets_short-term investment (M. JPY),Assets_Inventories (M. JPY),Assets_Prepaid money (M. JPY),Assets_Prepaid expenses (M. JPY),Assets_Short-term receivables from affiliates &c. (M. JPY),Assets_Deferred tax assets2 (M. JPY),Assets_Other current assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract)2 (M. JPY)",Assets_Total (M. JPY)
会社名,年期,1_固定資産,Ｉ電気事業固定資産,水力発電設備,汽力発電設備,原子力発電設備,内燃力発電設備,新エネルギー等発電設備,送電設備,変電設備,配電設備,業務設備,休止設備,貸付設備,II附帯事業固定資産,III事業外固定資産,IV固定資産仮勘定,建設仮勘定,除却仮勘定,原子力廃止関連仮勘定,Ｖ核燃料,装荷核燃料,加工中等核燃料,VI投資その他の資産,長期投資,関係会社長期投資,使用済燃料再処理等積立金,未収原子力損害賠償支援機構資金交付金,未収原賠廃炉等支援機構資金交付金,長期前払費用,前払年金費用,繰延税金資産,貸倒引当金貸方,2_流動資産,現金および預金,売掛金,諸未収入金,短期投資,貯蔵品,前払金,前払費用,関係会社短期債権,繰延税金資産2,雑流動資産,貸倒引当金貸方2,合計
Kansai,1979,2956256,2163214,283340,255949,349257,9203,,510174,349931,349430,54839,,1090,,880,244223,243043,1180,,436996,44221,392775,110943,78244,10436,,,,19334,,,-453,247167,61223,48105,14489,26515,85741,2417,4371,130,,4818,-639,3203423
Chugoku,1979,947847,706883,92593,149642,27083,12199,,137834,99435,159418,28678,,,,4231,106724,106260,464,,70142,4427,65715,59866,48037,8642,,,,3098,,,-11,132144,30270,24837,12712,24527,34293,,535,372,,4927,-329,1081152
Shikoku,1979,667823,394670,43955,78981,61326,590,,67566,41311,77807,23134,,,,242,160937,160672,266,,75735,4235,71500,36239,27215,6442,,,,2625,,,-96,64951,18550,16497,864,3421,22822,778,123,39,,2039,-180,732774
Kyushu,1979,1373686,864079,89657,194698,29680,15802,,215708,95616,186880,36038,,,,3645,307650,307510,140,,121412,4177,117235,76899,58210,15074,,,,3480,,,-292,147691,58729,23401,6230,7956,41768,,682,113,,9102,-288,1523676
Okinawa,1979,94,88,,28,,10,,12,9,26,3,,,,1,5,5,,,,,,,,a,,,,,,,,7,1,1,,,5,,a,,,a,,101518
Hokkaido,1978,522633,404200,77893,94702,,8823,,76158,37117,90629,18540,,338,,718,80918,80906,12,,13165,,13165,23631,17313,4636,,,,1654,,,-1,47664,14941,6514,340,6977,18687,,37,58,,208,-95,570297
Tohoku,1978,1076777,721738,95984,126769,,4065,,171820,102412,177249,43438,,,,2586,230754,230742,12,,46840,,46840,74859,42813,23943,,,,8001,,,-14,115140,56284,28151,963,9773,18699,,309,856,,517,-409,1191917
Tokyo,1978,4508752,2781126,120002,489355,268791,9178,,694301,471760,660477,66105,,1158,,448,1175308,1174524,784,,415929,60364,355565,135941,57091,52345,,,,17877,,,-97,294772,85286,93255,10947,757,49057,10923,3829,1428,,40779,-1489,4803524
Chubu,1978,1726899,1271787,148053,240033,119752,988,,273493,144132,307057,37649,147,483,,1735,253444,252625,819,,140573,18036,122537,59361,47761,7485,,,,3292,,,-333,178294,107640,33720,2492,1012,31424,174,944,86,,1289,-484,1905193
Hokuriku,1978,423060,280580,78946,40458,,30,,51824,31544,65254,11600,,923,,659,89429,89407,22,,20912,,20912,31481,17063,10045,,,,2336,,,-78,39369,10963,13491,615,7714,6442,,94,86,,223,-257,462429
Kansai,1978,2762384,1885222,261508,219001,282138,10300,,453338,304461,304155,49217,,1105,,883,371476,370738,738,,403001,46350,356651,101802,74731,10522,,,,15287,,,-453,159555,56638,41450,3999,3989,48399,1720,2095,137,,1769,-639,2921939
Chugoku,1978,821752,553817,84977,101884,29938,12733,,113153,63724,124500,22907,,,,4466,155227,154964,262,,50472,6822,43650,57771,45969,8713,,,,3052,,,-21,75454,27475,17648,1440,12754,15357,,204,423,,431,-276,897922
Shikoku,1978,571327,372979,43754,88654,67322,564,,56738,34289,66871,14788,,,,245,116590,116568,22,,47558,2703,44855,33956,24308,6552,,,,3137,,,-96,45836,17645,13327,544,3789,8665,1568,80,22,,379,-180,617164
Kyushu,1978,1156257,755104,90145,178881,32393,12702,,165406,83381,165705,26493,,,,2545,260165,260077,88,,71059,2801,68258,67383,49102,14720,,,,3441,,,-282,129434,85824,19282,3675,,20410,,291,119,,124,-290,1285691
Okinawa,1978,88,85,,30,,9,,12,8,23,3,,,,1,2,2,,,,,,,,a,,,,,,,,5,2,1,,,3,,a,a,,a,,93608
Hokkaido,1977,428969,302587,63736,37403,,1845,,69104,32683,80754,16723,,338,,981,99959,99955,4,,1654,,1654,23788,17525,4646,,,,1595,,,1,43201,14213,6310,516,3732,18277,,16,43,,188,-93,472171
Tohoku,1977,893093,662875,92708,134419,,2603,,155685,88811,154451,34199,,,,1571,141069,141067,2,,18029,,18029,69549,41721,21118,,,,6658,,,-14,131902,45229,24780,824,39733,20145,,239,572,,736,-354,1024995
Tokyo,1977,3622900,2370964,117304,502310,116824,8537,,609094,406758,555205,53662,,1270,,524,935896,935408,488,,185113,43229,141884,130404,57948,50905,,,,14353,,,-65,246713,73934,92645,8804,646,46629,7002,2575,932,,14989,-1442,3869613
Chubu,1977,1515773,1105303,139823,234362,44050,1108,,252618,129169,275077,28334,278,483,,1837,284428,283951,477,,66970,23734,43236,57235,47045,6904,,,,2667,,,-310,116701,41045,35600,3954,1000,33321,174,764,115,,1255,-524,1632474
Hokuriku,1977,355101,260327,64879,45070,,7,,47531,29529,61249,11006,,1056,,589,55709,55661,48,,9863,,9863,28612,17019,9085,,,,2194,,,-75,45277,10438,14101,923,13190,6500,57,92,65,,86,-175,400378
Kansai,1977,2325195,1569008,195288,218127,154780,11559,,414086,267112,263192,43863,,1001,,862,477235,476551,684,,192540,38748,153792,85550,71628,10425,,,,2861,,,-434,157394,47339,44057,2945,113,55055,3760,1878,115,,2813,-679,2482589
Chugoku,1977,683881,498663,83063,120235,32717,13619,,83067,50522,96615,18825,,,,4154,98861,98760,101,,26969,5639,21330,55233,43768,8735,,,,2714,,,-14,112060,62050,17752,1188,13461,16090,1090,171,290,,253,-286,796660
Shikoku,1977,471166,355093,36816,99667,76002,631,,49333,29884,52380,10379,,,,200,74074,73973,102,,23289,4794,18494,18509,9887,6317,,,,2369,,,-88,73800,38186,13276,882,7672,11086,2440,221,23,,194,-181,544965
Kyushu,1977,939744,689229,87950,160612,36262,10557,,148578,75280,143901,26089,,,,2681,156117,156098,19,,27141,5227,21915,64576,46916,14693,,,,2807,,,-268,100745,40884,20278,5141,14018,19953,419,143,125,,111,-329,1040488
Okinawa,1977,85,73,,23,,8,,12,8,19,3,,,,1,11,11,,,,,,,,a,,,,,,,,6,1,1,a,,3,,a,a,,a,,90494
Hokkaido,1976,362676,255575,63550,21878,,1644,,55507,29316,68875,14466,,338,,580,80280,80256,24,,1652,,1652,24589,18797,4228,,,,1457,,,-1,46275,16299,5683,528,7130,16443,,8,49,,219,-84,409702
Tohoku,1976,794129,558354,87245,83159,,2768,,141587,81308,132791,29498,,,,1855,148564,148554,11,,17172,,17172,68182,42774,19273,,,,6080,,,-9,140803,46639,26226,1008,39424,26568,,252,455,,595,-364,934932
Tokyo,1976,3029739,2008656,114572,444261,123537,7210,,487283,327820,463588,39139,,1246,,626,748999,748510,490,,148387,15913,132474,123071,61469,46193,,,,10842,,,-80,240502,81058,88111,6665,797,52413,999,2417,1064,,8327,-1351,3270241
Chubu,1976,1309867,961771,139862,181087,46560,1264,,207251,114654,246140,24669,283,,,2159,241625,241333,291,,46819,4858,41961,57493,43919,6902,,,,5446,,,-219,147130,46160,35748,3066,26842,34198,,790,56,,778,-506,1456997
Hokuriku,1976,325422,255937,66857,50005,,6,,44443,27687,56431,9588,,921,,890,32861,32860,1,,9975,,9975,25759,16363,6972,,,,2024,,,-73,53584,9761,13700,1770,21296,6948,,121,83,,76,-171,379006
Kansai,1976,2092627,1403319,190617,153789,179377,12318,,355095,244287,230458,36698,,679,,880,452293,451467,826,,158007,23730,134278,78126,66954,9353,,,,1179,,,-280,165821,43657,42427,2505,13491,58678,1596,1938,4,,2211,-686,2266063
Chugoku,1976,577033,428412,83105,88295,34202,14471,,75632,42307,77042,13359,,,,4007,79223,79145,78,,20127,3367,16760,45263,34413,8493,,,,2342,,,-18,87377,24122,18379,1001,26591,17002,,291,164,,117,-292,665021
Shikoku,1976,415883,267898,35164,115089,,704,,43459,23034,41198,9249,,,,228,119970,119946,24,,12128,7545,4583,15659,8141,5726,,,,1845,,,-76,42832,16451,12966,537,1056,11664,,213,10,,111,-175,458715
Kyushu,1976,821400,589788,88884,109517,48652,8303,,118148,66199,125718,23733,634,,,2293,150204,150194,9,,18949,4502,14447,60167,44219,13716,,,,2101,,,-231,113920,59906,19942,1694,10988,19386,1853,191,124,,111,-272,935321
Okinawa,1976,75,69,,25,,5,,12,9,16,3,,,,1,5,5,a,,,,,,,a,,,,,,,,7,3,1,a,,3,,a,a,,a,,82486
Hokkaido,1975,303882,223335,63857,23808,,1766,,44038,21737,55367,12761,,,,889,56303,56291,12,,1650,,1650,21704,17332,3333,,,,982,,,-1,35660,11656,4256,432,6421,12694,,12,51,,203,-64,341243
Tohoku,1975,681280,499409,81557,89986,,2726,,116087,71161,113025,24867,,,,1983,113558,113534,24,,8734,,8734,57597,36840,15613,,,,5092,,,-24,94180,37130,19015,527,15391,19834,,237,1857,,439,-252,779121
Tokyo,1975,2567503,1778804,115497,399058,128504,6704,,430531,270932,391450,34875,,1253,,1058,547624,547333,291,,124147,21444,102703,115869,63597,38950,,,,9985,,,-60,218027,76966,73108,5633,739,53572,1722,1944,998,,4470,-1124,2796255
Chubu,1975,1125806,865660,96385,191598,59211,1445,,178177,96530,220116,21670,528,,,2014,176377,175984,393,,37432,5382,32050,44323,34336,6974,,,,2254,,,-114,128391,51548,27529,1952,11491,34184,230,755,56,,1031,-386,1256220
Hokuriku,1975,303927,243684,62429,54623,,6,,40794,26421,50009,9173,,229,,966,28190,28163,27,,8666,,8666,22422,13158,7121,,,,1450,,,-71,46593,9251,10060,1066,15915,9100,,106,1163,,71,-139,351944
Kansai,1975,1854603,1300316,193813,170291,145497,13151,,321507,222356,200362,32710,,631,,861,381428,380101,1327,,114256,24919,89337,57740,46480,9309,,,,1122,,,-9,144530,38662,32728,2209,6903,54318,7027,1630,117,,1427,-491,2005980
Chugoku,1975,494229,364299,51287,95033,35543,8393,,65179,39152,60069,9642,,,,2101,73090,73020,69,,13815,3402,10414,40924,30813,8462,,,,1654,,,-19,76848,20174,14613,817,26127,14776,,242,44,,286,-231,571453
Shikoku,1975,346503,226822,34674,95214,,785,,32674,20898,34136,8441,,,,334,97387,97356,31,,7838,,7838,14120,1162,5394,,,,1605,,,-67,42602,11570,9749,541,8631,10701,1347,68,12,,116,-133,390560
Kyushu,1975,692207,519147,90634,88945,49639,6521,,96566,53958,110469,21980,435,,,1900,105863,105853,10,,15563,4124,11439,49733,36245,11797,,,,1495,,,-133,88332,35875,13500,1802,18146,18831,,138,116,,123,-200,781405
Okinawa,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63774
Hokkaido,1974,246237,189475,60337,25567,,1663,,30803,18236,42129,10738,,,,527,37798,37771,27,,1650,,1650,16630,14140,2490,,,,138,,,,24408,9433,3426,211,1439,9769,,9,37,,134,-51,271881
Tohoku,1974,573278,442857,77204,94811,,1818,,97753,61623,88496,21152,,,,1920,76497,76480,17,,7280,,7280,40546,30255,10299,,,,4097,,,-7,82017,30293,17951,565,13823,17977,,241,1002,,405,-240,657668
Tokyo,1974,2309437,1578360,118797,356263,76686,5848,,407438,232141,345825,34091,,1273,,1169,502253,502185,68,,109927,22219,87708,109835,76584,33321,,,,5257,,,-70,186524,55582,66859,5883,634,46366,2245,2349,1607,,6047,-1048,2504726
Chubu,1974,973336,741392,96072,184573,,1613,,155586,93023,188100,21903,522,,,1404,158776,158264,512,,35094,7017,28077,34593,27546,7047,,,,1381,,,,146459,81573,23927,2018,1020,36260,,711,103,,1189,-341,1123984
Hokuriku,1974,275587,215184,64166,46337,,6,,35448,19760,41162,8218,,88,,904,31753,31749,3,,7192,,7192,18794,12070,6789,,,,842,,,-65,37670,8118,9597,517,9173,8594,,117,1623,,68,-137,314597
Kansai,1974,1648874,1184012,183392,189322,96129,13868,,293148,200748,177636,29137,,631,,782,317649,317288,361,,96427,18992,77435,48379,38959,9420,,,,1049,,,,125579,35545,29370,2383,5466,49268,1283,1609,67,,1042,-454,1780747
Chugoku,1974,431670,315362,43169,83057,36768,308,,59320,34447,49617,8677,,,,836,66848,66795,53,,13973,4978,8995,33685,25406,8297,,,,957,,,-18,77901,26546,12452,869,23719,13917,40,258,32,,266,-197,509737
Shikoku,1974,284225,171349,33184,57681,,865,,24804,18396,27835,8543,,40,,274,94819,94819,,,5722,,5722,11384,6323,5122,,,,627,,,-61,31829,7314,8645,331,7372,8082,,63,9,,131,-118,317371
Kyushu,1974,588484,403904,63939,97512,,4845,,84558,40984,92345,19722,,,,2421,121958,121739,218,,15990,5966,10023,42948,32888,10064,,,,867,,,-3,80829,36008,11529,1861,13000,17941,,188,177,,294,-167,669931
Okinawa,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57493
Hokkaido,1973,203252,153492,43537,27437,,1709,,23427,15236,33364,8783,,,,495,33863,33806,58,,1650,,1650,13740,11276,2465,,,,,,,,15603,5141,2350,144,1848,5873,98,73,36,,73,-34,219434
Tohoku,1973,491890,386555,77917,80123,,847,,83880,50404,74037,19348,,,,2032,58600,58558,42,,6533,,6533,36611,29480,7148,,,,1527,,,-15,63514,26114,10526,573,15089,9463,,496,850,,541,138,556591
Tokyo,1973,1931058,1330415,122466,290061,25093,5408,,348699,209796,294404,33021,,1468,,1154,399987,399756,231,,93885,15041,78844,100807,70602,30283,,,,2684,,,-78,127055,44042,35814,3583,620,32254,242,2238,525,,8284,-548,2064186
Chubu,1973,847339,660835,98858,171324,,1776,,135310,81097,150018,21930,521,,,1126,118813,118130,683,,34812,,34812,30302,24351,6011,,,,522,,,,69862,32849,12616,1858,3726,16211,,811,104,,1863,-176,919350
Hokuriku,1973,230230,167226,65496,22788,,a,,21531,17249,32567,7499,,95,,914,36690,36662,28,,6588,,6588,17681,10968,6781,,,,246,,,-66,22591,7217,5650,532,5589,2988,,257,294,,147,-82,253492
Kansai,1973,1451237,960436,148903,188400,36702,7344,,256604,147203,147108,27541,,631,,736,363730,363586,144,,80693,14940,65754,44286,34767,9519,,,,965,,,,96332,32970,18880,4417,6812,31353,,703,48,,1451,-301,1553656
Chugoku,1973,363664,271303,44039,62226,36674,319,,49812,30510,39738,7986,,,,609,52366,52138,228,,14684,7261,7423,24425,16606,7837,,,,271,,,-17,32800,16776,6715,564,1788,6517,2,260,134,,150,-108,396465
Shikoku,1973,232093,152890,33401,49238,,685,,21863,15339,23684,8356,285,39,,260,62394,62326,68,,5709,,5709,10686,5475,5211,,,,66,,,,19146,4842,5158,259,5347,3248,70,112,114,,71,-73,252255
Kyushu,1973,502696,347981,63179,81369,,4048,,74063,34083,74454,16785,,,,1976,99320,99308,12,,14085,,14085,38726,29378,9351,,,,246,,,-3,53986,23847,6982,2220,11500,8848,,315,116,,260,-101,556881
Okinawa,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44172
Hokkaido,1972,172085,135626,46322,19529,,1441,,21603,13119,28081,7531,,,,506,25095,25064,31,,,,,10846,8681,7165,,,,,,,-1,17902,8635,1939,101,1702,4284,1016,82,25,,145,-27,190114
Tohoku,1972,431468,345325,76532,67558,,940,,75572,43091,64136,17497,,,,2247,49926,49898,28,,953,,953,31561,25365,6211,,,,1431,,,-15,65938,26982,8336,362,20949,4905,2562,431,573,,956,-117,497406
Tokyo,1972,1627948,1223088,126933,275864,24975,5548,,327585,172926,255415,32379,,1464,,726,272855,272292,562,,32102,14759,17343,94526,67555,27026,,,,3087,,,-55,151953,69323,31280,2991,481,15731,27228,1405,564,,3427,-475,1784060
Chubu,1972,179355,599868,101822,161540,,2000,,116831,76584,120528,20505,57,,,1128,86740,85859,381,,4432,,4432,26534,20566,5968,,,,1103,,,,100805,47366,12126,2065,15288,10008,13365,346,45,,369,-173,820160
Hokuriku,1972,192356,160844,67757,25416,,a,,18690,15057,26931,6886,,106,,747,12807,12775,32,,971,,971,15769,9124,6707,,,,250,,,-62,30046,5679,5762,420,14027,1353,2553,227,41,,62,-77,222617
Kansai,1972,1124878,765481,122364,147766,39796,2962,,189329,114507,124223,23971,,552,,745,296127,295913,215,,22546,6430,16116,38705,30277,8428,,,,959,,,,106331,22298,14141,3225,22249,17491,25952,860,66,,283,-233,1234441
Chugoku,1972,309271,207812,45177,55933,,330,,38611,27515,33189,7057,,,,534,71503,71417,86,,8718,,8718,20434,13054,7392,,,,264,,,-12,38303,9801,5271,2010,15960,2392,2558,124,73,,222,-107,347574
Shikoku,1972,187587,128231,33631,36469,,747,,18207,11584,19960,7214,379,41,,329,49699,49689,10,,,,,9192,4649,4543,,,,,,,,16936,4217,3667,202,3315,2415,2978,104,2,,88,-52,204926
Kyushu,1972,434055,294536,56290,63186,,4019,,61501,27722,66665,15151,,,,2096,101267,106244,23,,2032,,2032,33825,25205,8626,,,,250,,,-6,55863,14612,6095,1459,23544,5620,4254,174,88,,106,-90,489918
Okinawa,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32977
Hokkaido,1971,156656,127968,39307,22025,,1785,,19241,12736,25692,7182,,,,589,18638,18613,24,,,,,9451,7572,1880,,,,1,,,-1,16452,9178,1670,234,1694,3528,,96,29,,49,-26,173109
Tohoku,1971,388436,324008,79270,68841,,703,,63083,36963,58977,16171,,,,1022,33758,33743,14,,516,,516,28541,23327,5236,,,,572,,,-22,59061,22182,7463,243,21552,5737,,496,850,,644,-107,447497
Tokyo,1971,1431651,1120980,131296,270927,27445,5785,,274341,148443,231681,29547,,1513,,560,201173,200925,248,,22388,5178,17210,82135,59347,22846,,,,2736,,,-59,106110,53687,28104,3180,481,17164,,1446,298,,2183,-432,1540653
Chubu,1971,649359,519155,105362,125028,,2323,,95259,68368,104060,18719,37,,,731,103502,103063,438,,2216,,2216,23194,17074,6120,,,,250,,,,49306,23836,10425,1980,3660,8029,511,360,89,,563,-147,698665
Hokuriku,1971,178120,141984,70431,11814,,a,,15539,14552,22877,6657,,115,,770,13919,18905,14,,528,,528,14588,8158,6485,,,,252,,,-55,31281,5427,4784,384,19123,1100,,221,38,,270,-66,209400
Kansai,1971,937684,666751,126523,161537,19197,,,139528,88877,107264,23275,,550,,2367,215267,214981,287,,16723,2927,13796,35473,27356,8117,,,,950,,,,72490,16750,12463,2229,24932,14982,,694,73,,579,-211,1011311
Chugoku,1971,260882,167783,46859,33971,,162,,28181,22671,29143,6796,,,,552,68947,68805,142,,5709,,5709,17626,11372,6269,,,,257,,,-15,37902,9487,4359,787,20557,2371,12,124,37,,239,-71,298784
Shikoku,1971,157633,110458,34653,27939,,856,,13449,9256,17951,6309,,44,,1462,38663,38657,7,,,,,6864,3852,3012,,,,,,,,16066,3946,3132,168,6550,2037,,113,49,,116,-45,173699
Kyushu,1971,371678,263497,57861,55507,,2893,,46915,24979,60813,14530,,,,2503,71695,71678,17,,548,,548,33110,22080,11033,,,,252,,,-3,44059,13728,5056,1183,18026,5390,,246,424,,84,-78,415737
Okinawa,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1970,145424,124679,37710,25418,,2038,,17548,11537,23670,6758,,,,577,11565,11556,9,,,,,8570,6988,1588,,,,23,,,1,13083,6859,1786,292,1314,2577,,68,35,,182,-28,158604
Tohoku,1970,349318,284013,82473,53497,,792,,45920,32693,53900,14737,,,,1154,38887,38864,23,,52,,52,24930,19975,4954,,,,262,,,,33188,14150,7317,272,5582,4678,,334,523,,456,-125,382505
Tokyo,1970,1249525,1005050,132256,226865,30655,1957,,241882,125607,213951,30300,,1578,,559,154735,154636,99,,16425,6988,9437,69642,47848,21866,,,,1813,,,-72,111878,64380,25462,2638,557,16358,,1401,325,,1145,-389,1361403
Chubu,1970,540716,455289,108608,101229,,478,,79005,58709,89405,17740,114,,,702,63105,62654,451,,988,,988,19674,13601,6073,,,,252,,,,34315,13404,962,3082,868,5786,511,294,112,,535,-139,575031
Hokuriku,1970,162514,138416,72395,13591,,a,,14200,13134,20004,4965,,126,,289,9330,9328,2,,54,,54,12905,7253,5699,,,,262,,,-46,19142,4573,5013,318,7507,956,,150,616,,86,-77,181656
Kansai,1970,801949,622211,130240,147541,21982,,,123943,79571,97903,20481,,550,,1683,132895,132641,255,,12709,4484,8225,31303,23941,7362,,,,980,,,,65135,15544,11691,1278,24002,11168,,671,418,,563,-199,867085
Chugoku,1970,217442,163509,48970,37919,,184,,23823,20721,25600,6291,,,,478,37620,37570,50,,1534,,1534,14069,8552,5538,,,,229,,,-19,19130,7349,4077,306,4709,2328,2,140,88,,196,-66,236573
Shikoku,1970,128535,100406,35719,22473,,1052,,10762,8197,16505,5669,,28,,1549,20859,20859,,,,,,5482,3381,2101,,,,,,,,12848,3921,2566,275,4144,1735,,87,52,,105,-36,141383
Kyushu,1970,324991,240513,55324,50979,,2701,,38491,21972,56212,14832,,,,1684,52136,52130,6,,52,,52,30284,20817,9469,,,,262,,,,36285,10764,4224,1320,15082,4262,,189,446,,70,-71,361277
Okinawa,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1969,134184,120147,39018,28642,,1315,,13599,10279,20873,6422,,,,711,5972,5959,12,,,,,7320,6370,950,,,,22,,,,10281,4216,1856,590,1315,2090,1,48,21,,178,-33,144587
Tohoku,1969,315990,271392,85243,47972,,618,,42002,31184,50655,13717,,,,1236,20530,20523,7,,,,,22591,18228,4364,,,,231,,,,28258,9249,7205,187,6974,3962,,192,342,,247,-101,344248
Tokyo,1969,1106557,904645,132525,210303,,2182,,216257,113346,197620,30763,,1650,,746,151535,151451,83,,,,,47000,26960,20102,,,,1684,,,-61,84698,39622,23557,3558,594,12504,,1212,275,,3750,-375,1191255
Chubu,1969,466827,402243,103812,95429,,536,,64264,48442,73586,16059,114,,,709,46328,45970,358,,,,,17146,11335,5811,,,,253,,,,42025,24649,8949,1802,890,4268,,153,214,,1224,-124,508853
Hokuriku,1969,154637,139544,75866,16008,,,,13282,11959,18115,4282,,31,,400,2365,2342,24,,,,,10400,6533,3910,,,,231,,,-42,13987,3124,4635,371,3995,937,,82,582,,330,-70,168624
Kansai,1969,711719,547988,133312,119510,,,,112968,72175,89184,20296,,543,,1738,132853,132749,105,,,,,27978,20685,7293,,,,1011,,,,53047,11903,10781,1218,14473,10193,,392,621,,3654,-188,764766
Chugoku,1969,183019,145060,51335,30111,,162,,18038,16975,22262,6177,,,,403,24722,24605,118,,,,,12561,7660,4925,,,,271,,,-22,20573,6352,3645,230,7578,1754,89,85,35,,860,-57,203591
Shikoku,1969,113939,93509,36742,17738,,1221,,9897,7552,14970,5389,,,,1238,14098,14098,,,,,,4886,2907,1978,,,,,,,,10826,3336,2213,239,3599,1206,,75,31,,159,-31,124765
Kyushu,1969,285885,230891,57112,49426,,2450,,34718,19807,53075,14300,,4,,1648,31504,31479,25,,,,,21555,13319,8237,,,,231,,,1,26769,8803,3843,1108,8868,3760,,165,154,,132,-65,312684
Okinawa,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1968,125945,110563,38794,26363,,84,,12454,9148,18089,5631,,,,673,88450,8443,7,,,,,6221,5872,350,,,,27,,,,9640,4892,1486,302,1567,1228,1,19,16,,154,-25,135586
Tohoku,1968,289723,256571,88709,45971,,697,,33106,27554,47753,12781,,,,1258,15811,15769,41,,,,,15694,11578,4116,,,,192,,,,26780,7265,6953,376,7522,3945,,141,504,,173,-99,316503
Tokyo,1968,976144,796788,96106,201806,,564,,181563,105266,179102,31034,,1347,,759,139971,139759,211,,,,,36362,19035,17387,,,,1523,,,-60,65517,29562,18813,2988,1510,10755,,614,238,,1329,-290,1041662
Chubu,1968,431435,378207,90352,109373,,608,,56016,44992,63105,13565,197,,,680,35808,35583,225,,,,,16152,10662,5490,,,,247,,,,38503,14528,7987,1150,9835,4472,,142,115,,380,-105,469939
Hokuriku,1968,150256,132245,79207,8943,,,,12009,11665,16427,3984,,10,,388,7475,7474,1,,,,,8154,5825,2366,,,,192,,,-37,12284,2814,3714,303,4411,842,,59,99,,92,-51,162540
Kansai,1968,630604,505374,127529,124713,,,,88330,64405,80998,18855,,543,,1433,98233,98112,122,,,,,24502,17366,7137,,,,994,,,,58732,12248,9050,2742,22096,11284,,239,362,,875,-164,689336
Chugoku,1968,163014,137464,47054,34330,,185,,15001,15263,20036,5594,,,,541,14597,14587,11,,,,,10137,6482,3681,,,,274,,,-25,18378,6059,2997,279,6953,1779,81,52,43,,184,-49,181392
Shikoku,1968,102282,91852,38215,19679,,6,,9019,6074,13793,5066,,,,800,5158,5158,,,,,,4309,2493,1816,,,,,,,,6826,2922,1829,232,737,902,,32,94,,102,26,109109
Kyushu,1968,267415,218402,57678,44685,,2096,,31065,18428,51010,13437,,3,,1103,28289,28240,49,,,,,19340,11830,7512,,,,192,,,-1,21728,8286,3941,1367,4489,3392,,120,73,,130,-71,289459
Okinawa,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1967,121082,103514,40678,21461,,95,,12117,8731,16064,4368,,,,740,11270,11265,5,,,,,5519,5469,50,,,,27,,,,8850,3722,1505,202,1637,1563,,11,16,,218,-24,129935
Tohoku,1967,277399,251359,92416,43098,,590,,30330,26709,45929,12287,,,,1230,12950,12928,22,,,,,11441,7357,4085,,,,154,,,,23238,6859,5999,473,5005,4275,,87,457,,85,-3,300637
Tokyo,1967,883496,756938,96095,213429,,550,,158494,97908,159945,29153,,1365,,1243,92796,92251,545,,,,,30670,15195,15528,,,,1264,,,-53,56223,22504,16189,1779,2578,11042,,554,186,,1638,-249,939719
