Company,Year_term,Peak demand (MW),Time and date of occurrence (Y/M/D/H)
会社名,年期,総合計,最大発生日時
Tokyo,201105,35439,2011.05.20.15
Chubu,201105,18422,2011.05.10.15
Hokuriku,201105,3899,2011.05.11.15
Kansai,201105,20712,2011.05.11.17
Chugoku,201105,8039,2011.05.10.14
Shikoku,201105,4028,2011.05.10.15
Kyushu,201105,11882,2011.05.11.15
Okinawa,201105,1203,2011.05.23.20
Hokkaido,201104,4550,2011.04.02.19
Tohoku,201104,10318,2011.04.19.17
Tokyo,201104,35746,2011.04.19.19
Chubu,201104,18318,2011.04.05.10
Hokuriku,201104,4187,2011.04.11.15
Kansai,201104,20960,2011.04.04.20
Chugoku,201104,8203,2011.04.19.14
Shikoku,201104,3961,2011.04.19.20
Kyushu,201104,11405,2011.04.19.20
Okinawa,201104,1021,2011.04.30.20
Hokkaido,201103,5454,2011.03.03.19
Tohoku,201103,13893,2011.03.03.19
Tokyo,201103,50233,2011.03.07.12
Chubu,201103,21626,2011.03.04.10
Hokuriku,201103,4957,2011.03.11.12
Kansai,201103,24448,2011.03.03.19
Chugoku,201103,9735,2011.03.03.19
Shikoku,201103,4684,2011.03.03.19
Kyushu,201103,13703,2011.03.03.19
Okinawa,201103,1034,2011.03.03.20
Hokkaido,201102,5631,2011.02.01.18
Tohoku,201102,14025,2011.02.01.18
Tokyo,201102,51504,2011.02.14.18
Chubu,201102,23390,2011.02.14.17
Hokuriku,201102,5014,2011.02.01.11
Kansai,201102,26652,2011.02.14.18
Chugoku,201102,10613,2011.02.14.12
Shikoku,201102,5142,2011.02.14.14
Kyushu,201102,14743,2011.02.14.19
Okinawa,201102,1076,2011.02.02.20
Hokkaido,201101,5788,2011.01.12.18
Tohoku,201101,14701,2011.01.20.18
Tokyo,201101,50909,2011.01.31.19
Chubu,201101,23421,2011.01.31.10
Hokuriku,201101,5281,2011.01.20.18
Kansai,201101,26268,2011.01.31.19
Chugoku,201101,10737,2011.01.31.19
Shikoku,201101,5200,2011.01.31.19
Kyushu,201101,15334,2011.01.31.19
Okinawa,201101,1143,2011.01.31.20
Hokkaido,201012,5609,2010.12.15.18
Tohoku,201012,14096,2010.12.15.18
Tokyo,201012,48786,2010.12.16.18
Chubu,201012,21930,2010.12.16.18
Hokuriku,201012,5031,2010.12.27.11
Kansai,201012,24947,2010.12.16.18
Chugoku,201012,10182,2010.12.16.19
Shikoku,201012,4951,2010.12.16.18
Kyushu,201012,14815,2010.12.16.19
Okinawa,201012,1105,2010.12.02.19
Hokkaido,201011,5276,2010.11.29.18
Tohoku,201011,12806,2010.11.29.17
Tokyo,201011,45989,2010.11.17.18
Chubu,201011,19993,2010.11.29.18
Hokuriku,201011,4548,2010.11.29.17
Kansai,201011,22155,2010.11.30.18
Chugoku,201011,8960,2010.11.29.19
Shikoku,201011,4249,2010.11.30.18
Kyushu,201011,12616,2010.11.29.19
Okinawa,201011,1068,2010.11.22.19
Hokkaido,201010,4895,2010.10.28.18
Tohoku,201010,12466,2010.10.28.18
Tokyo,201010,44149,2010.10.28.18
