Company,Year_term,Transmission and distribution losses (%),Integrated loss factor (%)
会社名,年期,送配電損失率,総合損失率
Kansai,196811,6.6,10.12
Chugoku,196811,8.8,12.27
Shikoku,196811,9.14,13.11
Kyushu,196811,9.5,14.1
Okinawa,196811,,
Hokkaido,196810,13.39,17.52
Tohoku,196810,96.8,12.22
Tokyo,196810,8.08,11.89
Chubu,196810,7.22,10.96
Hokuriku,196810,6.26,7.64
Kansai,196810,5.89,9.63
Chugoku,196810,6.64,10.12
Shikoku,196810,7.79,11.6
Kyushu,196810,5.75,10.28
Okinawa,196810,,
Hokkaido,196809,9.51,13.58
Tohoku,196809,4.82,7.45
Tokyo,196809,0.78,4.69
Chubu,196809,2.62,6.18
Hokuriku,196809,4,5.4
Kansai,196809,0.2,4.03
Chugoku,196809,1.66,5.25
Shikoku,196809,2.89,5.48
Kyushu,196809,2.94,7.34
Okinawa,196809,,
Hokkaido,196808,9.91,14.06
Tohoku,196808,7.53,10.22
Tokyo,196808,6.95,10.75
Chubu,196808,7.52,12.66
Hokuriku,196808,6.68,8.13
Kansai,196808,7.33,10.85
Chugoku,196808,9.39,12.58
Shikoku,196808,11.78,13.86
Kyushu,196808,11.19,15.19
Okinawa,196808,,
Hokkaido,196807,13.81,18.01
Tohoku,196807,10.43,12.92
Tokyo,196807,11.7,15.27
Chubu,196807,11.4,14.7
Hokuriku,196807,8.16,9.51
Kansai,196807,12.25,15.42
Chugoku,196807,13.97,17.3
Shikoku,196807,12.28,14.72
Kyushu,196807,16.02,19.25
Okinawa,196807,,
Hokkaido,196806,12.19,15.63
Tohoku,196806,8.31,10.29
Tokyo,196806,7.02,10.7
Chubu,196806,6.92,10.71
Hokuriku,196806,6.25,7.41
Kansai,196806,7.67,11.09
Chugoku,196806,7.36,11.11
Shikoku,196806,9.35,12.58
Kyushu,196806,9.65,14.27
Okinawa,196806,,
Hokkaido,196805,13.48,16.5
Tohoku,196805,8.9,10.54
Tokyo,196805,7.15,10.66
Chubu,196805,8.19,11.51
Hokuriku,196805,7.39,8.04
Kansai,196805,8.12,11.1
Chugoku,196805,7.58,11.12
Shikoku,196805,7.97,10.61
Kyushu,196805,10.57,15.19
Okinawa,196805,,
Hokkaido,196804,7.77,11.34
Tohoku,196804,5.11,6.83
Tokyo,196804,3.74,7.45
Chubu,196804,3.06,6.48
Hokuriku,196804,6.38,7.08
Kansai,196804,2.8,5.92
Chugoku,196804,2.29,5.53
Shikoku,196804,4.82,7.27
Kyushu,196804,4.54,8.98
Okinawa,196804,,
Hokkaido,196803,10.23,14.91
Tohoku,196803,8.68,10.93
Tokyo,196803,7.36,11.25
Chubu,196803,7.54,11.28
Hokuriku,196803,7.7,9.11
Kansai,196803,6.55,9.79
Chugoku,196803,7.28,10.23
Shikoku,196803,8.86,11.62
Kyushu,196803,8.86,13.34
Okinawa,196803,,
Hokkaido,196802,5.89,10.94
Tohoku,196802,5.99,8.63
Tokyo,196802,4.18,8.21
Chubu,196802,4.04,8.28
Hokuriku,196802,5.25,6.96
Kansai,196802,2.94,6.68
Chugoku,196802,4.99,8.73
Shikoku,196802,5.45,8.76
Kyushu,196802,6.08,10.85
Okinawa,196802,,
Hokkaido,196801,9.9,14.33
Tohoku,196801,8.99,11.5
Tokyo,196801,6.97,11.09
Chubu,196801,84.4,12.44
Hokuriku,196801,6.65,8.23
Kansai,196801,7.84,11.37
Chugoku,196801,8.58,12.07
Shikoku,196801,8.88,12.09
Kyushu,196801,9.99,14.55
Okinawa,196801,,
Hokkaido,196712,11.09,15.22
Tohoku,196712,10.12,12.48
Tokyo,196712,10.36,14.15
Chubu,196712,10.69,14.51
Hokuriku,196712,9.18,10.61
Kansai,196712,10.28,13.67
Chugoku,196712,12.57,16.07
Shikoku,196712,14.18,17.21
Kyushu,196712,13.65,18.1
Okinawa,196712,,
Hokkaido,196711,8.49,12.53
Tohoku,196711,7.87,10.34
Tokyo,196711,8.45,12.42
Chubu,196711,7.97,11.99
Hokuriku,196711,7.29,8.63
Kansai,196711,7.67,11.22
Chugoku,196711,9.65,13.52
Shikoku,196711,9.2,12.56
Kyushu,196711,10.69,15.49
Okinawa,196711,,
Hokkaido,196710,12.68,16.69
Tohoku,196710,9.04,11.46
Tokyo,196710,7.06,10.96
Chubu,196710,6.21,10.61
Hokuriku,196710,5.67,7.15
Kansai,196710,4.79,8.64
Chugoku,196710,6.84,10.99
Shikoku,196710,6.76,10.32
Kyushu,196710,6.62,11.81
Okinawa,196710,,
Hokkaido,196709,8.61,12.78
Tohoku,196709,4.89,7.55
Tokyo,196709,1.36,5.65
Chubu,196709,4.08,8.09
Hokuriku,196709,4.89,6.33
Kansai,196709,0.69,4.62
Chugoku,196709,2.62,6.89
Shikoku,196709,3.7,7.5
Kyushu,196709,3.41,8.6
Okinawa,196709,,
Hokkaido,196708,9.8,13.88
Tohoku,196708,7.92,10.62
Tokyo,196708,8.43,12.53
Chubu,196708,7.93,11.75
Hokuriku,196708,6.19,7.6
Kansai,196708,7.69,11.39
Chugoku,196708,11.18,15.07
Shikoku,196708,11.6,14.5
Kyushu,196708,11.72,16.08
Okinawa,196708,,
Hokkaido,196707,12.06,15.05
Tohoku,196707,9.7,12.19
Tokyo,196707,11.23,14.98
Chubu,196707,11.43,14.59
Hokuriku,196707,7.67,8.96
Kansai,196707,12.4,15.69
Chugoku,196707,13.9,17.08
Shikoku,196707,14.1,16.6
Kyushu,196707,14.74,18.62
Okinawa,196707,,
Hokkaido,196706,12.37,15.31
Tohoku,196706,8.39,10.92
Tokyo,196706,8.9,12.81
Chubu,196706,7.94,12.1
Hokuriku,196706,6.51,7.86
Kansai,196706,8.27,11.85
Chugoku,196706,9.38,13.2
Shikoku,196706,9.21,12.5
Kyushu,196706,10.07,14.86
Okinawa,196706,,
Hokkaido,196705,12.41,15.03
Tohoku,196705,8.97,10.95
Tokyo,196705,76.9,11.38
Chubu,196705,8.37,11.48
Hokuriku,196705,6.61,7.43
Kansai,196705,8.31,11.34
Chugoku,196705,8.52,11.59
Shikoku,196705,9.84,12.37
Kyushu,196705,10.39,14.31
Okinawa,196705,,
Hokkaido,196704,7.04,10.15
Tohoku,196704,5.24,7.06
Tokyo,196704,3.21,7.08
Chubu,196704,4.2,7.09
Hokuriku,196704,5.88,6.63
Kansai,196704,3.57,6.72
Chugoku,196704,3.57,6.62
Shikoku,196704,7.27,8.95
Kyushu,196704,6.11,9.53
Okinawa,196704,,
Hokkaido,196703,11.42,15.42
Tohoku,196703,9.89,12.14
Tokyo,196703,8.92,12.85
Chubu,196703,9.85,13.16
Hokuriku,196703,8.84,9.81
Kansai,196703,9.46,12.69
Chugoku,196703,10.47,13.75
Shikoku,196703,10.34,12.81
Kyushu,196703,11.45,15.64
Okinawa,196703,,
Hokkaido,196702,4,8.55
Tohoku,196702,4.38,7.32
Tokyo,196702,2.12,6.46
Chubu,196702,2.13,6.18
Hokuriku,196702,4.39,6.15
Kansai,196702,0.86,6.15
Chugoku,196702,3.02,6.74
Shikoku,196702,4.61,8.17
Kyushu,196702,4.49,9.19
Okinawa,196702,,
Hokkaido,196701,9.6,13.8
Tohoku,196701,9.32,12.17
Tokyo,196701,7.74,11.98
Chubu,196701,8.53,
Hokuriku,196701,6.62,8.24
Kansai,196701,8.4,12.05
Chugoku,196701,9.19,12.82
Shikoku,196701,9.38,12.85
Kyushu,196701,10.19,14.54
Okinawa,196701,,
Hokkaido,196612,11.12,14.74
Tohoku,196612,10.31,12.92
Tokyo,196612,11.05,15.11
Chubu,196612,10.96,14.75
Hokuriku,196612,8.97,10.44
Kansai,196612,10.41,13.86
Chugoku,196612,12.17,15.89
Shikoku,196612,13.69,17.11
Kyushu,196612,12.69,16.92
Okinawa,196612,,
Hokkaido,196611,8.95,11.86
Tohoku,196611,8.53,11.14
Tokyo,196611,8.52,12.69
Chubu,196611,8.51,12.42
Hokuriku,196611,7.49,8.96
Kansai,196611,8.49,12.08
Chugoku,196611,10.39,14.43
Shikoku,196611,9.74,13.55
Kyushu,196611,11.36,15.6
Okinawa,196611,,
Hokkaido,196610,12.66,16.01
Tohoku,196610,8.32,10.97
Tokyo,196610,7.18,11.13
Chubu,196610,6.47,9.94
Hokuriku,196610,6.23,7.7
Kansai,196610,5.72,9.3
Chugoku,196610,6.43,10.34
Shikoku,196610,8.23,11.31
Kyushu,196610,8.02,12.15
Okinawa,196610,,
Hokkaido,196609,7.41,10.74
Tohoku,196609,5.44,8.48
Tokyo,196609,2.13,6.51
Chubu,196609,4.73,8.24
Hokuriku,196609,5.38,6.68
Kansai,196609,2.68,6.37
Chugoku,196609,3.14,7.02
Shikoku,196609,6.53,8.32
Kyushu,196609,4.73,8.28
Okinawa,196609,,
Hokkaido,196608,10.48,13.22
Tohoku,196608,9.72,12.46
Tokyo,196608,8.55,12.7
Chubu,196608,8.33,12.05
Hokuriku,196608,7.29,8.79
Kansai,196608,8.57,12.19
Chugoku,196608,11.67,15.54
Shikoku,196608,11.1,13.86
Kyushu,196608,12.03,15.89
Okinawa,196608,,
Hokkaido,196607,11.85,14.56
Tohoku,196607,9.47,11.2
Tokyo,196607,11.17,14.84
Chubu,196607,12.19,15.11
Hokuriku,196607,9.05,9.55
Kansai,196607,13.53,16.49
Chugoku,196607,14.4,17.49
Shikoku,196607,14.98,17.23
Kyushu,196607,15.56,18.76
Okinawa,196607,,
Hokkaido,196606,12.97,15.44
Tohoku,196606,8.47,10.25
Tokyo,196606,8.85,12.74
Chubu,196606,8.04,11.06
Hokuriku,196606,7.95,8.29
Kansai,196606,9.51,12.53
Chugoku,196606,8.79,11.9
Shikoku,196606,10.38,11.82
Kyushu,196606,10.62,13.98
Okinawa,196606,,
Hokkaido,196605,11.43,13.59
Tohoku,196605,9.56,10.97
Tokyo,196605,7.01,11.07
Chubu,196605,8.2,11.47
Hokuriku,196605,7.63,8.01
Kansai,196605,8.62,11.6
Chugoku,196605,8.17,10.97
Shikoku,196605,9.51,11.29
Kyushu,196605,10.65,14.25
Okinawa,196605,,
Hokkaido,196604,8.46,12.17
Tohoku,196604,5.9,7.56
Tokyo,196604,4.39,8.47
Chubu,196604,4.6,7.68
Hokuriku,196604,6.25,6.97
Kansai,196604,4.65,7.87
Chugoku,196604,3.83,6.96
Shikoku,196604,7.95,10.23
Kyushu,196604,7.01,10.73
Okinawa,196604,,
Hokkaido,196603,11.74,15.56
Tohoku,196603,10.56,12.13
Tokyo,196603,10.36,14.28
Chubu,196603,10.78,13.57
Hokuriku,196603,9.5,10.34
Kansai,196603,11.4,14.3
Chugoku,196603,11.07,13.94
Shikoku,196603,10.41,12.2
Kyushu,196603,12.11,15.62
Okinawa,196603,,
Hokkaido,196602,5.47,10.05
Tohoku,196602,4.53,7.07
Tokyo,196602,2.08,6.8
Chubu,196602,1.87,5.99
Hokuriku,196602,5.58,7.16
Kansai,196602,1.54,5.3
Chugoku,196602,2.19,6.2
Shikoku,196602,3.53,7.03
Kyushu,196602,4.12,8.91
Okinawa,196602,,
Hokkaido,196601,9.55,13.7
Tohoku,196601,9.27,11.62
Tokyo,196601,7.98,12.35
Chubu,196601,8.78,12.74
Hokuriku,196601,8.13,9.77
Kansai,196601,9.54,13.09
Chugoku,196601,9.6,12.85
Shikoku,196601,8.68,11.83
Kyushu,196601,10.48,14.7
Okinawa,196601,,
Hokkaido,196512,10.77,14.58
Tohoku,196512,11.08,13.1
Tokyo,196512,11.96,16.06
Chubu,196512,11.07,14.75
Hokuriku,196512,10.37,11.71
Kansai,196512,11.94,15.21
Chugoku,196512,13.32,16.35
Shikoku,196512,13.17,16.48
Kyushu,196512,13.69,17.85
Okinawa,196512,,
Hokkaido,196511,10.25,14.03
Tohoku,196511,9.46,11.84
Tokyo,196511,8.9,13.23
Chubu,196511,8.24,12.36
Hokuriku,196511,8.19,9.2
Kansai,196511,9.48,13.03
Chugoku,196511,10.48,14
Shikoku,196511,9.1,12.48
Kyushu,196511,11.39,15.89
Okinawa,196511,,
Hokkaido,196510,12.96,16.06
Tohoku,196510,10.25,13.24
Tokyo,196510,7.92,12.49
Chubu,196510,7.09,11.49
Hokuriku,196510,7.69,8.82
Kansai,196510,7.83,11.8
Chugoku,196510,8.49,12.31
Shikoku,196510,8.48,11.45
Kyushu,196510,10.17,14.62
Okinawa,196510,,
Hokkaido,196509,8.13,11.16
Tohoku,196509,5.92,8.73
Tokyo,196509,4.43,8.62
Chubu,196509,4.3,8.2
Hokuriku,196509,5.65,6.62
Kansai,196509,2.34,6.2
Chugoku,196509,3.17,6.38
Shikoku,196509,4.48,6.72
Kyushu,196509,4.65,8.98
Okinawa,196509,,
Hokkaido,196508,11.08,15.21
Tohoku,196508,10.11,12.72
Tokyo,196508,8.23,12.43
Chubu,196508,8,12
Hokuriku,196508,7.59,8.48
Kansai,196508,8.97,12.57
Chugoku,196508,10.35,13.75
Shikoku,196508,10.44,12.83
Kyushu,196508,10.38,13.92
Okinawa,196508,,
Hokkaido,196507,12.58,15.7
Tohoku,196507,9.64,11.15
Tokyo,196507,11.01,14.57
Chubu,196507,12.1,15
Hokuriku,196507,9.15,9.83
Kansai,196507,14.11,16.85
Chugoku,196507,14.16,16.82
Shikoku,196507,12.4,13.91
Kyushu,196507,15.9,18.47
Okinawa,196507,,
Hokkaido,196506,13.18,15.6
Tohoku,196506,9.34,10.62
Tokyo,196506,9.81,13.18
Chubu,196506,8,11
Hokuriku,196506,7.74,8.42
Kansai,196506,9.84,12.72
Chugoku,196506,8.72,11.59
Shikoku,196506,9.03,10.66
Kyushu,196506,10.37,13.69
Okinawa,196506,,
Hokkaido,196505,12.04,14.07
Tohoku,196505,3.98,10.22
Tokyo,196505,6.8,10.51
Chubu,196505,8.2,11.7
Hokuriku,196505,7.47,7.8
Kansai,196505,8.93,11.69
Chugoku,196505,7.99,10.55
Shikoku,196505,9.07,10.73
Kyushu,196505,10.6,13.89
Okinawa,196505,,
Hokkaido,196504,7.46,11.46
Tohoku,196504,6.71,8.69
Tokyo,196504,4.51,8.99
Chubu,196504,5.1,9.3
Hokuriku,196504,6.16,7.03
Kansai,196504,4.39,7.86
Chugoku,196504,4.67,7.76
Shikoku,196504,7.46,10.14
Kyushu,196504,7.21,11.69
Okinawa,196504,,
Hokkaido,196503,13.76,17.91
Tohoku,196503,10.72,14.1
Tokyo,196503,10.82,15.22
Chubu,196503,10.5,14.9
Hokuriku,196503,9.91,11.11
Kansai,196503,10.42,13.7
Chugoku,196503,11.74,15.11
Shikoku,196503,10.99,13.6
Kyushu,196503,12.79,17.07
Okinawa,196503,,
Hokkaido,196502,5.7,10.09
Tohoku,196502,5.99,8.74
Tokyo,196502,2.92,7.59
Chubu,196502,3.2,7.7
Hokuriku,196502,6.36,7.65
Kansai,196502,2.59,6.03
Chugoku,196502,3.48,6.88
Shikoku,196502,5.18,7.9
Kyushu,196502,5.3,9.72
Okinawa,196502,,
Hokkaido,196501,9.61,13.55
Tohoku,196501,9.4,11.7
Tokyo,196501,8.24,12.69
Chubu,196501,8.9,13
Hokuriku,196501,8.76,9.93
Kansai,196501,9.91,13.53
Chugoku,196501,10.49,14.04
Shikoku,196501,10.67,13.47
Kyushu,196501,11.58,15.87
Okinawa,196501,,
Hokkaido,196412,11.23,15.33
Tohoku,196412,10.89,12.9
Tokyo,196412,11.79,15.92
Chubu,196412,10.7,15
Hokuriku,196412,9.48,10.54
Kansai,196412,11.15,14.61
Chugoku,196412,12.81,16.37
Shikoku,196412,13.1,15.77
Kyushu,196412,12.94,17.13
Okinawa,196412,,
Hokkaido,196411,10.27,14.23
Tohoku,196411,8.65,10.92
Tokyo,196411,7.37,11.46
Chubu,196411,7.2,11.4
Hokuriku,196411,7.94,8.94
Kansai,196411,8.92,12.58
Chugoku,196411,9.08,12.81
Shikoku,196411,8.67,11.33
Kyushu,196411,11.14,15.42
Okinawa,196411,,
Hokkaido,196410,13.8,17.43
Tohoku,196410,9.99,11.87
Tokyo,196410,9.46,13.29
Chubu,196410,7.9,11.4
Hokuriku,196410,7.62,8.54
Kansai,196410,8.73,11.89
Chugoku,196410,7.68,11.28
Shikoku,196410,9.14,11.05
Kyushu,196410,9.6,13.68
Okinawa,196410,,
Hokkaido,196409,9.24,11.63
Tohoku,196409,6.77,8.91
Tokyo,196409,3.86,8.15
Chubu,196409,5.6,9.7
Hokuriku,196409,6.75,7.73
Kansai,196409,5.35,9.13
Chugoku,196409,5.64,9.12
Shikoku,196409,6.54,8.63
Kyushu,196409,7.55,11.26
Okinawa,196409,,
Hokkaido,196408,11.23,13.55
Tohoku,196408,9.88,12.66
Tokyo,196408,8.41,12.52
Chubu,196408,8.3,12.5
Hokuriku,196408,7.21,8.2
Kansai,196408,9.58,13.37
Chugoku,196408,10.69,14.49
Shikoku,196408,11.07,13.51
Kyushu,196408,10.78,14.15
Okinawa,196408,,
Hokkaido,196407,13.03,15.88
Tohoku,196407,10.26,11.83
Tokyo,196407,11.95,15.49
Chubu,196407,12.1,15.4
Hokuriku,196407,8.4,9.03
Kansai,196407,14.86,17.76
Chugoku,196407,14.53,17.69
Shikoku,196407,12.99,15.27
Kyushu,196407,14.74,18.26
Okinawa,196407,,
Hokkaido,196406,13.39,15.62
Tohoku,196406,9.66,12.3
Tokyo,196406,9.56,13.63
Chubu,196406,7.9,12.3
Hokuriku,196406,6.92,7.84
Kansai,196406,9.68,13.46
Chugoku,196406,9.56,13.3
Shikoku,196406,10.11,12.24
Kyushu,196406,11.12,14.91
Okinawa,196406,,
Hokkaido,196405,13.05,15.24
Tohoku,196405,10.36,12.63
Tokyo,196405,8.24,12.34
Chubu,196405,9.1,12.8
Hokuriku,196405,7.07,7.88
Kansai,196405,10.14,13.38
Chugoku,196405,10.04,13.11
Shikoku,196405,10.58,11.96
Kyushu,196405,11.02,14.6
Okinawa,196405,,
Hokkaido,196404,9.04,11.68
Tohoku,196404,7.18,8.48
Tokyo,196404,5.37,9.11
Chubu,196404,4.9,8.2
Hokuriku,196404,6.28,6.73
Kansai,196404,5.94,8.65
Chugoku,196404,4.47,6.41
Shikoku,196404,7.87,8.89
Kyushu,196404,7.63,11.5
Okinawa,196404,,
Hokkaido,196403,11.19,15.3
Tohoku,196403,11.23,13.7
Tokyo,196403,8.77,13.29
Chubu,196403,8.8,13.3
Hokuriku,196403,9.58,10.1
Kansai,196403,9.3,13.2
Chugoku,196403,10.05,12.92
Shikoku,196403,10.26,12.52
Kyushu,196403,10.62,14.79
Okinawa,196403,,
Hokkaido,196402,6.84,11.23
Tohoku,196402,7.86,10.74
Tokyo,196402,5.59,10.2
Chubu,196402,4.5,9.1
Hokuriku,196402,8.4,8.93
Kansai,196402,6.12,9.85
Chugoku,196402,6.18,9.34
Shikoku,196402,7.67,10.05
Kyushu,196402,8.35,12.42
Okinawa,196402,,
Hokkaido,196401,10.21,14.01
Tohoku,196401,9.75,12.05
Tokyo,196401,97,14.12
Chubu,196401,10.1,14.5
Hokuriku,196401,8.6,9.08
Kansai,196401,11.08,14.78
Chugoku,196401,11.05,14.38
Shikoku,196401,11.22,13.89
Kyushu,196401,11.21,15.28
Okinawa,196401,,
Hokkaido,196312,10.67,14.1
Tohoku,196312,13.5,13.52
Tokyo,196312,11.76,16.03
Chubu,196312,10.9,15.3
Hokuriku,196312,9.55,9.96
Kansai,196312,12.06,15.89
Chugoku,196312,13.42,17.14
Shikoku,196312,14.26,17.3
Kyushu,196312,13.39,17.66
Okinawa,196312,,
Hokkaido,196311,8.89,12.19
Tohoku,196311,9.84,12.23
Tokyo,196311,8.58,13.22
Chubu,196311,8.7,13.2
Hokuriku,196311,9.12,9.5
Kansai,196311,9.89,13.98
Chugoku,196311,11.15,15.57
Shikoku,196311,10.87,13.88
Kyushu,196311,12.04,16.74
Okinawa,196311,,
Hokkaido,196309,8.79,11.81
Tohoku,196309,8.05,10.87
Tokyo,196309,4.74,9.43
Chubu,196309,5.5,9.3
Hokuriku,196309,6.58,6.95
Kansai,196309,5.33,9.41
Chugoku,196309,6.36,9.9
Shikoku,196309,7.78,9.54
Kyushu,196309,8.4,12.09
Okinawa,196309,,
Hokkaido,196308,10.61,13.21
Tohoku,196308,10.18,12.98
Tokyo,196308,8.9,13.33
Chubu,196308,8.7,12.2
Hokuriku,196308,7.72,8.13
Kansai,196308,9.73,13.41
Chugoku,196308,9.79,13.06
Shikoku,196308,10.76,12.32
Kyushu,196308,11.32,14.28
Okinawa,196308,,
Hokkaido,196307,13.17,15.82
Tohoku,196307,10.37,12.12
Tokyo,196307,11.88,15.85
Chubu,196307,11.6,14.8
Hokuriku,196307,8.23,8.56
Kansai,196307,13.88,17.04
Chugoku,196307,14.09,16.89
Shikoku,196307,13.37,14.64
Kyushu,196307,13.64,17.08
Okinawa,196307,,
Hokkaido,196306,12.87,15.24
Tohoku,196306,10.49,11.91
Tokyo,196306,9.62,13.37
Chubu,196306,9.1,11.5
Hokuriku,196306,6.77,7.05
Kansai,196306,11.51,14.27
Chugoku,196306,10.32,12
Shikoku,196306,10.62,11.38
Kyushu,196306,12.05,14.96
Okinawa,196306,,
Hokkaido,196305,13.69,15.8
Tohoku,196305,11.33,12.42
Tokyo,196305,9.5,13.06
Chubu,196305,11.5,14.1
Hokuriku,196305,7.37,7.69
Kansai,196305,12.75,15.19
Chugoku,196305,11.9,13.87
Shikoku,196305,11.18,11.86
Kyushu,196305,13.41,16.45
Okinawa,196305,,
Hokkaido,196304,9.49,12.01
Tohoku,196304,8.19,9.27
Tokyo,196304,6.35,10.24
Chubu,196304,5.9,9
Hokuriku,196304,5.91,6.24
Kansai,196304,7.46,10.3
Chugoku,196304,6.82,8.59
Shikoku,196304,8.98,10.26
Kyushu,196304,8.94,13.21
Okinawa,196304,,
Hokkaido,196209,11.05,12.93
Tohoku,196209,9.23,11.67
Tokyo,196209,6.41,10.66
Chubu,196209,7.1,10.6
Hokuriku,196209,6.74,7.1
Kansai,196209,8.17,11.65
Chugoku,196209,7.52,12.34
Shikoku,196209,9.85,12
Kyushu,196209,8.95,13.41
Okinawa,196209,,
Hokkaido,196208,100.1,11.86
Tohoku,196208,11.15,13.6
Tokyo,196208,10.07,14.26
Chubu,196208,9.4,12.7
Hokuriku,196208,8.21,8.6
Kansai,196208,10.44,13.77
Chugoku,196208,11.09,15.35
Shikoku,196208,13.46,14.94
Kyushu,196208,12.25,15.6
Okinawa,196208,,
Hokkaido,196207,15.14,17.91
Tohoku,196207,11.42,12.8
Tokyo,196207,12.02,15.43
Chubu,196207,12,14.5
Hokuriku,196207,9.13,9.47
Kansai,196207,14.19,16.72
Chugoku,196207,14.04,16.97
Shikoku,196207,14,14.91
Kyushu,196207,15.35,18.16
Okinawa,196207,,
Hokkaido,196206,12.61,15.03
Tohoku,196206,11.06,11.88
Tokyo,196206,10.4,13.44
Chubu,196206,9,11.7
Hokuriku,196206,8.15,8.48
Kansai,196206,11.33,13.68
Chugoku,196206,9.53,12.6
Shikoku,196206,11.92,12.76
Kyushu,196206,11.53,14.64
Okinawa,196206,,
Hokkaido,196205,12.96,15.07
Tohoku,196205,11.07,12.12
Tokyo,196205,9.66,13.06
Chubu,196205,10.5,13.4
Hokuriku,196205,8.35,8.66
Kansai,196205,11.54,14.04
Chugoku,196205,10.2,13.8
Shikoku,196205,12.18,13.28
Kyushu,196205,11,15.09
Okinawa,196205,,
Hokkaido,196204,8.43,10.9
Tohoku,196204,8.56,9.84
Tokyo,196204,5.25,9.03
Chubu,196204,6.3,9.6
Hokuriku,196204,6.81,7.14
Kansai,196204,6.91,9.73
Chugoku,196204,6.7,9.84
Shikoku,196204,10.79,11.82
Kyushu,196204,8.15,12.51
Okinawa,196204,,
