Company,Year_term,Transmission and distribution losses (%),Integrated loss factor (%)
会社名,年期,送配電損失率,総合損失率
Tokyo,199203,9.84,13.2
Chubu,199203,7.2,10.62
Hokuriku,199203,5.38,7.45
Kansai,199203,7.45,11.1
Chugoku,199203,7.92,11.45
Shikoku,199203,6.3,11.11
Kyushu,199203,8.54,12.02
Okinawa,199203,10.09,14.69
Hokkaido,199202,1.3,6.92
Tohoku,199202,6.75,9.42
Tokyo,199202,3.11,6.74
Chubu,199202,4.21,7.86
Hokuriku,199202,4.4,6.93
Kansai,199202,5.58,9.34
Chugoku,199202,3.81,7.54
Shikoku,199202,5.95,10.61
Kyushu,199202,5.66,9.31
Okinawa,199202,2.62,7.13
Hokkaido,199201,9.01,14.32
Tohoku,199201,1.75,4.5
Tokyo,199201,1.85,5.54
Chubu,199201,1.35,5.25
Hokuriku,199201,1.2,3.8
Kansai,199201,0.88,4.89
Chugoku,199201,4.33,8.15
Shikoku,199201,5.08,9.79
Kyushu,199201,1.44,5.15
Okinawa,199201,2.45,7.4
Hokkaido,199112,15.53,20.51
Tohoku,199112,15.07,17.38
Tokyo,199112,14.16,17.52
Chubu,199112,11.21,14.63
Hokuriku,199112,10.01,12.2
Kansai,199112,11.9,15.61
Chugoku,199112,11.39,14.9
Shikoku,199112,13.7,18.14
Kyushu,199112,12.61,15.99
Okinawa,199112,6.97,10.84
Hokkaido,199111,8.92,13.95
Tohoku,199111,9.37,11.79
Tokyo,199111,1.8,5.64
Chubu,199111,3.77,7.37
Hokuriku,199111,5.91,7.97
Kansai,199111,4.33,8.4
Chugoku,199111,6.83,10.93
Shikoku,199111,9.25,14.23
Kyushu,199111,4.42,8.38
Okinawa,199111,-6.46,-1.86
Hokkaido,199110,9.07,14.24
Tohoku,199110,2.28,4.97
Tokyo,199110,5.87,9.48
Chubu,199110,3.21,6.7
Hokuriku,199110,4.7,6.39
Kansai,199110,2.46,6.33
Chugoku,199110,3.32,7.67
Shikoku,199110,5.24,10.15
Kyushu,199110,0.91,4.89
Okinawa,199110,-6.53,-1.53
Hokkaido,199109,5.66,11.35
Tohoku,199109,3.86,6.72
Tokyo,199109,-0.39,3.55
Chubu,199109,-2.38,1.53
Hokuriku,199109,2.46,4.36
Kansai,199109,-2.27,1.9
Chugoku,199109,-2.71,2.11
Shikoku,199109,2.9,7.74
Kyushu,199109,-3,1.22
Okinawa,199109,-2.63,2.24
Hokkaido,199108,8.74,13.9
Tohoku,199108,10.55,13.18
Tokyo,199108,1.12,5.1
Chubu,199108,2.47,6.3
Hokuriku,199108,4.96,6.89
Kansai,199108,-0.73,3.39
Chugoku,199108,3.45,7.68
Shikoku,199108,5.5,10.26
Kyushu,199108,1.43,5.36
Okinawa,199108,2.93,7.5
Hokkaido,199107,11.82,17.16
Tohoku,199107,7.15,9.87
Tokyo,199107,13.41,16.84
Chubu,199107,12.83,16.18
Hokuriku,199107,8.74,10.38
Kansai,199107,16.85,20.27
Chugoku,199107,17.67,21.33
Shikoku,199107,14.05,18.33
Kyushu,199107,19.05,22.39
Okinawa,199107,10.49,14.72
Hokkaido,199106,8.97,14.09
Tohoku,199106,10.94,13.47
Tokyo,199106,9.91,13.52
Chubu,199106,11.18,14.64
Hokuriku,199106,7.03,8.68
Kansai,199106,13.05,16.7
Chugoku,199106,8.51,12.42
Shikoku,199106,11.36,15.62
Kyushu,199106,13.81,17.46
Okinawa,199106,16.93,20.88
Hokkaido,199105,8.33,13.29
Tohoku,199105,3.23,5.54
Tokyo,199105,5.82,9.6
Chubu,199105,0.9,4.54
Hokuriku,199105,2.72,4.37
Kansai,199105,1.72,5.97
Chugoku,199105,5.23,9.39
Shikoku,199105,6.78,11.42
Kyushu,199105,1.79,5.61
Okinawa,199105,18,21.91
Hokkaido,199104,0.68,6.23
Tohoku,199104,1.58,3.93
Tokyo,199104,-0.67,3.22
Chubu,199104,1.62,5.02
Hokuriku,199104,4.44,5.71
Kansai,199104,2.34,6.05
Chugoku,199104,1.72,5.96
Shikoku,199104,2.52,7.17
Kyushu,199104,2.74,6.4
Okinawa,199104,8.81,13.89
Hokkaido,199103,10.71,15.96
Tohoku,199103,7.59,10.03
