Company,Year_term,Specific scale demands (MWh),Total Electricity sales (MWh),Lighting_Meter rate lighting C (kW),Lighting_Temporary power (kW),Lighting_Agricultural power (kW),Lighting_Public street lighting (kW),Lighting_Total Lighting - optional contracs (kW),Lighting_Total Lighting - optional contracs2 (kW),Lighting_Total Lighting (kW),Power_Commercial use power - optional contracts (kW),Power_Commercial use power (kW),Power_Small use power_Low voltage power - optipnal contracts (kW),Power_Small use power_Low voltage power (kW),Power_Small use power_High voltage power A - optinal contracts (kW),Power_Small use power_High voltage power A (kW),Power_Small use power_Total Small use power - optional contracts (kW),Power_Small use power_Total Small use power (kW),Power_High voltage power B - optional contracts (kW),Power_High voltage power B (kW),Power_Other power services_Temporary power (kW),Power_Other power services_Agricultural power (kW),Power_Other power services_Construction power (kW),Power_Other power services_Business use power (kW),Power_Other power services_High voltage power B - optional contracts (kW),Power_Other power services_High voltage power B (kW),Power_Other power services_Commercial use power (kW),Power_Other power services_High voltage power A/B (kW),Power_Other power services_Other power services - optional contracts (kW),Power_Other power services_Total Other power services (kW),Power_Total Power - optional contracts (kW),Power_Total Power (kW),Total of Lighting and Power (kW)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Kansai,200908,,,3723458,,,,5498726,5498726,,,,2093,7135405,,,,,,,39434,154305,133,19768,,,,,879873,1093513,881966,8228918,
Chugoku,200908,,,960637,,,,3605132,3605132,,,,911,2669485,,,,,,,4698,61607,764,4430,,,,,624809,696308,625720,3365793,
Shikoku,200908,,,706931,,,,1403964,1403964,,,,60299,1761992,,,,,,,7040,121860,109,3485,,,,,584029,716523,644328,2478515,
Kyushu,200908,,,2843878,,,,4857605,4857605,,,,208765,5326323,,,,,,,14235,336071,612,14465,,,,,1009639,1375022,1218404,6701345,
Okinawa,200908,,,,,,,,,,267364,697869,,437200,,,,,,,2113,4095,380,2925,,,697869,215313,35957,958652,332556,1395852,
Hokkaido,200907,,,1158347,,,,1172050,1172050,,,,17468,1473090,,,,,,,5444,37655,312,5333,,,,,261954,310698,279422,1783788,
Tohoku,200907,,,3015269,,,,2551217,2551217,,,,66388,4257269,,,,,,,7506,293700,1330,7434,,,,,660576,970546,726964,5227815,
Tokyo,200907,,,15439568,,,,7137422,7137422,,,,2985,13438932,,,,,,,108695,463962,5914,53479,,,,,1580674,2212723,1583659,15651655,
Chubu,200907,,,5922146,,,,4348137,4348137,,,,143604,6466757,,,,,,,18209,143406,118,12813,,,,,1957292,2131838,2100896,8598595,
Hokuriku,200907,,,1198970,,,,1552901,1552901,,,,52093,1448829,,,,,,,3503,48550,0,3247,,,,,253743,309043,305836,1757872,
Kansai,200907,,,3718219,,,,5442694,5442694,,,,2097,7142948,,,,,,,37849,152884,123,19746,,,,,883686,1094288,885783,8237236,
Chugoku,200907,,,961337,,,,3569442,3569442,,,,911,2673255,,,,,,,4409,60132,764,4448,,,,,627461,697214,628372,3370469,
Shikoku,200907,,,706664,,,,1385743,1385743,,,,59731,1763800,,,,,,,6878,124539,135,3545,,,,,586073,721170,645804,2484970,
Kyushu,200907,,,2841685,,,,4804506,4804506,,,,209009,5332501,,,,,,,13211,346573,644,14465,,,,,1013172,1388065,1222181,6720566,
Okinawa,200907,,,,,,,,,,266016,696849,,437637,,,,,,,2924,3965,352,2927,,,696849,215471,36379,958867,331637,1396504,
Hokkaido,200906,,,1158643,,,,1162382,1162382,,,,17536,1475765,,,,,,,6370,37917,341,5600,,,,,338999,389227,356535,1864992,
Tohoku,200906,,,3014510,,,,2519444,2519444,,,,66256,4262848,,,,,,,7405,293794,1330,7504,,,,,661909,971942,728165,5234790,
Tokyo,200906,,,15442293,,,,7033751,7033751,,,,2967,13460119,,,,,,,108817,459696,6210,53485,,,,,1585982,2214189,1588949,15674307,
Chubu,200906,,,5920903,,,,4296541,4296541,,,,142946,6484590,,,,,,,18591,147466,118,12743,,,,,1963972,2142890,2106918,8627480,
Hokuriku,200906,,,1199057,,,,1535003,1535003,,,,51910,1451488,,,,,,,3884,48124,0,3280,,,,,254709,309997,306619,1761485,
Kansai,200906,,,3715213,,,,5389856,5389856,,,,2069,7155775,,,,,,,38394,148027,1148,19711,,,,,887170,1094450,889239,8250225,
Chugoku,200906,,,962005,,,,3537267,3537267,,,,881,2676871,,,,,,,4471,57666,764,4443,,,,,630114,697458,630995,3374329,
Shikoku,200906,,,707452,,,,1368403,1368403,,,,59543,1766789,,,,,,,6546,118982,135,3545,,,,,588285,717493,647828,2484282,
Kyushu,200906,,,2841716,,,,4755134,4755134,,,,208938,5337443,,,,,,,12727,288068,604,14439,,,,,1017160,1332998,1226098,6670441,
Okinawa,200906,,,,,,,,,,263230,694288,,436959,,,,,,,2248,5771,329,2930,,,694288,212769,36445,954780,328756,1391739,
Hokkaido,200905,,,1160102,,,,1159758,1159758,,,,17629,1480210,,,,,,,8355,33718,341,7086,,,,,568316,617816,585945,2098026,
Tohoku,200905,,,3014853,,,,2491453,2491453,,,,66110,4271337,,,,,,,9086,289176,1330,7617,,,,,663805,971014,729915,5242351,
Tokyo,200905,,,15445076,,,,6935349,6935349,,,,2991,13491164,,,,,,,109615,427303,6547,53647,,,,,1591258,2188369,1594249,15679533,
Chubu,200905,,,5923419,,,,4248881,4248881,,,,142485,6503340,,,,,,,19524,141475,118,12690,,,,,1971572,2145379,2114057,8648719,
Hokuriku,200905,,,1201073,,,,1515162,1515162,,,,51598,1455545,,,,,,,3459,51045,0,3284,,,,,256188,313976,307786,1769521,
Kansai,200905,,,3714138,,,,5342201,5342201,,,,2069,7172927,,,,,,,38601,121027,1148,19664,,,,,891495,1071935,893564,8244862,
Chugoku,200905,,,962921,,,,3505383,3505383,,,,855,2681735,,,,,,,4699,43769,764,4443,,,,,633031,686706,633886,3368441,
Shikoku,200905,,,707551,,,,1351667,1351667,,,,59159,1769334,,,,,,,6429,98194,192,3566,,,,,590707,699088,649866,2468422,
Kyushu,200905,,,2841628,,,,4704245,4704245,,,,208209,5344291,,,,,,,12914,170687,687,14395,,,,,1021061,1219744,1229270,6564035,
Okinawa,200905,,,,,,,,,,261015,691475,,436379,,,,,,,1981,5731,266,2946,,,691475,213314,36622,952335,326716,1388714,
Hokkaido,200904,,,1163796,,,,1176629,1176629,,,,17741,1485590,,,,,,,6677,3537,341,7207,,,,,937859,955621,955600,2441211,
Tohoku,200904,,,3014442,,,,2465216,2465216,,,,66615,4282565,,,,,,,14170,132161,1370,8234,,,,,670150,826085,736765,5108650,
Tokyo,200904,,,15448598,,,,6842381,6842381,,,,2986,13525417,,,,,,,113011,257374,6411,53408,,,,,1597111,2027314,1600097,15552730,
Chubu,200904,,,5921455,,,,4200448,4200448,,,,141905,6520957,,,,,,,19657,92415,118,12684,,,,,1980432,2105306,2122337,8626263,
Hokuriku,200904,,,1201402,,,,1501214,1501214,,,,51344,1458980,,,,,,,4023,52020,0,3166,,,,,259198,318407,310542,1777387,
Kansai,200904,,,3708220,,,,5282078,5282078,,0,0,2047,7183701,,,,,,,39779,63424,1148,19653,,,0,0,891882,1015886,893929,8199587,
Chugoku,200904,,,962940,,,,3478859,3478859,,,,833,2688467,,,,,,,4722,24637,750,4444,,,,,635362,669915,636195,3358382,
Shikoku,200904,,,708221,,,,1337106,1337106,,,,57298,1773263,,,,,,,6241,67331,192,3566,,,,,592978,670308,650276,2443571,
Kyushu,200904,,,2841246,,,,4655708,4655708,,,,207490,5350959,,,,,,,13346,140180,651,14416,,,,,1024068,1192661,1231558,6543620,
Okinawa,200904,,,,,,,,,,263466,694426,,436872,,,,,,,2292,5798,264,2938,,,694426,213835,36798,956351,329353,1393223,
Hokkaido,200903,,,1161692,,,,1146098,1146098,,,,17762,1486805,,,,,,,4751,2670,341,7569,,,,,1199282,1214613,1217044,2701418,
Tohoku,200903,,,3014203,,,,2430232,2430232,,,,66481,4293013,,,,,,,19876,27701,1370,8169,,,,,1059273,1116389,1125754,5409402,
Tokyo,200903,,,15447457,,,,6733826,6733826,,,,2176,13565784,,,,,,,137415,55965,6943,53349,,,,,1596310,1849981,1598486,15415765,
Chubu,200903,,,5921517,,,,4139497,4139497,,,,140803,6542281,,,,,,,26488,51593,100,12680,,,,,1996116,2086977,2136919,8629258,
Hokuriku,200903,,,1202571,,,,1480800,1480800,,,,51020,1463145,,,,,,,5808,24806,0,3432,,,,,360370,394416,411390,1857561,
Kansai,200903,,,3702334,,,,5189474,5189474,,,,2006,7200126,,,,,,,43435,41038,1148,19564,,,,,890068,995253,892074,8195379,
Chugoku,200903,,,963600,,,,3445525,3445525,,,,754,2697444,,,,,,,6475,15736,771,4355,,,,,637630,664967,638384,3362411,
Shikoku,200903,,,708967,,,,1319192,1319192,,,,57207,1778065,,,,,,,7254,52741,228,3502,,,,,595284,659009,652491,2437074,
Kyushu,200903,,,2840062,,,,4599101,4599101,,,,206656,5361514,,,,,,,16977,130455,740,14379,,,,,1022879,1185430,1229535,6546944,
Okinawa,200903,,,,,,,,,,263215,694484,,437655,,,,,,,4515,5674,268,2908,,,694484,214176,36777,958802,329235,1396457,
Hokkaido,200902,,,1161216,,,,1129384,1129384,,,,18058,1489972,,,,,,,5861,780,341,7612,,,,,1188697,1203291,1206755,2693263,
Tohoku,200902,,,3012449,,,,2399809,2399809,,,,66438,4301403,,,,,,,15372,16929,1370,8205,,,,,1156336,1198212,1222774,5499615,
Tokyo,200902,,,15445106,,,,6639208,6639208,,,,1881,13596023,,,,,,,154071,45858,7316,53357,,,,,1601659,1862260,1603540,15458282,
Chubu,200902,,,5919179,,,,4088448,4088448,,,,138985,6560150,,,,,,,33632,45282,131,12735,,,,,2004634,2096414,2143619,8656564,
Hokuriku,200902,,,1202364,,,,1466275,1466275,,,,51559,1467009,,,,,,,7578,11477,0,3549,,,,,424409,447013,475968,1914022,
Kansai,200902,,,3701356,,,,5167217,5167217,,,,1821,7220161,,,,,,,50482,39743,123,19608,,,,,898764,1008720,900585,8228881,
Chugoku,200902,,,963681,,,,3417341,3417341,,,,677,2703649,,,,,,,7700,13009,814,4357,,,,,640500,666380,641177,3370029,
Shikoku,200902,,,708692,,,,1302916,1302916,,,,56879,1782493,,,,,,,8040,48885,228,3436,,,,,597985,658574,654864,2441067,
Kyushu,200902,,,2837628,,,,4550940,4550940,,,,206086,5371649,,,,,,,21832,121420,767,14376,,,,,1023049,1181444,1229135,6553093,
Okinawa,200902,,,,,,,,,,262216,691819,,437884,,,,,,,2294,5669,263,2886,,,691819,214620,36918,954469,328196,1392353,
Hokkaido,200901,,,1161827,,,,1124578,1124578,,,,18408,1494154,,,,,,,5817,802,341,7626,,,,,1185870,1200456,1204278,2694610,
Tohoku,200901,,,3013410,,,,2372310,2372310,,,,66636,4312127,,,,,,,13068,15106,1370,8133,,,,,1157124,1194801,1223760,5506928,
Tokyo,200901,,,15449815,,,,6552336,6552336,,,,1447,13633661,,,,,,,157957,45238,7333,53313,,,,,1607300,1871140,1608747,15504801,
Chubu,200901,,,5917582,,,,4041382,4041382,,,,137951,6582478,,,,,,,33979,42699,121,12719,,,,,2012255,2101773,2150206,8684251,
Hokuriku,200901,,,1202678,,,,1450644,1450644,,,,51921,1471158,,,,,,,10390,7027,0,3570,,,,,429337,450324,481258,1921482,
Kansai,200901,,,3699086,,,,5127740,5127740,,,,1686,7238427,,,,,,,51444,39956,123,19626,,,,,903703,1014852,905389,8253279,
Chugoku,200901,,,964632,,,,3391158,3391158,,,,538,2711332,,,,,,,7814,10740,734,4361,,,,,643159,666808,643697,3378140,
Shikoku,200901,,,708885,,,,1287671,1287671,,,,56506,1787378,,,,,,,8254,48940,228,3431,,,,,600325,661178,656831,2448556,
Kyushu,200901,,,2837452,,,,4506532,4506532,,,,204805,5384762,,,,,,,23670,120990,737,14379,,,,,1024969,1184745,1229774,6569507,
Okinawa,200901,,,,,,,,,,261533,693750,,441102,,,,,,,2739,5669,302,2886,,,693750,213946,36962,956254,327557,1397356,
Hokkaido,200812,,,1161922,,,,1112676,1112676,,,,18643,1497866,,,,,,,7976,3345,341,6848,,,,,895272,913782,913915,2411648,
Tohoku,200812,,,3012743,,,,2333834,2333834,,,,65861,4319431,,,,,,,12639,15381,1370,8079,,,,,1097300,1134769,1163161,5454200,
Tokyo,200812,,,15446431,,,,6434876,6434876,,,,350,13663859,,,,,,,157772,45565,6919,53296,,,,,1611374,1874925,1611724,15538784,
Chubu,200812,,,5914720,,,,3976977,3976977,,,,136496,6601664,,,,,,,33660,41973,121,12666,,,,,2009709,2098129,2146205,8699793,
Hokuriku,200812,,,1202962,,,,1429418,1429418,,,,51742,1474315,,,,,,,7832,7754,0,3401,,,,,403904,422891,455646,1897206,
Kansai,200812,,,3696461,,,,5064251,5064251,,,,821,7252884,,,,,,,52319,41655,123,19633,,,,,906750,1020480,907571,8273364,
Chugoku,200812,,,965388,,,,3355505,3355505,,,,98,2717685,,,,,,,7623,11653,761,4361,,,,,645399,669797,645497,3387482,
Shikoku,200812,,,709206,,,,1269012,1269012,,,,55692,1790429,,,,,,,8249,50035,240,3331,,,,,602308,664163,658000,2454592,
Kyushu,200812,,,2835950,,,,4445914,4445914,,,,203248,5394478,,,,,,,22672,141333,745,14480,,,,,1028042,1207272,1231290,6601750,
Okinawa,200812,,,,,,,,,,260943,694569,,443009,,,,,,,2817,5669,306,2890,,,694569,214703,37130,958084,327281,1401093,
Hokkaido,200811,,,1162601,,,,1096576,1096576,,,,19074,1501325,,,,,,,31555,5566,341,5779,,,,,615376,658617,634450,2159942,
Tohoku,200811,,,3012230,,,,2279332,2279332,,,,65515,4328211,,,,,,,17030,20766,1330,7633,,,,,783359,830118,848874,5158329,
Tokyo,200811,,,15448348,,,,6290627,6290627,,,,,13692577,,,,,,,152291,47284,7555,52480,,,,,1614708,1874316,1614708,15566893,
Chubu,200811,,,5910858,,,,3909881,3909881,,,,134223,6613897,,,,,,,30019,46162,121,12621,,,,,2011654,2100577,2145877,8714474,
Hokuriku,200811,,,1203341,,,,1398366,1398366,,,,51870,1477059,,,,,,,9244,11270,0,3287,,,,,341768,365569,393638,1842628,
Kansai,200811,,,3692934,,,,4998962,4998962,,,,,7265230,,,,,,,52784,44703,123,19575,,,,,909672,1026857,909672,8292087,
Chugoku,200811,,,965708,,,,3312271,3312271,,,,,2722209,,,,,,,7605,21033,783,4352,,,,,647240,681013,647240,3403222,
Shikoku,200811,,,709816,,,,1246332,1246332,,,,55020,1793281,,,,,,,7905,53877,240,3302,,,,,604408,669732,659428,2463013,
Kyushu,200811,,,2833982,,,,4383220,4383220,,,,200224,5400321,,,,,,,20486,154447,604,14432,,,,,1031042,1221011,1231266,6621332,
Okinawa,200811,,,,,,,,,,256966,693859,,444760,,,,,,,1521,5686,297,2893,,,693859,214736,37068,956060,324138,1400820,
Hokkaido,200810,,,1163436,,,,1081330,1081330,,,,19473,1503922,,,,,,,50575,11739,341,5100,,,,,305172,372927,324645,1876849,
Tohoku,200810,,,3010419,,,,2233090,2233090,,,,65204,4336531,,,,,,,24633,39087,1330,7481,,,,,675565,748096,740769,5084627,
Tokyo,200810,,,15449769,,,,6179724,6179724,,,,,13726106,,,,,,,146195,59272,7996,52093,,,,,1618114,1883669,1618114,1569775,
Chubu,200810,,,5907940,,,,3845084,3845084,,,,130607,6627213,,,,,,,25586,55268,121,12620,,,,,2016287,2109882,2146894,8737095,
Hokuriku,200810,,,1204966,,,,1371570,1371570,,,,51729,1480770,,,,,,,9990,23857,0,3323,,,,,266733,303903,318462,1784673,
Kansai,200810,,,3687679,,,,4935777,4935777,,,,,7272691,,,,,,,53801,57446,123,19583,,,,,911987,1042940,911987,8315631,
Chugoku,200810,,,967302,,,,3272803,3272803,,,,,2729047,,,,,,,7588,66481,693,4360,,,,,649763,728885,649763,3457932,
Shikoku,200810,,,710318,,,,1228170,1228170,,,,54115,1796143,,,,,,,7451,65771,240,3302,,,,,606392,683156,660507,2479299,
Kyushu,200810,,,2832494,,,,4324675,4324675,,,,197457,5407485,,,,,,,18387,244601,536,14429,,,,,1033611,1311564,1231068,6719049,
Okinawa,200810,,,,,,,,,,256517,694402,,446130,,,,,,,1281,5686,304,2874,,,694402,216091,37188,957826,323847,1403956,
Hokkaido,200809,,,1162498,,,,1062286,1062286,,,,19900,1505866,,,,,,,20740,36549,228,4873,,,,,179142,241532,199042,1747398,
Tohoku,200809,,,3008811,,,,2183013,2183013,,,,64976,4343127,,,,,,,20917,165204,1330,7491,,,,,675184,870126,740160,5213253,
Tokyo,200809,,,15446152,,,,6062597,6062597,,,,,13754363,,,,,,,145113,217128,8150,51917,,,,,1622434,2044741,1622434,15799104,
Chubu,200809,,,5904426,,,,3787391,3787391,,,,127878,6640083,,,,,,,23402,95143,43,12671,,,,,2021894,2153153,2149772,8793236,
Hokuriku,200809,,,1205709,,,,1345044,1345044,,,,51500,1483708,,,,,,,10379,34528,0,3337,,,,,266345,314589,317845,1798297,
Kansai,200809,,,3682681,,,,4873716,4873716,,,,,7285086,,,,,,,53600,127093,123,19177,,,,,914760,1114753,914760,8399839,
Chugoku,200809,,,968314,,,,3232222,3232222,,,,,2735310,,,,,,,7040,93062,693,4354,,,,,652157,757306,652157,3492616,
Shikoku,200809,,,710450,,,,1208956,1208956,,,,53569,1799423,,,,,,,7006,105563,240,3280,,,,,608193,724282,661762,2523705,
Kyushu,200809,,,2831580,,,,4260894,4260894,,,,196217,5415325,,,,,,,17420,324595,546,14364,,,,,1036818,1393743,1233035,6809068,
Okinawa,200809,,,,,,,,,,256913,695493,,446942,,,,,,,2156,5782,296,2881,,,695493,214965,37472,959045,324362,1405987,
Hokkaido,200808,,,1162769,,,,1051756,1051756,,,,19927,1508481,,,,,,,31820,37709,298,4946,,,,,176515,251288,196442,1759769,
Tohoku,200808,,,3007995,,,,2143627,2143627,,,,64773,4348185,,,,,,,9892,294290,1330,7472,,,,,676505,989489,741278,5337674,
Tokyo,200808,,,15443899,,,,5961894,5961894,,,,,13776614,,,,,,,142319,455743,7477,51666,,,,,1627042,2284246,1627042,16060860,
Chubu,200808,,,5900852,,,,3737255,3737255,,,,126715,6652097,,,,,,,22175,135188,43,12676,,,,,2026152,2196234,2152867,8848331,
Hokuriku,200808,,,1205628,,,,1325759,1325759,,,,51352,1486149,,,,,,,6441,49076,0,3316,,,,,267534,326367,318886,1812516,
Kansai,200808,,,3680669,,,,4820119,4820119,,,,,7299461,,,,,,,49856,155996,123,19002,,,,,919290,1144267,919290,8443728,
Chugoku,200808,,,968877,,,,3200549,3200549,,,,,2741499,,,,,,,5219,63473,693,4354,,,,,654385,728124,654385,3469623,
Shikoku,200808,,,710351,,,,1193326,1193326,,,,53177,1801788,,,,,,,6796,126513,210,3318,,,,,610067,746904,663244,2548692,
Kyushu,200808,,,2829878,,,,4211814,4211814,,0,0,195258,5423541,,,,,,,15580,337296,559,14329,,,0,0,1040421,1408185,1235679,6831726,
Okinawa,200808,,,,,,,,,,255333,697208,,447546,,,,,,,3011,5688,290,2927,,,697208,213331,37691,960146,322945,1407692,
Hokkaido,200807,,,1161846,,,,1038907,1038907,,,,19910,1510591,,,,,,,7448,37788,320,5326,,,,,229386,280268,249296,1790859,
Tohoku,200807,,,3006249,,,,2091304,2091304,,,,64355,4352577,,,,,,,9312,295611,1330,7461,,,,,677764,991478,742119,5344055,
Tokyo,200807,,,15437034,,,,5852623,5852623,,,,,13792008,,,,,,,135030,465452,7993,49451,,,,,1630874,2288798,1630874,16080806,
Chubu,200807,,,5894003,,,,3672437,3672437,,,,125663,6660158,,,,,,,21828,145701,43,12666,,,,,2033132,2213370,2158795,8873528,
Hokuriku,200807,,,1205584,,,,1302580,1302580,,,,51542,1487504,,,,,,,5178,48846,0,3315,,,,,268832,326171,320374,1813675,
Kansai,200807,,,3674293,,,,4753783,4753783,,,,,7311755,,,,,,,43668,150353,123,19379,,,,,922121,1135644,922121,8447399,
Chugoku,200807,,,969052,,,,3159970,3159970,,,,,2745101,,,,,,,4898,58056,735,4358,,,,,656611,724658,656611,3469759,
Shikoku,200807,,,709810,,,,1174018,1174018,,,,52994,1803763,,,,,,,6454,120454,222,3152,,,,,611717,741999,664711,2545762,
Kyushu,200807,,,2827512,,,,4149266,4149266,,,,194072,5426994,,,,,,,14735,348237,597,14203,,,,,1044552,1422324,1238624,6849318,
Okinawa,200807,,,,,,,,,,254104,703305,,449082,,,,,,,3643,5862,288,2934,,,703305,213250,37805,967087,321876,1416169,
Hokkaido,200806,,,1160676,,,,1026595,1026595,,,,19948,1511791,,,,,,,6943,38069,341,5732,,,,,342529,393614,362477,1905405,
Tohoku,200806,,,3006474,,,,2057255,2057255,,,,64000,4358563,,,,,,,8865,295881,1330,7469,,,,,679693,993238,743693,5351801,
Tokyo,200806,,,15438479,,,,5751563,5751563,,,,,13809833,,,,,,,132530,460835,8220,49390,,,,,1635982,2286956,1635982,16096788,
Chubu,200806,,,5890262,,,,3619127,3619127,,,,124008,6669262,,,,,,,21454,148348,0,12615,,,,,2040368,2222785,2164376,8892047,
Hokuriku,200806,,,1206281,,,,1283194,1283194,,,,51545,1489230,,,,,,,4762,48224,0,3332,,,,,269968,326286,321513,1815516,
Kansai,200806,,,3668794,,,,4697789,4697789,,,,,7323257,,,,,,,47845,146892,123,19456,,,,,926025,1140341,926025,8463598,
Chugoku,200806,,,969862,,,,3122365,3122365,,,,,2748897,,,,,,,5088,56256,812,4358,,,,,659288,725802,659288,3474699,
Shikoku,200806,,,708661,,,,1156741,1156741,,,,52569,1806597,,,,,,,6387,115593,222,3152,,,,,613238,738592,665807,2545189,
Kyushu,200806,,,2826033,,,,4093935,4093935,,0,0,193355,5429978,,,,,,,14840,287216,742,14217,,,0,0,1048298,1365313,1241653,6795291,
Okinawa,200806,,,,,,,,,,248737,701530,,450439,,,,,,,3083,5859,262,2935,,,701530,213357,37968,964994,316719,1415433,
Hokkaido,200805,,,1161770,,,,1021198,1021198,,,,19980,1514180,,,,,,,8660,33849,341,6272,,,,,457759,506881,477739,2021061,
Tohoku,200805,,,3006260,,,,2022158,2022158,,,,63699,4368462,,,,,,,11969,289777,1330,7580,,,,,682835,993491,746534,5361953,
Tokyo,200805,,,15437311,,,,5648466,5648466,,,,,13832842,,,,,,,128844,428137,8941,49185,,,,,1641034,2256140,1641034,16088982,
Chubu,200805,,,5888409,,,,3565429,3565429,,,,121765,6680388,,,,,,,22306,140394,0,12574,,,,,2048276,2223550,2170041,8903938,
Hokuriku,200805,,,1207364,,,,1265259,1265259,,,,51532,1492460,,,,,,,4687,50785,0,3318,,,,,271304,330094,322836,1822554,
Kansai,200805,,,3664796,,,,4641891,4641891,,,,,7333708,,,,,,,51041,119171,123,19383,,,,,929719,1119437,929719,8453145,
Chugoku,200805,,,970281,,,,3082070,3082070,,,,,2753527,,,,,,,5259,43087,811,4358,,,,,662179,715694,662179,3469221,
Shikoku,200805,,,711050,,,,1139759,1139759,,,,52262,1809950,,,,,,,6377,96957,198,3200,,,,,615609,722341,667871,2532291,
Kyushu,200805,,,2823877,,,,4035094,4035094,,0,0,192806,5434593,,,,,,,14515,169109,805,14205,,,0,0,1052172,1250806,1244978,6685399,
Okinawa,200805,,,,,,,,,,239732,693197,,450070,,,,,,,3696,5846,184,2994,,,693197,213149,38053,957119,307888,1407189,
Hokkaido,200804,,,1166160,,,,1035621,1035621,,,,20028,1519879,,,,,,,6932,3482,341,7304,,,,,759026,777085,779054,2296964,
Tohoku,200804,,,3005180,,,,1992024,1992024,,,,63457,4378245,,,,,,,16759,126782,1370,8106,,,,,688286,841303,751743,5219548,
Tokyo,200804,,,15434806,,,,5553922,5553922,,,,,13860893,,,,,,,127132,252821,9149,49234,,,,,1646043,2084378,1646043,15945271,
Chubu,200804,,,5885167,,,,3513267,3513267,,,,120462,6693846,,,,,,,23112,88625,0,12572,,,,,2056927,2181236,2177389,8875082,
Hokuriku,200804,,,1207707,,,,1249409,1249409,,,,51566,1496109,,,,,,,5827,52209,3754,3309,,,,,273898,338997,325464,1835106,
Kansai,200804,,,3658371,,,,4580597,4580597,,,,,7343088,,,,,,,50588,63083,127,19269,,,,,930307,1063374,930307,8406462,
Chugoku,200804,,,970532,,,,3048545,3048545,,,,,2759180,,,,,,,5193,23934,768,4320,,,,,664638,698853,664638,3458033,
Shikoku,200804,,,711821,,,,1125190,1125190,,,,52322,1813253,,,,,,,6366,66937,206,3385,,,,,617666,694560,669988,2507813,
Kyushu,200804,,,2821677,,,,3980159,3980159,,0,0,192475,5441804,,,,,,,14686,140304,805,14158,,,0,0,1054693,1224646,1247168,6666450,
Okinawa,200804,,,,,,,,,,234270,692774,,450186,,,,,,,3146,5880,193,2996,,,692774,213507,38379,956875,302748,1407061,
Hokkaido,200803,,,1164331,,,,1002109,1002109,,,,20048,1519732,,,,,,,5514,1383,341,7537,,,,,1076647,1091422,1096695,2611154,
Tohoku,200803,,,3002617,,,,1951203,1951203,,,,63052,4387370,,,,,,,21722,27767,1370,8102,,,,,1062547,1121508,1125599,5508878,
Tokyo,200803,,,15426906,,,,5432659,5432659,,,,,13885079,,,,,,,147395,55341,9295,49348,,,,,1644192,1905570,1644192,15790649,
Chubu,200803,,,5878897,,,,3453466,3453466,,,,119316,6708668,,,,,,,29632,51548,0,12629,,,,,2067612,2161421,2186928,8870089,
Hokuriku,200803,,,1207969,,,,1229140,1229140,,,,51501,1499069,,,,,,,7103,24395,3754,3579,,,,,375296,414127,426797,1913196,
Kansai,200803,,,3652407,,,,4486860,4486860,,,,,7355908,,,,,,,52430,41244,127,19367,,,,,929748,1042916,929748,8398824,
Chugoku,200803,,,971261,,,,3009078,3009078,,,,,2766630,,,,,,,7169,15964,742,4316,,,,,667312,695503,667312,3462133,
Shikoku,200803,,,711737,,,,1109181,1109181,,,,52306,1819192,,,,,,,7408,53568,168,3385,,,,,619840,684369,672146,2503561,
Kyushu,200803,,,2820359,,,,3920216,3920216,,,,191723,5450406,,,,,,,20505,130913,791,14105,,,,,1054666,1220980,1246389,6671386,
Okinawa,200803,,,,,,,,,,233040,693569,,450571,,,,,,,3246,5923,175,2947,,,693569,213572,38702,958134,301844,1408705,
Hokkaido,200802,,,1161548,,,,985666,985666,,,,19963,1521248,,,,,,,5677,500,341,7499,,,,,1065028,1079045,1084991,2600293,
Tohoku,200802,,,2998395,,,,1923650,1923650,,,,62410,4394514,,,,,,,18071,16855,1330,8078,,,,,1160213,1204547,1222623,5599061,
Tokyo,200802,,,15410735,,,,5326569,5326569,,,,,13907672,,,,,,,166464,45086,9712,49428,,,,,1648978,1919667,1648978,15827339,
Chubu,200802,,,5870027,,,,3397919,3397919,,,,117399,6717079,,,,,,,39303,44868,0,12665,,,,,2073254,2170090,2190653,8887169,
Hokuriku,200802,,,1206267,,,,1208745,1208745,,,,51479,1500767,,,,,,,8756,10944,3754,3565,,,,,436195,463214,487674,1963981,
