Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Shikoku,2013H1,39.27,37.24,9051725,1582143,1603262,27790,431533,420528,444934,41670,106978,155083,160937,41220,78839,,,,,,,241531,166426,54580,62132,,,,1991594,0.22,39.27
Kyushu,2013H1,40.62,39.27,30011811,3045929,2896247,27150,619379,896320,900734,41390,149961,590328,588939,38700,159939,,,,,,,2428706,2422209,54730,115218,,,,6426178,0.214,40.62
Okinawa,2013H1,39.41,35.96,3328102,929670,983331,25730,130436,76187,76919,41180,59340,,,,,,,,,,,130695,76954,54640,92890,,,,738219,0.222,39.41
Hokkaido,2012H2,39.39,37.34,13480816,2761162,3002071,26820,815384,1201447,1151096,41730,262052,,,,,,,,,,,,,,,,,,2952688,0.219,39.39
Tohoku,2012H2,41.82,40.31,28932467,2896249,2855565,27790,723834,841622,829143,41120,176913,280666,247797,39060,127202,,,,,,,2438499,2330963,54710,99849,,,,6057013,0.209,41.82
Tokyo,2012H2,42.64,41.4,115685667,1727005,1274571,29830,635385,3812275,3700911,40740,576388,1636898,1553390,39200,776542,,,,0,0,63,12825616,12185464,54560,539383,678712,671044,66558,23963889,0.207,42.64
Chubu,2012H2,43.29,41.85,61059153,5094361,5190681,27500,367585,17032,16963,40520,64288,222893,462288,38950,629422,,,,,,,7022340,6503131,54740,634057,679,624,52,12537649,0.205,43.29
Hokuriku,2012H2,39.46,37.41,12854725,3478665,3511543,28770,557566,352209,334253,41610,304593,233866,237206,38930,48601,,,,,,,,,,,,,,2816642,0.219,39.46
Kansai,2012H2,42.34,40.9,44056658,2008991,2141176,28110,245607,51977,43585,40050,90871,2827665,2875141,39170,421006,,,,,,403,3825419,3731294,54750,340276,200,35,249,9453247,0.215,42.34
Chugoku,2012H2,40.71,38.75,20712528,3332401,3147412,28400,629419,716903,707780,41750,139530,502841,493124,41000,161882,,,,,,,936508,916885,54550,159725,,,,4386563,0.212,40.71
Shikoku,2012H2,39.68,37.76,9019763,1331802,1348703,28180,445555,553500,562029,41710,139095,111034,120000,41090,77108,,,,,,,239293,204796,54640,38601,,,,1958645,0.217,39.68
Kyushu,2012H2,40.76,39.44,31017841,2937236,2937776,27490,469697,951741,989420,41300,154380,868368,864306,38760,158550,,,,,,,2223464,2290290,54770,108721,,,,6634724,0.214,40.76
Okinawa,2012H2,38.63,35.02,2807035,769604,798319,26300,184097,54500,74775,41020,60101,,,,,,,,,,,65409,70484,54570,39312,,,,637740,0.227,38.63
Hokkaido,2012H1,38.64,36.52,10618908,2372402,2294032,26440,1092022,1090470,1014633,41560,222006,0,0,0,0,,,,,,,,,,,,,,2380967,0.224,38.64
Tohoku,2012H1,41.87,40.45,22790532,1523097,1520911,27060,619515,529836,540274,41010,164349,148740,197200,39470,94407,,,,,,,2325830,2246528,54750,148108,,,,4778438,0.21,41.87
Tokyo,2012H1,42.68,41.35,111915608,1623537,1612706,29760,235223,3641344,3678379,40730,459281,1691729,1563613,39140,693570,,,,0,7,88,12041843,11389435,54590,639781,815936,788302,113890,23172210,0.207,42.68
Chubu,2012H1,42.33,40.82,61876630,5221221,5088545,27440,463906,7284,8685,40840,64470,838799,635115,39000,869825,,,,,,,7256262,6717761,54710,471212,50414,50411,27,12895406,0.208,42.33
Hokuriku,2012H1,38.68,36.52,10870518,3403771,3257116,28600,590450,252029,174928,41490,295496,156019,154510,38870,52330,,,,,,,,,,,,,,2438676,0.224,38.68
Kansai,2012H1,42.14,40.66,42678367,2450029,2445810,28000,214764,145591,134687,40890,86256,2588066,2499579,39240,472837,,,,,,403,3466377,3601096,54800,269415,51,15,213,8918607,0.209,42.14
Chugoku,2012H1,40.21,38.28,19816040,2575016,2540318,28590,582547,627810,628596,41700,130986,618235,582713,40970,151969,,,,,,,1132875,1088097,54550,164422,,,,4254178,0.215,40.21
Shikoku,2012H1,38.94,36.88,8532881,1530584,1510746,27650,446716,483025,460699,41560,157276,139047,151239,40900,74346,,,,,,,181906,140112,54590,63897,,,,1892492,0.222,38.94
Kyushu,2012H1,40.23,38.84,29006217,2537670,2614602,27310,475250,886052,856548,41300,192007,861428,839035,38810,154647,,,,,,,2268935,2280765,54770,175547,,,,6285080,0.217,40.23
Okinawa,2012H1,37.84,34.22,3239820,966073,984647,26060,212812,185370,158234,41550,80377,,,,,,,,,,,65372,12427,54530,45538,,,,741909,0.229,37.84
Hokkaido,2011H2,39.36,37.26,12823299,2931561,3079892,26540,1015549,971371,991001,41510,149985,0,0,,0,,,,,,,,,,,,,,2824661,0.22,39.36
Tohoku,2011H2,42.25,40.94,29092915,1891291,1785809,27960,607500,738235,719358,41030,174787,449119,445897,39360,142906,,,,,,,2906138,2739078,54680,150197,,,,6041471,0.208,42.25
Tokyo,2011H2,42.61,41.33,115021340,1959755,2059266,29830,224393,3772919,3783389,40870,485972,1753743,1869481,39330,631215,,,,0,1122,95,12259120,11446153,54580,590567,690749,674949,74257,23778323,0.207,42.61
Chubu,2011H2,42.27,40.83,63108745,4867926,4785950,27660,331230,11869,24898,40490,66070,718144,1021857,38880,666990,,,,,,,6897730,6809649,54700,268126,0,0,38,13280105,0.21,42.27
Hokuriku,2011H2,39.48,37.44,13390622,3382044,3611962,28630,443795,240856,322216,41520,221182,303848,301548,39000,50721,,,,,,,,,,,,,,2941667,0.22,39.48
Kansai,2011H2,42.19,40.78,44700431,1898145,1966850,28020,210545,107555,97824,40680,83417,3052542,3135627,39290,385294,,,,,,403,3802355,3741002,54850,425615,154,14,357,9457061,0.212,42.19
Chugoku,2011H2,40.83,38.9,21626323,3112298,3239520,28520,611550,678006,668189,41760,132109,513272,555967,40840,116456,,,,,,,898541,983193,54490,121866,,,,4565846,0.211,40.83
Shikoku,2011H2,39.48,37.57,9173858,1695325,1660892,27750,413261,444151,429747,41590,142037,158272,154887,40910,79451,,,,,,,311060,193921,54600,76228,,,,2006107,0.219,39.48
Kyushu,2011H2,40.87,39.5,29289004,3195809,3249445,27330,552182,716572,704900,41390,162503,628821,622828,38730,132254,,,,,,,2286967,2237399,54830,187377,,,,6229713,0.213,40.87
Okinawa,2011H2,37.67,34.06,2847594,1006707,920096,25340,231386,110649,146349,41520,53241,,,,,,,,,,,,,,,,,,655477,0.23,37.67
Hokkaido,2011H1,38.98,36.75,7636250,2259546,2052346,26690,1119250,460742,454634,41650,176717,0,17944,35850,0,,,,,,,,,,,,,,1696376,0.222,38.98
Tohoku,2011H1,41.54,40.11,21691194,1325718,1528364,27490,642205,316679,330063,41320,155914,252699,298524,39670,139989,,,,,,,2183391,2153183,54650,115161,,,,4549809,0.21,41.54
Tokyo,2011H1,42.83,41.44,94245365,1350208,1163187,29970,385534,2001844,1778477,41030,459740,782053,644723,38887,809663,,,,0,1476,1369,11828875,11323519,54562,660882,264631,277300,46257,19308656,0.205,42.83
Chubu,2011H1,41.91,40.33,52885952,4821042,4973657,27730,249254,17276,11893,40710,79537,745270,447102,38850,971548,,,,,,,6225218,5603322,54700,523753,0,0,46,11161594,0.211,41.91
