Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Okinawa,1990H2,36.5,33.73,1128821,,,,,248289,272020,40940,63164,,,,,,,,,,,,,,,,,,271987,0.241,36.5
Hokkaido,1990H1,38.6,36.2,6926101,1969361,2362513,23819,1008197,245436,238052,40814,106936,45059,43284,38679,25143,,,,,,,,,,,,,,1583134,0.229,38.6
Tohoku,1990H1,38.79,37.3,15566878,499052,512194,26749,260260,766361,776012,40898,232093,486439,520892,39140,228823,,,,,,,1228962,1328591,54670,64206,,,,3533352,0.227,38.79
Tokyo,1990H1,39.02,37.41,68337298,190581,190520,29260,3375,3645819,4233409,40730,415417,2692479,2342762,38721,932211,,,,32848,,,6171572,6138031,54544,500655,482323,459265,96897,15486587,0.227,39.02
Chubu,1990H1,38.83,37.18,37727688,,,,,2088400,2139328,40647,388982,2582401,2673180,38595,509888,66002,69281,13307,,,,2864130,2779629,54670,289567,96351,96376,61,8600650,0.228,38.83
Hokuriku,1990H1,37.8,36.17,3936140,,,,,332187,315394,41609,195764,619439,609938,39767,153650,,,,,,,,,,,,,,901356,0.229,37.8
Kansai,1990H1,38.04,36.21,29331812,,,,,1163534,1250387,41107,488287,2759618,2787469,39098,537288,,2,5342,181207,183121,154968,2068879,2016072,54628,235174,,,,6750997,0.23,38.04
Chugoku,1990H1,38.3,35.65,11777126,1698196,2122641,27209,1057048,499567,550620,41651,116492,684740,719622,40354,248984,,,,,,,111874,81965,54837,80601,35725,35272,8638,2656588,0.226,38.3
Shikoku,1990H1,37.78,35.7,4855385,419249,463113,27963,210153,363599,385551,41693,170125,289416,249874,40186,126242,,,,,,,,,,,,,,1110940,0.229,37.78
Kyushu,1990H1,37.8,35.97,13005237,1051068,1029087,26163,369851,709801,702306,41191,257573,613093,574479,39140,138977,,,,,,,880757,832241,54670,129398,30491,29723,1752,3005409,0.231,37.8
Okinawa,1990H1,36.65,33.99,1721836,,,,,423653,412859,40940,86914,,,,,,,,,,,,,,,,,,413077,0.24,36.65
Hokkaido,1989H2,38.39,35.95,6900533,2761267,2538386,23777,1394254,177175,140910,40814,100661,65105,50903,38972,23368,,,,,,,,,,,,,,1585244,0.23,38.39
Tohoku,1989H2,39.11,37.59,14428434,561730,506877,26958,273406,641787,623181,40898,242208,387276,361676,39223,263040,,,,,,,1412593,1345855,54670,163880,,,,3246942,0.225,39.11
Tokyo,1989H2,39.45,37.89,70291559,142996,145071,28800,3314,4446059,4951887,40772,510134,2566694,1963934,38763,1041929,,,,62219,,,6094095,6133946,54544,472297,320495,367841,73840,15743448,0.224,39.45
Chubu,1989H2,39.09,37.53,35181883,,,,,1960826,1912118,40521,440496,2505229,2411250,38637,601020,73854,99094,16587,,,,2696147,2710613,54670,205628,32000,31974,97,7996775,0.227,39.09
Hokuriku,1989H2,38.55,37.13,3185327,,,,,189865,118993,41358,181576,559626,624415,39600,143890,,,,,,,,,,,,,,719950,0.226,38.55
Kansai,1989H2,38.59,36.93,30704092,,,,,1527820,1504691,41274,589300,2663885,2657072,39140,572922,,15,5340,213796,206056,157175,2047393,2058845,54712,188237,,,,6939413,0.226,38.59
Chugoku,1989H2,38.69,36.08,10870429,2143230,1998006,27209,1470241,468256,491241,41819,168198,755569,685380,40102,285785,,,,,,,56285,,,54292,75931,74840,8327,2418625,0.222,38.69
Shikoku,1989H2,38.35,36.39,5660153,531248,589875,28047,251558,420912,410821,41651,197479,341506,314292,39558,86740,,,,,,,,,,,,,,1277277,0.226,38.35
Kyushu,1989H2,38.69,36.78,11915067,1507123,1464304,26163,351128,615831,571673,41191,252241,306322,330451,39098,101542,,,,,,,709393,694352,54670,88235,22465,21726,1289,2696455,0.226,38.69
Okinawa,1989H2,36.58,33.83,1085854,,,,,260235,261092,40940,76120,,,,,,,,,,,,,,,,,,261055,0.24,36.58
Hokkaido,1989H1,38.17,35.72,5763192,1996190,2016272,23358,1175889,175117,180351,40814,66960,49952,63659,38930,9580,,,,,,,,,,,,,,1332598,0.231,38.17
Tohoku,1989H1,39.15,37.62,14944038,439888,487062,26498,212440,628937,690583,40898,224179,375829,341669,39265,237252,,,,,,,1327456,1404243,54670,97245,,,,3359036,0.225,39.15
Tokyo,1989H1,38.99,37.25,62522107,186878,188124,28340,5386,3124808,3786612,40772,496038,2543068,2094190,38888,906581,,,,50008,,,5731333,5788826,54544,514438,359006,324688,121187,14178425,0.227,38.99
Chubu,1989H1,38.84,37.19,34027162,,,,,2132291,2219185,40730,392912,2344903,2405183,38763,508056,75821,75359,41827,,,,2319939,2321519,54670,223372,39731,39715,95,7742952,0.228,38.84
Hokuriku,1989H1,38.04,36.49,2724509,,,,,154961,250718,41233,111163,405665,387804,39642,208713,,,,,,,,,,,,,,625534,0.23,38.04
Kansai,1989H1,37.91,36.07,22511633,,,,,935657,943267,41107,577014,2090280,2036972,39098,576937,,12,5357,146009,150557,149934,1679918,1636128,54670,201645,,,,5199615,0.231,37.91
Chugoku,1989H1,37.98,35.16,9493850,1776627,1886627,27126,1298457,499411,511748,41693,191680,416403,470042,40102,218929,,,,,,,,,,,58127,57601,7228,2157692,0.227,37.98
Shikoku,1989H1,37.66,35.49,4650407,712365,548519,27879,309713,408437,410725,41484,192459,119129,125091,39307,59538,,,,,,,,,,,,,,1070870,0.23,37.66
Kyushu,1989H1,38.06,36.17,11500879,1029445,1041435,26414,317249,619967,629022,41191,210283,440506,441174,39181,126412,,,,,,,736878,702386,54712,73194,31387,30898,826,2645609,0.23,38.06
Okinawa,1989H1,36.48,33.8,1629605,,,,,415223,393108,40898,76974,,,,,,,,,,,,,,,,,,393174,0.241,36.48
Hokkaido,1988H2,38.48,36.14,8244137,2947240,2878721,23567,1169805,255984,229849,40730,73769,99044,98564,38972,23330,,,,,,,,,,,,,,1893216,0.23,38.48
Tohoku,1988H2,39.04,37.52,13639254,562031,466191,26456,259620,596484,543069,40730,286967,292983,272859,39181,203542,,,,,,,1446169,1376215,,174096,,,,3086123,0.226,39.04
Tokyo,1988H2,39.31,37.78,61436910,163019,162632,28674,6641,3496893,3755467,40688,575086,2145925,1701331,38888,992718,,,,2701,,,5767542,5787790,,573491,275001,315471,86869,13835795,0.225,39.31
Chubu,1988H2,39,37.47,34949669,,,,,2572940,2480408,40605,484763,2728164,2567890,38847,570163,82687,72495,41348,,,,2187089,2174070,,225530,16297,16290,89,7944961,0.227,39
Hokuriku,1988H2,37.8,35.86,2415316,,,,,328438,287227,41484,207325,319812,279775,39391,191208,,,,,,,,,,,,,,554810,0.23,37.8
Kansai,1988H2,38.64,36.98,28534865,,,,,998495,930662,40981,609553,3103003,3086957,38972,535840,,53,5365,332236,304194,154876,1765890,1760774,,158563,,,,6488870,0.227,38.64
Chugoku,1988H2,38.5,35.82,11343492,2275878,2155883,27126,1402881,514890,531281,41735,205271,821971,761326,40102,273834,,,,,,,,,,,,,6759,2542496,0.224,38.5
Shikoku,1988H2,37.99,35.87,4509014,449790,454508,27879,142600,458839,369835,41609,199299,161130,187043,39307,65788,,,,,,,,,,,,,,1028913,0.228,37.99
Kyushu,1988H2,38.14,36.41,11399978,796245,645932,24488,332096,645940,637775,41191,222793,498634,477843,39140,128696,,,,,,,796286,843952,,38702,34466,34135,679,2616618,0.229,38.14
Okinawa,1988H2,36.34,33.62,1044862,,,,,248336,252609,40981,54961,,,,,,,,,,,,,,,,,,252595,0.241,36.34
Hokkaido,1988H1,38.16,35.68,7211959,2676959,2698217,23609,1110390,156310,168333,40688,50877,35020,30825,39014,23771,,,,,,,,,,,,,,1672132,0.232,38.16
Tohoku,1988H1,38.68,37.05,11861407,386092,488352,26372,160015,480984,446330,40772,233833,170159,214933,39223,183568,,,,,,,1214567,1186104,,117314,,,,2706701,0.228,38.68
Tokyo,1988H1,38.52,36.81,52028396,190286,187731,27754,6269,2537286,2864170,40688,500589,1968372,1542943,38847,874167,,,,1802,,21690,5399302,5246486,,596588,274522,257684,127339,11964763,0.23,38.52
Chubu,1988H1,38.52,36.88,29935620,,,,,1729821,1830782,40605,395346,1880990,1912236,38763,410130,73406,79738,31247,,,,2366650,2335247,,217212,24532,24426,94,6890611,0.23,38.52
Hokuriku,1988H1,36.53,34.5,1625894,,,,,218015,183910,41526,172492,214856,210759,39349,151230,,,,,,,,,,,,,,385797,0.237,36.53
Kansai,1988H1,38.16,36.38,24705596,,,,,1040012,950340,40940,559857,2262772,2252549,39014,524434,,7,5421,223325,208303,127444,1817092,1809716,,154059,,,,5693911,0.23,38.16
Chugoku,1988H1,38.06,35.43,11434520,2050675,2249851,27628,1258705,486918,480902,41400,222728,713677,684180,39893,215645,,,,,,,,,,,89462,89667,6789,2611037,0.228,38.06
Shikoku,1988H1,37.83,35.73,4729266,613908,573493,27712,144404,267541,277040,41526,116747,321283,270234,39181,91703,,,,,,,,,,,,,,1086208,0.23,37.83
Kyushu,1988H1,37.31,35.39,9229640,391166,404636,23693,184548,731841,753537,41107,216818,355840,310019,39223,109270,,,,,,,702541,660650,,86368,16656,16690,743,2167549,0.235,37.31
Okinawa,1988H1,36.46,33.75,1410469,,,,,343910,338975,41107,59253,,,,,,,,,,,,,,,,,,338828,0.24,36.46
Hokkaido,1987H2,38.49,36.16,8441236,2841999,2984410,23191,1133142,235636,239720,40772,63951,112916,108394,39056,19863,,,,,,,,,,,,,,1937083,0.229,38.49
Tohoku,1987H2,38.95,37.41,12708256,417748,439320,26623,262288,453565,427515,40814,199566,261274,252374,39181,228281,,,,,,,1421344,1342285,,111012,,,,2878223,0.226,38.95
Tokyo,1987H2,39.06,37.46,56177439,193020,194859,28716,3718,2902983,3269284,40647,496398,2008483,1486034,38805,755903,,,,3204,,44313,5546012,5562779,,447798,182992,207237,110501,12755427,0.227,39.06
Chubu,1987H2,38.81,37.19,32438985,,,,,2398895,2380525,40479,502041,2291553,2310065,38763,441608,145362,159932,37573,,,,2076272,2004397,,186141,,,,7433707,0.229,38.81
Hokuriku,1987H2,38.47,36.73,4134598,,,,,384448,429605,41233,142171,540226,533047,39265,147465,,,,,,,,,,,,,,938005,0.227,38.47
Kansai,1987H2,38.53,36.88,24282094,,,,,957376,1038208,40730,480685,2132762,2090925,39098,527110,,1178,5425,289723,311342,112375,1756202,1680052,,147381,,,,5567614,0.229,38.53
Chugoku,1987H2,38.39,35.76,11378053,2255572,2200664,27795,1454229,380453,383673,41693,217419,639239,801528,39977,187276,,,,,,,,,,,53761,52361,7040,2559514,0.225,38.39
Shikoku,1987H2,38.26,36.17,5132588,490637,532540,27921,101006,392944,386258,41651,130005,237750,257637,39265,40804,,,,,,,,,,,,,,1160929,0.226,38.26
Kyushu,1987H2,37.95,36.29,8954959,502450,519120,23274,200402,353754,394892,41107,242953,200499,168289,39223,64717,,,,,,,870211,914643,,44529,20769,21331,901,2064714,0.231,37.95
Okinawa,1987H2,36.93,34.17,1085821,,,,,239221,257434,41107,54323,,,,,,,,,,,,,,,,,,257515,0.237,36.93
Hokkaido,1987H1,38.26,35.67,6488761,2622796,2437033,23526,1284891,135345,141660,40856,70909,49232,33122,39014,16110,,,,,,,,,,,,,,1492933,0.23,38.26
Tohoku,1987H1,38.62,37.01,11594959,368951,461359,26540,279314,357343,393868,40772,173969,131419,160827,39181,219379,,,,,,,1220567,1234026,,60123,,,,2651615,0.229,38.62
Tokyo,1987H1,38.55,36.9,53731171,165474,165987,28381,4531,2755765,3189537,40605,439212,1481838,1142745,38930,635717,,,,3750,58311,61393,5312371,5467255,,468073,319790,267322,134746,12371617,0.23,38.55
Chubu,1987H1,38.43,36.78,29125296,,,,,2436367,2432698,40563,487187,1509939,1637797,38805,446898,219540,223949,64230,,,,1814654,1881640,,116125,,,,6727147,0.231,38.43
Hokuriku,1987H1,37.33,35.63,1697311,,,,,208705,133074,41107,196253,291241,275067,39391,140080,,,,,,,,,,,,,,398036,0.235,37.33
Kansai,1987H1,37.84,35.75,21369303,25938,28183,28674,,786273,761695,40772,574817,2120181,2106899,39056,501154,,11,6603,152590,149339,134123,1482465,1534894,,72285,,,,4997788,0.234,37.84
Chugoku,1987H1,37.85,35.11,10688430,2045047,2383412,27670,1356841,383552,421858,41609,221320,541719,518149,39977,351124,,,,,,,,,,,53729,57705,5665,2442494,0.229,37.85
Shikoku,1987H1,36.93,34.73,3214318,368219,378202,27921,142302,119376,135839,41316,130602,197697,198372,39433,60926,,,,,,,,,,,,,,760072,0.236,36.93
Kyushu,1987H1,36.98,35.13,6526818,373584,377750,24112,220238,267077,272873,40898,285282,99212,150463,39181,32964,,,,,,,673467,664535,,89076,30704,30405,1721,1655924,0.238,36.98
Okinawa,1987H1,36.57,33.79,1238542,,,,,272789,296544,41107,72740,,,,,,,,,,,,,,,,,,296613,0.239,36.57
Hokkaido,1986H2,38.36,35.87,7667580,2970121,2969006,22647,1100923,228549,221158,40647,79140,,,,,,,,,,,,,,,,,,1769310,0.231,38.36
Tohoku,1986H2,38.71,37.38,11870942,446464,303950,26623,371740,355698,339641,40814,210910,188710,137146,39265,248771,,,,,,,1488859,1408653,,95852,,,,2692874,0.227,38.71
Tokyo,1986H2,38.78,37.17,51355517,186201,184396,28340,5045,2624037,2703221,40647,459073,1370000,1225044,38972,640188,,,,2849,109016,186169,5475073,5414127,,631675,135397,155769,82281,11730214,0.228,38.78
Chubu,1986H2,38.78,37.17,33133650,,,,,3098310,3061212,40647,486121,1876573,1724408,38888,573671,455296,450041,68813,,,,1814756,1830166,,183852,,,,7567184,0.228,38.78
Hokuriku,1986H2,37.96,36.14,3160272,,,,,372805,328422,40940,123817,418233,418977,39349,123787,,,,,,,,,,,,,,731973,0.232,37.96
Kansai,1986H2,38.14,36.45,21388105,28481,31011,28423,2203,923913,785594,40647,566003,1796683,1845629,39014,494802,,11950,6617,180121,165291,130909,1646796,1664638,,125538,,,,4965668,0.232,38.14
Chugoku,1986H2,38.37,35.69,9616309,2252441,1850325,27628,1685942,610772,629044,41484,260210,472364,386916,39893,329716,,,,,,,,,,,45273,39227,9653,2174091,0.226,38.37
Shikoku,1986H2,38.09,35.95,5388934,606890,606339,27921,149670,539296,529543,41567,149433,134274,127091,39349,61781,,,,,,,,,,,,,,1226176,0.228,38.09
Kyushu,1986H2,37.97,36.33,8290205,457474,429674,23693,226782,471481,438613,41023,291674,102267,108322,39140,84908,,,,,,,842889,833608,,80264,24620,23072,1745,1916378,0.231,37.97
Okinawa,1986H2,36.29,33.56,931834,,,,,233047,225013,41065,96502,,,,,,,,,,,,,,,,,,225082,0.242,36.29
Hokkaido,1986H1,39.13,36.41,6743893,2936071,2514709,23860,1109587,137228,139617,40898,75111,,,,,,,,,,,,,,,,,,1517046,0.225,39.13
Tohoku,1986H1,38.71,37.19,10807460,344047,361974,27126,223734,259251,296624,40814,195415,227431,175750,39265,197113,,2811,,,,,1205668,1193137,,45739,,,,2461619,0.228,38.71
Tokyo,1986H1,38.21,36.49,46391908,150237,153994,28591,3247,2264664,2455813,40605,400134,1349860,1202108,38888,628015,,0,0,2850,0,296845,4892263,4915615,,581118,223626,230454,102653,10758957,0.231,38.21
Chubu,1986H1,38.43,36.74,29975214,,,,,2048369,2081460,40647,452852,1901371,1960537,38888,421216,441815,443285,63546,,,,1933873,1908799,,199361,,,,6907730,0.23,38.43
Hokuriku,1986H1,37.69,35.82,1678584,,,,,131303,144421,41107,84313,285496,255316,39349,127945,,,,,,,,,,,,,,390132,0.232,37.69
Kansai,1986H1,37.52,35.65,18613447,30826,28059,27586,4548,649665,690209,40563,442769,1463214,1523593,38847,558369,,945,18573,72347,139813,116203,1517748,1567648,,143864,,,,4402681,0.237,37.52
Chugoku,1986H1,38.22,35.71,9870716,1962108,1631333,27377,1267392,300091,261560,41526,279345,1058517,963589,39809,251459,,,,,,,,,,,53752,53394,3641,2239033,0.227,38.22
Shikoku,1986H1,36.76,34.48,2984787,437649,400151,27963,151046,109201,114735,41442,147940,149735,144678,39223,54738,,,,,,,,,,,,,,707417,0.237,36.76
Kyushu,1986H1,37.2,35.49,6628649,334247,299921,24447,201475,218197,276040,40814,262228,149302,136759,39223,91571,,,,,,,769029,715436,,71093,25843,26864,492,1570290,0.237,37.2
Okinawa,1986H1,36.62,34.07,1957601,,,,,484150,467656,41149,88557,,,,,,,,,,,,,,,,,,467642,0.239,36.62
Hokkaido,1985H2,38.79,36.26,8130486,3022414,3170170,23065,689851,152816,170384,41107,79812,,,,,,,,,,,,,,,,,,1834543,0.226,38.79
Tohoku,1985H2,38.95,37.43,12335884,518025,356263,27167,241687,444725,479125,40898,233113,204813,205137,39223,145312,,132,2811,,,,1228551,1262862,,33230,,,,2784787,0.225,38.95
Tokyo,1985H2,38.54,36.93,49377296,165707,165407,27963,7004,2687869,2888387,40605,463724,1823768,1653244,39056,631887,3165,24202,270881,,,,4968252,4807196,,608270,86037,75819,109481,11356884,0.229,38.54
Chubu,1985H2,38.72,37.12,32361805,,,,,2869369,2932613,40647,487160,1832766,1748815,38763,480522,305554,296295,65112,,,,1925377,1896417,,174778,,,,7402094,0.229,38.72
Hokuriku,1985H2,38.97,37.22,4251344,,,,,445852,458835,41149,101176,523032,513526,39349,98030,,1455,,,,,,,,,,,,954794,0.225,38.97
Kansai,1985H2,37.77,36.02,18270729,31052,29568,29428,2341,480181,436925,40521,491515,1645200,1649907,39014,628525,,1148,19523,99479,,183627,1676970,1595371,,195948,,,,4304188,0.236,37.77
Chugoku,1985H2,38.14,35.71,10468028,1661801,1398072,28381,934579,578922,603629,41567,243231,785646,733225,40019,160001,,,,,,,,,,,161271,162762,3307,2376857,0.227,38.14
Shikoku,1985H2,38.28,36.29,5193616,521714,595530,27754,112662,385599,429380,41567,155940,210217,186133,39265,49655,,,,,,,,,,,,,,1176390,0.227,38.28
Kyushu,1985H2,37.6,35.85,7113319,491530,464370,24028,169002,292491,308064,40856,320544,92998,92802,39098,79406,,,,,,,717332,735217,,17584,23252,21916,1818,1667617,0.234,37.6
Okinawa,1985H2,37.28,34.73,1657133,,,,,372362,389621,41065,72064,,,,,,,,,,,,,,,,,,389640,0.235,37.28
Hokkaido,1985H1,38.12,35.51,7093700,2838383,2783024,22688,847959,178131,187382,40940,100119,,,,,,,,,,,,,,,,,,1636802,0.231,38.12
Tohoku,1985H1,38.25,36.59,12075785,488277,524531,27084,75927,450919,501120,40814,268275,226365,242417,39181,145606,,7156,2943,,,,1105170,1133538,,67802,,,,2784482,0.23,38.25
Tokyo,1985H1,38.07,36.41,47413343,178029,173211,27921,6728,2542252,2720855,40647,412762,1319258,1194875,39056,703077,51733,3539,301718,,,,4955099,4936715,,458751,229138,228265,99263,11031531,0.232,38.07
Chubu,1985H1,38.41,36.76,30372275,,,,,2390759,2377361,40647,552718,1508251,1546690,38805,365577,270481,296511,86007,,,,2097125,2157625,,146322,,,,7004039,0.231,38.41
Hokuriku,1985H1,37.92,36.09,2309531,,,,,246567,239109,41149,125046,297337,298981,39349,89692,,3650,1455,,3723,3853,,,,,,,,532716,0.231,37.92
Kansai,1985H1,37.47,35.49,20170031,26150,31162,27335,395,851332,834393,40605,459624,1476807,1439794,39014,635673,,30,20685,60037,142479,199985,1727488,1789999,,114920,,,,4772888,0.237,37.47
Chugoku,1985H1,37.56,35.01,9628271,1272681,1180122,27879,669634,780679,892863,41567,272951,449490,494134,39977,114010,,,,,,,,,,,98496,99493,4808,2219902,0.231,37.56
Shikoku,1985H1,37.7,35.52,4436700,700407,627474,27670,183890,407429,399107,41316,205441,11017,28965,39140,25828,,,,,,,,,,,,,,1024719,0.231,37.7
Kyushu,1985H1,37.49,35.71,8968204,525242,491908,20972,144047,312600,507971,40981,338445,189144,239823,38930,80045,,,,,,,806017,810067,,35576,22588,21327,781,2101272,0.234,37.49
Okinawa,1985H1,36.96,34.49,2105190,,,,,502490,498988,41107,89323,,,,,,,,,,,,,,,,,,498799,0.237,36.96
Hokkaido,1984H2,37.6,35.24,7390697,2584319,2694544,21349,793839,350075,396005,41065,109981,20993,20984,39265,,,,,,,,,,,,,,,1723363,0.233,37.6
Tohoku,1984H2,38.44,36.93,15050352,357723,416820,27251,112213,648576,644489,40940,318935,439523,418428,39223,161627,2025,3896,10099,,,,1423677,1408882,,96462,14480,14480,,3443308,0.232,38.44
Tokyo,1984H2,38.57,37.05,51799700,43992,42069,28088,1910,3237811,3547167,40563,461264,1853194,1754469,38888,633950,4289,9198,329724,,,,4522787,4536891,,445404,225497,261352,98392,11916173,0.229,38.57
Chubu,1984H2,38.75,37.19,31776170,,,,,2744381,2688512,40647,542340,1804201,1795798,38888,404436,442809,468436,112286,,,,1894421,1821695,,207078,,,,7262519,0.229,38.75
Hokuriku,1984H2,38.96,37.43,3206416,,,,,321898,272044,40898,123752,462350,461241,39307,92804,,,5105,,10601,7576,,,,,,,,724174,0.226,38.96
Kansai,1984H2,37.99,36.24,20580019,27007,29499,27293,5407,512376,546681,40814,456696,1758225,1821157,38930,606531,198219,201991,303241,,,,1789633,1719999,,177858,,,,4779883,0.232,37.99
Chugoku,1984H2,37.91,35.45,10012461,1223602,1093136,27837,576022,1206140,1160966,41526,388423,295645,327399,39726,169165,,,,,,,,,,,124896,121712,5813,2290719,0.229,37.91
Shikoku,1984H2,38.52,36.48,4390402,498301,472386,28130,114421,418039,476464,41316,199759,5017,18077,39349,43748,,,,,,,,,,,,,,992848,0.226,38.52
Kyushu,1984H2,37.9,36.18,9929732,561961,586068,23191,113346,568065,497277,40898,537103,222918,226376,38972,132255,,,,,,,982801,962358,,39670,17,20,4,2301928,0.232,37.9
Okinawa,1984H2,37.48,34.91,1590224,,,,,378271,371587,41107,85815,,,,,,,,,,,,,,,,,,371605,0.234,37.48
Hokkaido,1984H1,37.52,35.1,6645547,2349493,2443916,21516,915947,386579,359213,40772,158318,,,,,,,,,,,,,,,,,,1564202,0.235,37.52
Tohoku,1984H1,37.33,35.43,11299482,546178,529781,26874,165255,617044,625922,40856,317747,250878,259807,39181,140537,11983,9887,11970,,,,921592,908335,,82224,,,,2667348,0.237,37.33
Tokyo,1984H1,38.2,36.63,48287898,,,,,3574294,3437636,40563,531396,1907271,1539695,38888,741575,256594,154863,377839,,,,4466611,4367720,,463269,229526,180561,134248,11219756,0.232,38.2
Chubu,1984H1,38.55,36.93,29967577,,,,,2584453,2580414,40730,486406,1450713,1431525,38888,393046,300919,271947,138301,,,,1921483,2006063,,135246,,,,6870645,0.229,38.55
Hokuriku,1984H1,37.9,35.98,2174177,,,,,164260,215347,41107,77871,266954,289592,39265,91772,,10371,5105,,,18177,,,,,,,,502448,0.231,37.9
Kansai,1984H1,37.78,35.97,24794401,28962,28596,28926,7397,1107472,979817,40772,519119,2372385,2394428,39014,670134,177633,167829,302094,,,,1734037,1759846,,108993,,,,5794465,0.234,37.78
Chugoku,1984H1,37.58,35.04,9815863,1032067,1148397,28047,446930,1154990,1200123,41316,350782,396467,286771,39433,211010,,,,,,,,,,,57833,59785,2657,2275024,0.232,37.58
Shikoku,1984H1,38.26,36.17,4901732,557724,608707,27712,88661,515607,480886,41358,262554,54964,62535,39056,56992,,,,,,,,,,,,,,1113900,0.227,38.26
Kyushu,1984H1,37.54,35.68,9855592,510707,510114,23609,139552,660441,708030,40981,469562,294595,285629,38888,137281,,,,,,,784551,789915,,19227,21,21,7,2306050,0.234,37.54
Okinawa,1984H1,37.03,34.56,2053211,,,,,479400,485415,41107,79134,,,,,,,,,,,,,,,,,,485524,0.236,37.03
Hokkaido,1983H2,37.98,35.65,7449372,2290082,2574595,21307,1011787,422204,453279,41023,132094,20983,20909,39474,,,,,,,,,,,,,,,1720395,0.231,37.98
Tohoku,1983H2,38.6,37.01,15105064,474840,487561,27628,148858,1564893,1574318,40730,328583,588572,564025,39265,149447,11961,9542,9874,,,,596580,565915,,69821,18408,18408,,3459274,0.229,38.6
Tokyo,1983H2,38.66,37.2,48895903,,,,,3479825,3815116,40563,283492,1841614,1845066,38847,566607,437514,394211,194845,,,,3707014,3580524,,366907,361556,390847,85292,11225214,0.229,38.66
Chubu,1983H2,38.92,37.37,30401208,,,,,2638206,2567876,40688,484006,1830370,1927791,38888,371022,279030,273706,109367,,,,1721436,1687867,,219829,,,,6909097,0.227,38.92
Hokuriku,1983H2,38.86,37.18,4079685,,,,,372499,385523,41065,134552,576312,557272,39349,114800,,,15476,,,18177,,,,,,,,920415,0.226,38.86
Kansai,1983H2,38.1,36.39,24878823,32790,29943,28591,7037,1373255,1203134,40730,534893,1804268,1993657,39098,590001,559244,429662,287579,,,,1665491,1686298,,135548,,,,5768635,0.232,38.1
Chugoku,1983H2,38.16,35.82,10354753,1004287,754895,27712,561487,1617552,1461608,41400,399892,385488,354285,39265,111515,,,,,,,,,,,75671,73577,4647,2359586,0.228,38.16
Shikoku,1983H2,38.83,36.87,5008152,534893,474023,27837,139743,525534,529698,41442,230988,164041,140111,39098,64834,,,,,,,,,,,,,,1121019,0.224,38.83
Kyushu,1983H2,38.44,36.76,11978613,475792,523441,23023,140448,990727,900355,40981,524823,404472,366838,38847,130647,,,,,,,897459,913620,,24686,12,12,7,2735900,0.228,38.44
Okinawa,1983H2,37.4,34.88,1542264,,,,,380003,361279,41065,85155,,,,,,,,,,,,,,,,,,361483,0.234,37.4
Hokkaido,1983H1,37.37,34.76,6049835,2313304,2336882,21474,1305901,348883,277852,41065,166860,,,,,,,,,,,,,,,,,,1420035,0.235,37.37
Tohoku,1983H1,38.15,36.35,10775399,631670,624881,26874,162571,1035884,1102253,40688,341084,644094,733052,39349,124640,11980,20378,7455,,,,39623,467,,39156,,,,2498401,0.232,38.15
Tokyo,1983H1,38.38,36.87,43693656,,,,,3306676,3442731,40563,513830,1868733,1754490,38972,620891,439254,399158,208299,,,,3372461,3276291,,244442,193553,174328,114585,10100020,0.231,38.38
