Company,Year_term,Fund requirements (construction funds) (M. JPY),Construction funds (M. JPY),Deferred payment for imported products (M. JPY),Deferred payment for domestic products   (M. JPY),Amortization (M. JPY),Bonds (M. JPY),Borrowings (M. JPY),Commercial bank loans (M. JPY),Bond issuing bank loans (M. JPY),Governmental financial institution (M. JPY),Other loans (M. JPY),Total (M. JPY),Internal funds (M. JPY),Internal reserves (M. JPY),Depreciation (M. JPY),Miscellaneous amortization (M. JPY),Reserves and provisions (M. JPY),Others (M. JPY),Customer contribution &c. (M. JPY),Capital increase (amount of issue) (M. JPY),Net proceeds from capital increase (M. JPY),External funds (M. JPY),"Bonds 
(amount of issue) (M. JPY)","Proceeds from 
bond issue (M. JPY)",Borrowings2 (M. JPY),Commercial bank loans2 (M. JPY),Bond issuing bank loans2 (M. JPY),Governmental financial institution2 (M. JPY),Other loans2 (M. JPY),Deferred payment borrowed money (M. JPY),Foreign capital deferred payment borrowed money (M. JPY),Domestic deferred payment borrowed money (M. JPY),Total2 (M. JPY)
会社名,年期,総工事資金,工事資金,外資延払,国内延払,債務償還,社債,借入金,市中銀行,債券発行銀行,政府系金融機関,その他借入金,合計,自己資金,内部留保,減価償却費,諸償却費,積立金,その他,工事費負担金等,増資発行額,増資手取額,外部資金,社債発行額,社債手取額,借入金2,市中銀行2,債券発行銀行2,政府系金融機関2,その他借入金2,延払借入,外資延払借入,国内延払借入,合計2
Hokkaido,2004,83655,83655,,,182215,63008,119207,,,,99635,265870,98471,110117,73250,327,,36539,-11646,,,167399,50000,49799,117600,,,,109600,,,,265870
Tohoku,2004,224865,224865,,,926149,71579,854570,,,,813715,1151014,362960,317196,234747,163,,82285,45764,,,788053,40000,39853,748200,,,,743200,,,,1151014
Tokyo,2004,464223,464223,,,3394700,123700,3271000,,,,3201594,3858923,1141351,1120745,785909,860,,333975,20605,,,2717572,250000,249171,2468401,,,,2457401,,,,3858923
Chubu,2004,123638,123638,,,2090400,518506,1571894,,,,1508789,2214038,490575,530256,384841,298,,145117,-39681,,,1723463,68000,67742,1655721,,,,1644204,,,,2214038
Hokuriku,2004,71613,71613,,,494649,84964,409685,,,,386681,566263,94090,92149,70558,242,,21349,1941,,,472173,70000,69773,402400,,,,399400,,,,566263
Kansai,2004,197819,197819,,,1526480,447283,1079197,,,,1014426,1724299,622579,725411,359587,365,,365458,-102831,,,1101720,90000,89635,1012085,,,,992749,,,,1724299
Chugoku,2004,90770,90770,,,1059484,110000,949484,,,,916158,1150254,206231,186731,144622,57,,42052,19500,,,944022,15000,14942,929080,,,,927400,,,,1150254
Shikoku,2004,52719,52719,,,137637,30000,107637,,,,90933,190356,125546,121849,84890,189,,36769,3697,,,64810,50000,49810,15000,,,,14000,,,,190356
Kyushu,2004,190360,190360,,,538442,78628,459814,,,,414673,728802,374885,362535,210386,337,,151812,12350,,,353917,100000,99632,254285,,,,243900,,,,728802
Okinawa,2004,12891,12891,,,75227,2000,73227,,,,37077,88118,35119,35690,27712,394,,7582,-570,,,52999,7000,6999,46000,,,,33000,,,,88118
Hokkaido,2003,92514,92514,,,190178,60484,129694,56200,918,,53472,282693,126897,124926,80339,341,,44245,1971,,,155795,50000,49795,106000,47300,,,53700,,,,282693
Tohoku,2003,188585,188585,,,1156077,180000,976077,468400,5543,,457269,1344662,301207,335001,227381,511,,107109,-33794,,,1043455,140000,139435,904020,405520,,,488500,,,,1344662
Tokyo,2003,576116,576116,,,4641086,461361,4179725,,85886,,4023669,5217202,963136,943065,845028,1859,,96177,20071,,,4254065,534270,532095,3721970,,6837,,3693133,,,,5217202
Chubu,2003,215854,215854,,,1784643,208182,1576461,290000,4996,,1215911,2000497,504726,503166,351577,351,,151238,1560,,,1495771,94000,93664,1402107,260000,,,1129288,,,,2000497
Hokuriku,2003,90207,90207,,,405930,33393,372537,111688,613,,248639,496137,104928,104400,76183,210,,28007,528,,,391209,45000,44809,346400,107000,,,236400,,,,496137
Kansai,2003,249115,249115,,,2050608,202180,1848428,386343,8734,,1378793,2299723,735369,741745,388915,119,,352711,-6376,,,1564353,30000,29881,1534472,335742,,,1180618,,,,2299723
