Manufacturing_
Machinery_Total Manufacturing (MWh)","Mining and Manufacturing_
Total of Mining and Manufacturing (MWh)",Others_Railways (MWh),Others_Other than railways (MWh),Others_Total Others (MWh),Grand total (MWh)
会社名,年期,鉱工業_鉱業_石炭鉱業,鉱工業_鉱業_その他,鉱工業_鉱業_鉱業計,鉱工業_製造業_食料品製造業,鉱工業_製造業_繊維工業,鉱工業_製造業_パルプ紙紙加工品製造業,鉱工業_製造業_化学工業_アンモニア系肥料製造業,鉱工業_製造業_化学工業_石灰窒素製造業電炉工業,鉱工業_製造業_化学工業_ソーダ工業,鉱工業_製造業_化学工業_石油化学系基礎製品製造業,鉱工業_製造業_化学工業_化学繊維製造業,鉱工業_製造業_化学工業_その他,鉱工業_製造業_化学工業_化学工業計,鉱工業_製造業_化学工業_石油製品石炭製品製造業,鉱工業_製造業_化学工業_ゴム製品製造業,鉱工業_製造業_窯業土石製品製造業_セメント製造業,鉱工業_製造業_窯業土石製品製造業_その他,鉱工業_製造業_窯業土石製品製造業_窯業土石製品製造業計,鉱工業_製造業_鉄鋼業_高炉による製鉄業,鉱工業_製造業_鉄鋼業_その他,鉱工業_製造業_鉄鋼業_鉄鋼業計,鉱工業_製造業_非鉄金属製造業_アルミニウム第一次製錬精製業,鉱工業_製造業_非鉄金属製造業_その他,鉱工業_製造業_非鉄金属製造業_非鉄金属製造業計,鉱工業_製造業_機械器具製造業_電気機械器具製造業,鉱工業_製造業_機械器具製造業_輸送用機械器具製造業,鉱工業_製造業_機械器具製造業_その他,鉱工業_製造業_機械器具製造業_機械器具製造業計,鉱工業_製造業_機械器具製造業_その他2,鉱工業_製造業_機械器具製造業_製造業計,鉱工業_機械器具製造業_鉱工業計,その他_鉄道業,その他_その他,その他_その他計,合計
Okinawa,201501,,,473,8165,0,483,,,,,,,1146,3797,0,,,5565,,,10345,,,459,,,,0,2153,32113,32586,646,33575,34221,66807
Hokkaido,201412,,,8020,94360,,36584,,,,,,,19399,1006,,,,4468,,,44521,,,4589,,,,48949,34297,288173,296193,33300,50467,83767,379960
Tohoku,201412,,,15413,130417,6531,59575,,,,,,,165283,1686,25522,,,72564,,,225115,,,298318,,,,587842,177979,1750832,1766245,135692,185583,321275,2087520
Tokyo,201412,,,14869,444398,27254,188570,,,,,,,776445,45804,43784,,,183552,,,673484,,,293178,,,,1241405,729184,4647059,4661928,491992,954051,1446043,6107971
Chubu,201412,,,3727,212387,62156,119280,,,,,,,208938,15646,55120,,,202698,,,530952,,,106403,,,,1721298,435340,3670218,3673945,231605,252327,483932,4157877
Hokuriku,201412,,,0,16711,82777,22279,,,,,,,114769,476,1697,,,30451,,,66672,,,79783,,,,269192,126466,811273,811273,23988,52871,76859,888132
Kansai,201412,,,8671,182276,50380,59353,,,,,,,362334,46794,25589,,,213966,,,635937,,,144216,,,,620269,356986,2698100,2706771,381851,358295,740146,3446917
Chugoku,201412,,,13485,86262,32367,38195,,,,,,,208443,53409,25673,,,58593,,,509163,,,133177,,,,388162,101610,1635054,1648539,110183,108772,218955,1867494
Shikoku,201412,,,4932,39008,29324,126366,,,,,,,83789,26612,4315,,,1604,,,78530,,,,,,,146852,55800,592200,597132,8767,41894,50661,647793
Kyushu,201412,,,15311,184888,26883,27423,,,,,,,219979,11580,45843,,,92130,,,199766,,,158134,,,,512273,143383,1622282,1637593,97287,185894,283181,1920774
Okinawa,201412,,,482,8314,0,424,,,,,,,1180,3674,0,,,6339,,,13262,,,468,,,,0,1424,35085,35567,646,34081,34727,70294
Hokkaido,201411,,,8008,95661,,48155,,,,,,,22280,1413,,,,7662,,,52626,,,4607,,,,50018,32890,315312,323320,26582,47414,73996,397316
Tohoku,201411,,,14874,127090,6306,70346,,,,,,,171517,1470,26493,,,80681,,,239010,,,296732,,,,574828,172841,1767314,1782188,111845,172054,283899,2066087
Tokyo,201411,,,14424,457054,29208,199952,,,,,,,831783,33149,47940,,,183742,,,698665,,,304463,,,,1218959,746199,4751116,4765540,447180,943850,1391031,6156570
Chubu,201411,,,3346,211202,68990,124397,,,,,,,218876,11683,54382,,,203499,,,552049,,,111777,,,,1711618,429862,3698335,3701681,211519,241137,452656,4154337
Hokuriku,201411,,,0,16628,81939,25056,,,,,,,120248,514,1653,,,30508,,,69009,,,76740,,,,259496,119988,801779,801779,18597,46165,64762,866541
Kansai,201411,,,8640,183942,46615,62420,,,,,,,357203,40881,25745,,,215342,,,675916,,,139779,,,,606792,363218,2717853,2726493,340746,344308,685054,3411547
Chugoku,201411,,,11839,87036,34299,34266,,,,,,,237278,52058,25209,,,58617,,,468736,,,114239,,,,377154,100221,1589113,1600952,101941,101076,203017,1803969
Shikoku,201411,,,4521,39337,23861,123698,,,,,,,88947,25269,4280,,,1479,,,77760,,,,,,,149159,54664,588454,592975,7539,39464,47003,639978
Kyushu,201411,,,14716,189916,26423,26633,,,,,,,229870,14768,49011,,,90412,,,200487,,,144366,,,,508648,144492,1625026,1639742,86587,176939,263526,1903268
Okinawa,201411,,,471,9363,0,444,,,,,,,1253,3541,0,,,6527,,,12441,,,481,,,,0,2094,36144,36615,700,37643,38343,74958
Hokkaido,201410,,,8670,108445,,46193,,,,,,,25144,1446,,,,9284,,,87062,,,4899,,,,52126,34413,369012,377682,25958,49270,75228,452910
Tohoku,201410,,,14734,135602,6541,76892,,,,,,,163800,1441,27592,,,73963,,,241873,,,303747,,,,607739,180840,1820030,1834764,109595,175918,285513,2120277
Tokyo,201410,,,13797,484460,27700,210502,,,,,,,791195,37955,53194,,,183600,,,705027,,,311897,,,,1284755,774977,4865262,4879060,467247,1002934,1470181,6349241
Chubu,201410,,,3494,231782,91682,123821,,,,,,,240253,10797,64500,,,211124,,,534570,,,118779,,,,1849615,459237,3936160,3939654,210448,260139,470587,4410241
Hokuriku,201410,,,0,17334,90351,27983,,,,,,,112716,506,1870,,,33575,,,71880,,,78154,,,,276173,129401,839943,839943,18337,48853,67190,907133
Kansai,201410,,,8772,205477,48662,66038,,,,,,,368609,31555,28457,,,221843,,,741897,,,142220,,,,657317,387018,2899093,2907865,352814,372253,725067,3632932
Chugoku,201410,,,12463,95705,36701,36749,,,,,,,215865,64077,27560,,,59427,,,500905,,,130040,,,,419068,106886,1692983,1705446,100502,108463,208965,1914411
Shikoku,201410,,,4391,43730,31762,93715,,,,,,,95135,27338,4717,,,1535,,,81001,,,,,,,158563,58219,595715,600106,7425,42140,49565,649671
Kyushu,201410,,,14635,208768,21122,25423,,,,,,,220843,11740,52695,,,90337,,,203586,,,152690,,,,546329,157083,1690616,1705251,88540,190261,278801,1984052
Okinawa,201410,,,466,9916,0,404,,,,,,,1308,3576,0,,,6059,,,12012,,,492,,,,0,2393,36160,36626,739,41266,42005,78631
Hokkaido,201409,,,8025,111082,,41363,,,,,,,23623,1378,,,,3530,,,58583,,,4808,,,,52607,33074,330048,338073,25898,49216,75114,413187
Tohoku,201409,,,13930,138067,6396,59959,,,,,,,172355,1468,27876,,,65641,,,222717,,,302204,,,,609467,179379,1785529,1799459,107372,174247,281619,2081078
Tokyo,201409,,,13458,508390,25376,199538,,,,,,,743661,51455,50509,,,178570,,,701795,,,309143,,,,1320434,794824,4883695,4897153,475781,1012063,1487844,6384997
Chubu,201409,,,3318,237697,81311,122350,,,,,,,235909,14522,60381,,,201970,,,559747,,,117004,,,,1895976,464670,3991537,3994855,209120,263494,472614,4467469
Hokuriku,201409,,,0,19106,85019,22893,,,,,,,118268,439,1948,,,28880,,,67093,,,77128,,,,280114,129400,830288,830288,18028,48258,66286,896574
Kansai,201409,,,8288,210415,52564,66767,,,,,,,365422,27089,30371,,,217452,,,667716,,,124918,,,,674497,392487,2829698,2837986,364004,357926,721930,3559916
Chugoku,201409,,,11970,98955,36745,34200,,,,,,,206638,50667,28820,,,69410,,,507022,,,131039,,,,422880,109240,1695616,1707586,99659,107681,207340,1914926
Shikoku,201409,,,4553,44778,22902,90775,,,,,,,95085,25820,4888,,,1333,,,53206,,,,,,,159772,56465,555024,559577,7717,41065,48782,608359
Kyushu,201409,,,14307,212007,25639,23845,,,,,,,231353,11272,47371,,,76229,,,214487,,,150983,,,,561916,155201,1710303,1724610,90488,194382,284870,2009480
Okinawa,201409,,,390,10458,0,426,,,,,,,1483,3948,0,,,4355,,,12668,,,472,,,,0,2386,36196,36586,766,43024,43790,80376
Hokkaido,201408,,,8512,110123,,46722,,,,,,,22225,1427,,,,3552,,,56693,,,5184,,,,51031,32182,329139,337651,25368,52076,77444,415095
Tohoku,201408,,,13095,146878,6226,55868,,,,,,,172246,1398,25255,,,76126,,,215851,,,298609,,,,603801,174875,1777133,1790228,117134,189072,306206,2096434
Tokyo,201408,,,12258,556432,24423,190525,,,,,,,768754,58420,46859,,,168998,,,647826,,,296980,,,,1276260,779158,4814634,4826892,539683,1136594,1676277,6503169
Chubu,201408,,,2908,257667,77661,108747,,,,,,,222492,16855,53577,,,184193,,,471496,,,101681,,,,1785630,433510,3713509,3716417,232442,281793,514235,4230652
Hokuriku,201408,,,0,20529,83587,22950,,,,,,,112839,411,1668,,,28750,,,60284,,,71954,,,,282638,123455,809065,809065,19782,52596,72378,881443
Kansai,201408,,,7189,226586,50866,64018,,,,,,,367731,33912,29783,,,219657,,,645832,,,116677,,,,670952,384488,2810502,2817691,408494,382402,790896,3608587
Chugoku,201408,,,11174,103660,34402,34404,,,,,,,224220,50049,25444,,,60632,,,499177,,,131952,,,,404392,104334,1672666,1683840,109898,115525,225423,1909263
Shikoku,201408,,,3961,46517,24135,90102,,,,,,,92158,29933,4407,,,1341,,,62969,,,,,,,157201,53556,562319,566280,8321,44858,53179,619459
Kyushu,201408,,,13542,218759,25171,24951,,,,,,,226243,11393,43109,,,66587,,,236722,,,158710,,,,567788,147376,1726809,1740351,99468,201535,301003,2041354
Okinawa,201408,,,417,10801,0,444,,,,,,,1329,4108,0,,,5440,,,11554,,,517,,,,0,2427,36620,37037,765,46570,47335,84372
Hokkaido,201407,,,7842,107237,,44597,,,,,,,25832,5364,,,,5668,,,60740,,,5392,,,,57817,35887,348534,356376,26198,50851,77049,433425
Tohoku,201407,,,13098,148432,7213,50434,,,,,,,174744,1635,29984,,,78863,,,229673,,,261589,,,,664088,195251,1841906,1855004,110257,191238,301495,2156499
Tokyo,201407,,,13685,552047,25032,204217,,,,,,,768201,45892,53444,,,183815,,,619068,,,305466,,,,1427932,846909,5032024,5045709,530105,1112297,1642402,6688111
Chubu,201407,,,3391,267212,83450,121890,,,,,,,238868,17034,66028,,,210417,,,530116,,,125836,,,,2075444,508548,4244843,4248234,223087,282066,505153,4753387
Hokuriku,201407,,,0,21018,90036,22383,,,,,,,113075,444,1996,,,31504,,,70322,,,81866,,,,301019,140861,874524,874524,19414,54557,73971,948495
Kansai,201407,,,8558,236953,57418,70624,,,,,,,367095,40208,31975,,,229634,,,695460,,,135152,,,,752052,437046,3053617,3062175,402967,395205,798172,3860347
Chugoku,201407,,,12222,105683,40546,34240,,,,,,,223970,47608,31203,,,62255,,,486299,,,133841,,,,462459,115132,1743236,1755458,104289,117406,221695,1977153
Shikoku,201407,,,4556,46909,28331,92833,,,,,,,92666,27270,5542,,,1339,,,71832,,,,,,,172162,59707,598591,603147,8549,44868,53417,656564
Kyushu,201407,,,14108,228373,30838,25014,,,,,,,238054,9233,50344,,,73261,,,231641,,,161505,,,,597097,168624,1813984,1828092,96950,205975,302925,2131017
Okinawa,201407,,,446,9501,0,470,,,,,,,1110,3589,0,,,5465,,,12428,,,537,,,,0,2327,35427,35873,718,41425,42143,78016
Hokkaido,201406,,,6906,96966,,49076,,,,,,,25478,3197,,,,5735,,,57516,,,4970,,,,52446,33119,328503,335409,24661,47536,72197,407606
Tohoku,201406,,,13190,133592,6811,62493,,,,,,,159285,1539,28340,,,71767,,,233587,,,301312,,,,616078,182238,1797042,1810232,103121,175279,278400,2088632
Tokyo,201406,,,12740,513972,26146,208699,,,,,,,715615,59620,49656,,,190756,,,735679,,,310797,,,,1335399,815623,4961963,4974703,474872,1044980,1519852,6494555
Chubu,201406,,,3272,238551,78717,118041,,,,,,,224821,14849,63934,,,206002,,,610732,,,117948,,,,1858091,461371,3993057,3996329,207318,260503,467821,4464150
Hokuriku,201406,,,0,18501,84987,19239,,,,,,,117847,414,1787,,,33983,,,64900,,,80809,,,,273524,126890,822881,822881,17799,50971,68770,891651
Kansai,201406,,,8217,213024,51283,67348,,,,,,,381966,38638,29173,,,223780,,,704913,,,150129,,,,684573,403233,2948060,2956277,359192,372595,731787,3688064
Chugoku,201406,,,12104,94846,36985,40972,,,,,,,236060,41958,27661,,,108114,,,483053,,,128555,,,,411034,110332,1719570,1731674,97715,109199,206914,1938588
Shikoku,201406,,,4446,42760,31841,100217,,,,,,,92638,25931,4825,,,1275,,,76760,,,,,,,156713,55548,588508,592954,7615,40464,48079,641033
Kyushu,201406,,,13806,205295,24039,29473,,,,,,,240561,3830,51987,,,81541,,,237985,,,152501,,,,547043,154660,1728915,1742721,87162,187816,274978,2017699
Okinawa,201406,,,449,8862,0,459,,,,,,,1327,3873,0,,,5545,,,12687,,,492,,,,0,1790,35035,35484,685,38915,39600,75084
Hokkaido,201405,,,8043,94819,,60027,,,,,,,25526,1824,,,,10044,,,52958,,,4723,,,,50251,31685,331857,339900,24956,48226,73182,413082
Tohoku,201405,,,13843,126322,6632,61804,,,,,,,145397,1508,25593,,,74175,,,257907,,,296439,,,,564550,170044,1730371,1744214,106754,171301,278055,2022269
Tokyo,201405,,,13322,474344,26313,200051,,,,,,,710895,67839,43812,,,177853,,,742913,,,304122,,,,1167254,735752,4651148,4664470,466671,984509,1451180,6115651
Chubu,201405,,,3239,226008,74935,121017,,,,,,,214954,14650,53232,,,192716,,,561597,,,108716,,,,1688679,424273,3680777,3684016,210486,249149,459635,4143651
Hokuriku,201405,,,0,17283,80323,26443,,,,,,,109079,428,1606,,,32119,,,62390,,,70225,,,,255425,117418,772739,772739,17893,48657,66550,839289
Kansai,201405,,,8161,196550,53456,66266,,,,,,,372923,41539,25881,,,239002,,,760831,,,148739,,,,619610,368093,2892890,2901051,352955,360524,713479,3614530
Chugoku,201405,,,11834,89997,38095,38041,,,,,,,225385,51489,26028,,,115536,,,489494,,,125397,,,,369155,100509,1669126,1680960,102285,105720,208005,1888965
Shikoku,201405,,,4489,41689,27055,93257,,,,,,,91188,26712,4395,,,1252,,,72018,,,,,,,145727,52639,555932,560421,7530,39786,47316,607737
Kyushu,201405,,,14223,198520,24928,40533,,,,,,,239116,5317,48352,,,84286,,,258180,,,154069,,,,514908,142511,1710720,1724943,89389,181750,271139,1996082
Okinawa,201405,,,489,8017,0,551,,,,,,,1010,3974,0,,,3674,,,12215,,,521,,,,0,1862,31824,32313,634,36723,37357,69670
Hokkaido,201404,,,8174,89882,,57101,,,,,,,21357,2421,,,,11340,,,65767,,,4940,,,,47585,33049,333442,341616,26083,48237,74320,415936
Tohoku,201404,,,13814,121396,6838,62849,,,,,,,145982,1475,26977,,,71262,,,255855,,,296567,,,,560997,178258,1728456,1742270,107340,178212,285552,2027822
Tokyo,201404,,,14752,460334,32655,203057,,,,,,,784801,51709,45629,,,182190,,,704260,,,298732,,,,1196006,774074,4733447,4748199,434851,938732,1373583,6121782
Chubu,201404,,,3574,219375,68328,132140,,,,,,,210303,13620,51104,,,197795,,,510884,,,109161,,,,1665826,434213,3612749,3616323,201374,240433,441807,4058130
Hokuriku,201404,,,0,16014,79729,24018,,,,,,,107887,446,1567,,,28727,,,67430,,,71828,,,,254294,123270,775210,775210,17559,47175,64734,839944
Kansai,201404,,,9040,184804,56527,63443,,,,,,,360541,39023,25883,,,222512,,,752247,,,152522,,,,615479,381273,2854254,2863294,335515,342221,677736,3541030
Chugoku,201404,,,13032,84431,37289,33743,,,,,,,213099,47419,25020,,,57779,,,492340,,,123673,,,,379384,103873,1598050,1611082,97894,100747,198641,1809723
Shikoku,201404,,,4790,40053,24818,110746,,,,,,,89371,26465,4309,,,1262,,,73783,,,,,,,143001,54439,568247,573037,7377,37781,45158,618195
Kyushu,201404,,,14960,186275,28758,36722,,,,,,,217368,8989,50240,,,83377,,,245688,,,145370,,,,498125,147811,1648723,1663683,84736,175377,260113,1923796
Okinawa,201404,,,496,7674,0,544,,,,,,,1143,3807,0,,,5226,,,12563,,,513,,,,0,1839,33309,33805,648,36084,36732,70537
Hokkaido,201403,,,7758,92662,,39363,,,,,,,21281,1752,,,,5590,,,64506,,,5150,,,,50486,35637,316427,324185,32921,51430,84351,408536
Tohoku,201403,,,14466,124625,6788,61681,,,,,,,190038,1756,29293,,,80488,,,269680,,,307813,,,,602158,187767,1862087,1876553,125299,179695,304994,2181547
Tokyo,201403,,,15046,438346,25732,209193,,,,,,,806965,55384,46105,,,194162,,,711812,,,304072,,,,1279714,789001,4860486,4875532,482189,948511,1430700,6306231
Chubu,201403,,,3791,216265,67792,128819,,,,,,,213787,15292,54468,,,218214,,,616088,,,114898,,,,1799130,457873,3902626,3906417,223651,258945,482596,4389013
Hokuriku,201403,,,0,16454,82551,26735,,,,,,,116027,613,1808,,,32542,,,68536,,,84306,,,,266755,129829,826156,826156,20344,49932,70276,896432
Kansai,201403,,,9482,185753,50183,68539,,,,,,,366033,39637,26845,,,228843,,,727494,,,158823,,,,655671,399979,2907800,2917282,366368,349552,715920,3633202
Chugoku,201403,,,14321,84861,35125,35984,,,,,,,186881,43614,27849,,,62589,,,510921,,,127991,,,,391476,109218,1616509,1630830,108001,105318,213319,1844149
Shikoku,201403,,,4758,38617,21442,99311,,,,,,,96565,26227,4532,,,1382,,,72795,,,,,,,149933,54600,565404,570162,8222,39772,47994,618156
Kyushu,201403,,,16121,182050,27113,30696,,,,,,,221956,8994,51565,,,85890,,,241258,,,148856,,,,531316,155167,1684861,1700982,91645,180262,271907,1972889
Okinawa,201403,,,458,6768,0,417,,,,,,,1082,2887,0,,,6187,,,13694,,,544,,,,0,1620,33199,33657,586,34925,35511,69168
Hokkaido,201402,,,7231,83098,,27180,,,,,,,20291,0,,,,5018,,,40853,,,4632,,,,47989,32667,261728,268959,32719,47564,80283,349242
Tohoku,201402,,,13041,114396,6438,55768,,,,,,,178864,1664,25318,,,67835,,,219174,,,281169,,,,561464,172235,1684325,1697366,118576,167729,286305,1983671
Tokyo,201402,,,12946,417648,23389,193603,,,,,,,685697,46446,44861,,,181973,,,654310,,,275102,,,,1270765,763065,4556860,4569806,461959,942685,1404643,5974450
Chubu,201402,,,3816,193655,65602,122603,,,,,,,196515,13938,52596,,,205270,,,565850,,,107855,,,,1712498,442235,3678617,3682433,204731,248578,453309,4135742
Hokuriku,201402,,,0,14675,76533,23965,,,,,,,112922,441,1842,,,24402,,,65245,,,84321,,,,251836,127196,783378,783378,20125,46681,66806,850184
Kansai,201402,,,8726,166414,45870,62004,,,,,,,327011,34822,25216,,,205395,,,720510,,,147728,,,,622888,375266,2733124,2741850,347549,317924,665473,3407323
Chugoku,201402,,,13358,75444,30102,36741,,,,,,,202490,46046,26326,,,61540,,,490919,,,124832,,,,373343,98574,1566357,1579715,97163,101398,198561,1778276
Shikoku,201402,,,4514,34247,23078,92725,,,,,,,82556,23522,4395,,,1625,,,70410,,,,,,,140031,51601,524190,528704,7933,37961,45894,574598
Kyushu,201402,,,14750,163456,23540,27197,,,,,,,207304,6327,46505,,,75089,,,239756,,,133819,,,,490365,144226,1557584,1572334,86151,168725,254876,1827210
Okinawa,201402,,,457,7127,0,437,,,,,,,1145,1227,0,,,5568,,,11155,,,475,,,,0,1443,28577,29034,637,30075,30712,59746
Hokkaido,201401,,,7185,88413,,28450,,,,,,,22113,0,,,,5876,,,37279,,,4712,,,,49146,33008,268997,276182,38184,51942,90126,366308
Tohoku,201401,,,14942,121360,6308,63182,,,,,,,175191,1931,25043,,,73642,,,254437,,,298891,,,,577407,174283,1771675,1786617,133044,184522,317566,2104183
Tokyo,201401,,,13440,417712,25432,190909,,,,,,,785310,45879,43413,,,182018,,,644456,,,277804,,,,1239956,703034,4555923,4569364,513484,967463,1480946,6050310
Chubu,201401,,,3676,200793,71831,128389,,,,,,,200147,15140,52429,,,206266,,,485684,,,105104,,,,1749213,435348,3650344,3654020,227642,262003,489645,4143665
Hokuriku,201401,,,0,15185,79140,24926,,,,,,,114495,366,1846,,,23637,,,65335,,,84232,,,,260026,127466,796654,796654,21709,51503,73212,869866
Kansai,201401,,,8408,172016,45405,60917,,,,,,,340931,39351,24617,,,215123,,,774192,,,154143,,,,640082,362040,2828817,2837225,384036,348458,732494,3569719
Chugoku,201401,,,13247,77931,30069,38238,,,,,,,207294,46420,26096,,,72696,,,515007,,,131950,,,,376444,99905,1622050,1635297,108128,108557,216685,1851982
Shikoku,201401,,,4693,34967,27960,96215,,,,,,,83494,26873,4332,,,1464,,,77357,,,,,,,142679,51344,546685,551378,8739,41455,50194,601572
Kyushu,201401,,,14990,166154,29879,28552,,,,,,,219585,6367,44303,,,79705,,,228444,,,135067,,,,498479,138069,1574604,1589594,96138,183261,279399,1868993
Okinawa,201401,,,498,8005,0,471,,,,,,,1231,4244,0,,,3467,,,12621,,,462,,,,0,1366,31867,32365,647,32112,32759,65124
Hokkaido,201312,,,7838,92680,,27252,,,,,,,21482,0,,,,5790,,,46124,,,4659,,,,47832,34438,280257,288095,32409,52567,84976,373071
Tohoku,201312,,,15490,127893,6760,57132,,,,,,,158094,1711,26240,,,74230,,,268698,,,295689,,,,570367,179901,1766715,1782205,124150,183670,307820,2090025
Tokyo,201312,,,14955,435698,27918,200579,,,,,,,840539,44953,43726,,,201073,,,700457,,,287453,,,,1258179,755648,4796224,4811179,497432,959484,1456917,6268096
Chubu,201312,,,3917,214046,71795,127134,,,,,,,210666,16626,52811,,,210362,,,505295,,,106900,,,,1675343,432409,3623387,3627304,225994,262983,488977,4116281
Hokuriku,201312,,,0,16009,79899,22080,,,,,,,111265,520,1707,,,29048,,,65814,,,78877,,,,256056,126399,787674,787674,20966,53356,74322,861996
Kansai,201312,,,8696,183582,46833,62135,,,,,,,337370,39466,24904,,,217889,,,693203,,,152416,,,,651965,368493,2778256,2786952,377063,360283,737346,3524298
Chugoku,201312,,,13724,82497,31479,35107,,,,,,,212067,51824,24423,,,59061,,,498823,,,133427,,,,380721,102516,1611945,1625669,108819,108091,216910,1842579
Shikoku,201312,,,5021,39119,27467,102871,,,,,,,87009,26761,4511,,,1362,,,74959,,,,,,,141847,54224,560130,565151,8652,41020,49672,614823
Kyushu,201312,,,15436,186342,24136,29010,,,,,,,236470,9231,47319,,,88983,,,227192,,,136004,,,,506623,147872,1639182,1654618,95942,183181,279123,1933741
Okinawa,201312,,,466,8275,0,478,,,,,,,1097,4038,0,,,6383,,,13785,,,504,,,,0,1921,36481,36947,653,32389,33042,69989
Hokkaido,201311,,,7933,97432,,39602,,,,,,,23111,2911,,,,9277,,,82165,,,4836,,,,50138,35465,344937,352870,29398,50962,80360,433230
Tohoku,201311,,,14949,127222,6998,63395,,,,,,,139950,1582,27032,,,78757,,,262971,,,277375,,,,575106,181289,1741677,1756626,112284,176712,288996,2045622
Tokyo,201311,,,14937,452951,28428,203173,,,,,,,849054,43237,47287,,,201270,,,718356,,,299456,,,,1262187,780108,4885506,4900443,454523,954984,1409506,6309949
