Company,Year_term,Liabilities and equity_Noncurrent liabilities (M.JPY),Liabilities and equity_Bonds payable (M.JPY),Liabilities and equity_Long-term loans payable (M.JPY),Liabilities and equity_Long-term accrued liabilities (M.JPY),Liabilities and equity_Lease obligations (M.JPY),Liabilities and equity_Long-term debt to affiliates &c. (M.JPY),Liabilities and equity_Provision for retirement benefits (M.JPY),Liabilities and equity_Reserve for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for preparation for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for restoration costs from natural desasters (M.JPY),Liabilities and equity_Reserve for desimantling NPPs (M.JPY),Liabilities and equity_Reserve for loss from discontinued NPP operations (M.JPY),Liabilities and equity_Provision for loss on natural disaster (M.JPY),Liabilities and equity_Provision for loss on investment (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Provision for directors' retirement benefits (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Asset retirement obligations (M.JPY),Liabilities and equity_Putting off tax debt (M.JPY),Liabilities and equity_Other noncurrent liabilities (M.JPY),Liabilities and equity_Current liabilities (M.JPY),Liabilities and equity_Current portion of noncurrent liabilities (M.JPY),Liabilities and equity_Short-term loans payable (M.JPY),Liabilities and equity_Commercial papers (M.JPY),Liabilities and equity_Accounts payable-trade (M.JPY),Liabilities and equity_Accounts payable-other (M.JPY),Liabilities and equity_Accrued expenses (M.JPY),Liabilities and equity_Accrued taxes (M.JPY),Liabilities and equity_Deposits received (M.JPY),Liabilities and equity_Short-term debt to subsidiaries and affiliates (M.JPY),Liabilities and equity_Other advances (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for possible loss on support of affiliates (M.JPY),Liabilities and equity_Reserve for restoration costs of natural disaster (M.JPY),Liabilities and equity_Provision for directors' bonuses (M.JPY),Liabilities and equity_Asset retirement obligations2 (M.JPY),Liabilities and equity_Reserves under the special laws (M.JPY),Liabilities and equity_Reserve for fluctuations of water levels (M.JPY),Liabilities and equity_Reserve for the depreciation of NPP construction (M.JPY),Liabilities and equity_Total Liabilities (M.JPY),Liabilities and equity_Shareholders' equity (M.JPY),Liabilities and equity_Capital stock (M.JPY),Liabilities and equity_Capital surplus (M.JPY),Liabilities and equity_Legal capital surplus (M.JPY),Liabilities and equity_Other capital surplus (M.JPY),Liabilities and equity_Retained earnings (M.JPY),Liabilities and equity_Legal retained earnings (M.JPY),Liabilities and equity_Other retained earnings (M.JPY),Liabilities and equity_Reserve for overseas investment loss (M.JPY),Liabilities and equity_Reserve for special disaster (M.JPY),Liabilities and equity_Reserve for adjustment of cost fluctuations (M.JPY),Liabilities and equity_Reserve for depreciatopn of Tomari NPP Unit 3 (M.JPY),Liabilities and equity_Reserve for depreciatopn of Higashiniigata PS #4-2 (M.JPY),Liabilities and equity_General reserve (M.JPY),Liabilities and equity_Retained earnings brought forward (M.JPY),Liabilities and equity_Treasury stock at cost (M.JPY),Liabilities and equity_Valuation and translation adjustments (M.JPY),Liabilities and equity_Net unrealized holding gain on securities (M.JPY),Liabilities and equity_Deferred gains/losses on hedging instruments (M.JPY),Liabilities and equity_Subscription rights to shares (M.JPY),Liabilities and equity_Total Shareholders' equity/Net assets (M.JPY),Liabilities and equity_Total (M.JPY)
Chugoku,1994,1651564,858279,632890,1223,,,55086,59736,,,25538,,,,,,,,,,3059,480946,115451,143217,,29228,33895,69927,35511,20229,29645,2824,,,,,,,,,2132511,,183126,,19076,,,34933,,63,,57000,,,33000,,,,,,,392219,2524730
Shikoku,1994,854806,359943,363255,6,,,28333,59252,,,29612,,,,,,,,,,14401,236388,103161,50000,,8144,5101,28617,21074,7990,11619,374,,,,,,,,,1091195,,145551,,35140,,,23384,,45,,45000,,,5000,,,,,,,321368,1412563
Kyushu,1994,2551725,1121430,1124189,4434,,3,86428,139644,,,56470,,,,,,,,,,795,809926,207972,279000,20000,23104,41888,117578,58181,8879,40362,12087,,,,,,,,,3361652,,237303,,31086,,,44917,,71,,100300,,,15000,,,,,,,580182,3941834
Okinawa,1994,239682,5000,226417,,,,8265,,,,,,,,,,,,,,,38636,15678,,,2902,8806,4916,1036,256,4824,214,,,,,,,,,278319,,7364,,7364,,,409,,,,9000,,,26000,,,,,,,52823,331142
Hokkaido,1993,799952,375726,371886,1,,,22664,16151,,,8871,,,,,,,,,,1232,270669,93222,95250,,8790,9797,27905,18489,9196,7279,680,,,,,,6215,6215,,1076836,,114291,,20825,,,19686,,69,,12500,,,11500,,,,,,,237807,1314643
Tohoku,1993,2002043,1130551,763006,,,11,57859,18180,,,9061,,,,,,,,,,3990,696112,165107,245998,,51578,57861,80768,27274,19943,46341,1233,,,,,,11042,11042,,2709198,,249560,,28373,,,45140,,106,,103000,,,18000,,,,,,,555944,3265142
Tokyo,1993,9201929,4212174,3807002,4489,,10,162400,584467,,,170053,,,,,,,,,,82897,2274892,714829,707708,,103823,266261,253262,102079,4031,102437,18186,,,,,,22480,22480,,11499302,,670415,,25031,,,129480,,332,,295200,,,37000,,,,,,,1399085,12898388
Chubu,1993,3544787,1897592,1259578,13388,,,106341,130083,,,39346,,,,,,,,,,,1018511,267816,382882,,44212,96193,97696,46259,22697,51544,9184,,,,,,19696,19696,,4582995,,369583,,15531,,,70892,,202,,273000,,,23000,,,,,,,893380,5476376
Hokuriku,1993,878603,448730,392362,609,,,27921,2997,,,1220,,,,,,,,,,29,216297,78146,68498,6500,13876,9560,23833,7358,382,7026,1094,,,,,,16611,16611,,1111512,,117640,,33992,,,19817,,63,,51500,,,9500,,,,,,,282889,1394401
Kansai,1993,3874947,1548847,1504312,6645,,,105116,323295,,,110544,,,,,,,,,,2917,1227934,352582,468700,,45980,63783,137073,55097,2997,84565,17046,,,,,,26793,26793,,5129675,,484781,,69999,,,92043,,238,,207000,,,35000,,,,,,,1074340,6204016
Chugoku,1993,1538796,770906,620197,1313,,,53836,50949,,,22899,,,,,,,,,,2942,451585,122405,141717,,23644,35939,55150,24431,19217,25969,1885,,,,,,4480,4480,,1994862,,183126,,19076,,,33103,,93,,57000,,,33000,,,,,,,388294,2383157
Shikoku,1993,891150,423124,357437,11,,,27177,52255,,,26522,,,,,,,,,,4621,205936,45475,50000,,10341,41634,26420,10387,7562,13501,458,,,,,,4064,4064,,1101151,,145551,,35140,,,22001,,67,,45000,,,5000,,,,,,,322299,1423451
Kyushu,1993,2418985,1100478,1037788,2915,,8,84460,123431,,,50497,,,,,,,,,,1075,799482,215445,299000,20000,19129,74485,99861,22367,8419,32926,7159,,,,,,7032,7032,,3225500,,237303,,31086,,,42556,,105,,100300,,,15000,,,,,,,559199,3784700
Okinawa,1993,221721,5000,208465,,,,8255,,,,,,,,,,,,,,,48430,13660,,,2832,19011,5286,1466,275,2122,3774,,,,,,,,,270152,,7364,,7364,,,329,,,,9000,,,23500,,,,,,,51839,321991
Hokkaido,1992,805635,367486,390784,3,,,22490,12520,,,6593,,,,,,,,,,1847,272350,99881,95250,,7788,9273,21894,20730,8783,6807,1888,,,,,,5606,5606,,1083592,,114046,,20580,,,18596,,92,,12500,,,,,,,,,,230681,1314273
Tohoku,1992,1750349,963161,682461,4,,1,54856,17581,,,7842,,,,,,,,,,5059,645818,151789,245998,,45322,40130,69484,37599,18316,35895,1280,,,,,,6854,6854,,2403022,,249560,,28373,,,42636,,157,,103000,,,18000,,,,,,,545192,2948214
Tokyo,1992,8588843,3691931,3774652,5210,,8,150057,555180,,,148661,,,,,,,,,,84706,2285174,756486,696208,,111106,227205,258243,108402,3437,106718,15383,,,,,,15595,15595,,10889612,,670414,,25030,,,122768,,826,,295200,,,37000,,,,,,,1404230,12293843
Chubu,1992,3296821,1768731,1177686,3564,,1,98154,116400,,,33825,,,,,,,,,,,1010065,252896,368344,,44320,122009,90580,42203,21676,55765,12244,,,,,,15335,15335,,4322221,,369583,,15531,,,67188,,356,,273000,,,23000,,,,,,,904172,5226394
Hokuriku,1992,822756,420652,369058,715,,,27173,286,,,92,,,,,,,,,,29,250337,75791,83082,,16341,28052,26672,12284,345,7448,318,,,,,,15039,15039,,1088133,,117632,,33983,,,18726,,85,,51500,,,9500,,,,,,,285365,1373499
Kansai,1992,3689284,1551930,1353385,9977,,,97249,305387,,,91207,,,,,,,,,,6877,1276385,392937,488700,,46118,63946,125741,51448,2531,70688,34183,,,,,,19373,19373,,4985043,,484781,,69999,,,87184,,603,,207000,,,35000,,,,,,,1072636,6057679
Chugoku,1992,1414466,684228,593041,973,,,50363,47188,,,20223,,,,,,,,,,2695,442068,139717,128717,,29548,26324,47226,26454,18177,22132,3077,,,,,,2345,2345,,1858880,,183125,,19075,,,31272,,126,,57000,,,33000,,,,,,,390002,2248882
Shikoku,1992,775968,378314,295369,18,,30,25798,49279,,,24244,,,,,,,,,,2913,210116,77795,50000,,11092,12086,23175,16271,7092,12252,311,,,,,,2433,2433,,988518,,145551,,35140,,,20617,,91,,45000,,,5000,,,,,,,312535,1301053
Kyushu,1992,2249169,1060299,928303,3836,,29,81846,110497,,,44297,,,,,,,,,,1729,752970,192570,291000,,29085,55103,92989,43802,8310,35148,4209,,,,,,2295,2295,,3004434,,237303,,31086,,,40195,,234,,100300,,,15000,,,,,,,543405,3547839
Okinawa,1992,190151,5000,177116,,,,8035,,,,,,,,,,,,,,,59951,11596,,,3207,22177,4824,2440,309,5559,9823,,,,,,,,,250103,,7364,,7364,,,250,,,,9000,,,20500,,,,,,,49468,299571
Hokkaido,1991,815695,358542,416971,6,,,22078,8662,,,4444,,,,,,,,,,1081,276993,113384,95250,,7337,7533,21508,17973,8482,5095,381,,,,,,2988,2988,,1095677,,114046,,20580,,,17506,,117,,12500,,,,,,,,,,225260,1320938
Tohoku,1991,1522678,809324,617027,4,,13,53411,16775,,,6739,,,,,,,,,,2,600443,121972,236998,,51232,41755,65840,34003,17308,28429,2691,,,,,,9913,9913,,2133035,,249560,,28373,,,40133,,225,,103000,,,18000,,,,,,,524077,2657112
Tokyo,1991,7966520,3169911,3725427,6520,,12,141136,528136,,,116495,,,,,,,,,,100446,2244238,765429,708208,,129661,158409,256050,94490,2988,108781,16801,,,,,,18777,18777,,10229537,,670414,,25030,,,116056,,1527,,295200,,,37000,,,,,,,1397594,11627131
Chubu,1991,3049988,1587131,1132325,4904,,,94059,104437,,,28673,,,,,,,,,,,941829,199233,358620,,52937,93248,93417,61638,21373,47916,13422,,,,,,18307,18307,,4010125,,369583,,15531,,,63484,,561,,273000,,,23000,,,,,,,886188,4896313
Hokuriku,1991,742718,383367,327895,834,,,25830,,,,,,,,,,,,,,12,217315,67710,83082,,13469,11059,22091,15212,318,3869,500,,,,,,19093,19093,,979126,,117617,,33968,,,17635,,108,,51500,,,9500,,,,,,,273766,1252893
Kansai,1991,3598992,1453844,1384351,11757,,,90709,305387,,,71004,,,,,,,,,,8668,1263006,358303,538700,,42803,54796,115022,68937,2175,61843,20276,,,,,,25819,25819,,4887818,,484781,,69999,,,82324,,1138,,207000,,,35000,,,,,,,1043275,5931094
Chugoku,1991,1329505,588011,613893,1163,,,48493,43686,,,15937,,,,,,,,,,2565,430918,149533,124717,,28487,18370,40859,30803,17560,18417,1504,,,,,,4792,4792,,1765217,,183125,,19075,,,29442,,159,,57000,,,18000,,,,,,,383500,2148717
Shikoku,1991,693558,316322,280929,25,,30,24614,49279,,,19293,,,,,,,,,,3063,216190,69307,67500,,9369,13521,20068,17862,6781,10999,725,,,,,,3370,3370,,913119,,145551,,35140,,,19233,,127,,45000,,,5000,,,,,,,301565,1214685
Kyushu,1991,2088383,954062,891116,4020,,68,74204,105956,,,38258,,,,,,,,,,2367,682169,180017,279000,,21720,48666,74703,36256,8430,28807,3971,,,,,,6630,6630,,2777184,,237303,,31086,,,37835,,421,,100300,,,15000,,,,,,,528503,3305687
Okinawa,1991,147177,5000,134362,,,,7814,,,,,,,,,,,,,,,50355,9603,,,3607,20498,3844,3572,245,4203,4779,,,,,,,,,197532,,7364,,7364,,,170,,,,9000,,,17000,,,,,,,46040,243572
Hokkaido,1990,869960,366368,466783,10,,,24097,5592,,,2389,,,,,,,,,,639,251877,102832,75450,,8441,16550,21917,13381,8435,3774,654,,,,,,4559,4559,,1126397,,113960,,20494,,,16428,,155,,12500,,,,,,,,,,226590,1352988
Tohoku,1990,1335833,655257,585845,3,,1,51257,16775,,,5554,,,,,,,,,,799,599294,160279,224998,,32050,28890,71569,34792,17477,26441,2632,,,,,,4301,4301,,1939429,,249081,,27895,,,37645,,303,,103000,,,18000,,,,,,,499605,2439035
Tokyo,1990,7403807,2701356,3651866,7836,,12,133162,528136,,,84447,,,,,,,,,,118547,2283006,876203,617563,,139275,225340,223371,87276,4130,96819,9349,,,,,,11752,11752,,9698566,,670410,,25026,,,109358,,2426,,295200,,,37000,,,,,,,1389396,11087963
Chubu,1990,2759953,1360403,1069561,11889,,1,91075,104437,,,24124,,,,,,,,,,,984649,252327,358620,,55636,119767,89383,32548,21820,49738,4786,,,,,,10414,10414,,3755017,,369582,,15530,,,59793,,798,,273000,,,36000,,,,,,,861374,4616391
Hokuriku,1990,653794,302407,319131,935,,,25273,,,,,,,,,,,,,,12,226365,79153,83082,,15401,12644,21842,8814,312,4546,566,,,,,,16008,16008,,896168,,116988,,33341,,,16557,,146,,51500,,,9500,,,,,,,264181,1160350
Kansai,1990,3543584,1392470,1423931,6887,,,85105,305387,,,51631,,,,,,,,,,4900,1226360,278275,588728,,61666,59366,112667,50611,2757,60104,11474,,,,,,14793,14793,,4784738,,484780,,69998,,,77480,,1968,,207000,,,35000,,,,,,,1019185,5803923
Chugoku,1990,1309124,542547,646932,1000,,,47886,42331,,,11305,,,,,,,,,,1367,451905,157704,138717,,30195,13694,41916,33400,17559,15474,1542,,,,,,4124,4124,,1765154,,183125,,19075,,,27622,,206,,57000,,,18000,,,,,,,371036,2136191
Shikoku,1990,642988,275033,276086,32,,30,23708,49611,,,14399,,,,,,,,,,4086,214564,74774,67500,,10710,11753,19349,13657,6870,9234,695,,,,,,1790,1790,,859343,,145551,,35140,,,17860,,323,,45000,,,5000,,,,,,,291329,1150673
Kyushu,1990,1928620,803696,894313,3406,,92,72738,105956,,,27893,,,,,,,,,,233,717205,193316,304000,,26469,48343,73518,33052,8966,24973,3787,,,,,,2258,2258,,2648083,,236322,,30106,,,35489,,743,,100300,,,15000,,,,,,,511393,3159477
Okinawa,1990,112386,,104966,,,,7420,,,,,,,,,,,,,,,31422,8954,,,3992,6678,3583,2477,326,4938,471,,,,,,,,,143808,,7364,,7364,,,88,,,,9000,,,13000,,,,,,,42108,185917
Hokkaido,1989,883546,357118,492204,15,,,23501,3279,,,,,,,,,,,,,760,238900,96723,70650,,10511,7816,21810,17412,8598,4400,832,,,,,,1959,1959,,1124405,,113321,,19856,,,15361,,235,,12500,,,-,,,,,,,222433,1346838
Tohoku,1989,1230263,556476,579252,944,,10,52165,16010,,,,,,,,,,,,,1,570584,169022,224998,,28710,16649,50475,41429,16952,20319,1751,,,,,,5290,5290,,1806138,,246812,,29327,,,35182,,445,,103000,,,18000,,,,,,,487548,2293687
Tokyo,1989,7186468,2470994,3679851,9132,,12,125439,528136,,,,,,,,,,,,,137732,2051055,794253,512826,,100975,206447,213489,114581,7124,88088,10043,,,,,,10408,10408,,9247932,,657112,,37992,,,102727,,3539,,295200,,,37000,,,,,,,1396457,10644389
Chubu,1989,2517743,1175785,1010703,19450,,,89176,104437,,,,,,,,,,,,,-,871268,218077,333620,,47542,65524,85486,47943,22969,47473,2174,,,,,,10143,10143,,3399155,,361580,,21991,,,56141,,1348,,273000,,,36000,,,,,,,865855,4265010
Hokuriku,1989,565877,263977,267318,1051,,,25135,-,,,,,,,,,,,,,12,211727,73693,73082,,15781,9249,20613,14602,465,3439,701,,,,,,15791,15791,,793396,,115814,,32167,,,15492,,228,,51500,,,9500,,,,,,,254511,1047908
Kansai,1989,3327854,1241865,1382527,6980,,,80937,305387,,,,,,,,,,,,,1830,1249583,282904,588728,,47588,61935,119222,68729,2970,68764,7341,,,,,,13125,13125,,4590563,,477193,,76803,,,72683,,3071,,207000,,,35000,,,,,,,1010232,5600796
Chugoku,1989,1335149,539912,682884,1043,,,48739,36483,,,,,,,,,,,,,1243,438630,146821,149817,,28524,10255,39632,30939,18441,10931,1182,,,,,,1943,1943,,1775723,,182283,,18233,,,25822,,418,,57000,,,18000,,,,,,,365812,2141535
Shikoku,1989,614001,241678,285565,39,,26,23489,47951,,,,,,,,,,,,,5384,181670,59896,55000,,7531,8785,17451,16164,7451,8931,264,,,,,,460,460,,796132,,145551,,35140,,,16500,,627,,45000,,,5000,,,,,,,281632,1077765
Kyushu,1989,1877376,754340,905293,2561,,679,72020,100684,,,,,,,,,,,,,1719,658999,185602,279139,,19342,36473,60624,38141,8964,26461,3374,,,,,,3419,3419,,2539795,,235349,,29133,,,33169,,1121,,100300,,,15000,,,,,,,499638,3039434
Okinawa,1989,87893,,80930,,,,6963,,,,,,,,,,,,,,,26335,9564,4000,,3345,1349,3159,2426,252,2083,153,,,,,,,,,114229,,7364,,7364,,,,,,,9000,,,9000,,,,,,,38586,152815
Hokkaido,1988,902784,356578,508526,21,,,21793,444,,,,,,,,,,,,,687,237205,108961,49850,,8581,25574,20393,9693,9614,3862,361,,,,,,,,,1139990,,108750,,15285,,,14318,,284,,12500,,,,,,,,,,211726,1351717
Tohoku,1988,1330233,600412,627129,1081,,,56693,14675,,,,,,,,,,,,,,452291,168751,111400,,24341,15127,44725,34775,17351,19887,13930,,,,,,5076,5076,,1787601,,243404,,25919,,,32753,,530,,94000,,,18000,,,,,,,478033,2265635
Tokyo,1988,7129752,2385709,3754329,10448,,10,120276,483639,,,,,,,,,,,,,166307,1733171,688134,406300,,80215,149641,191953,101632,13041,78878,12053,,,,,,3002,3002,,8865926,,656500,,37380,,,96162,,4558,,255200,,,37000,,,,,,,1386652,10252579
Chubu,1988,2386471,1135128,1032353,24450,,1,88670,96684,,,,,,,,,,,,,,748203,200167,230000,,42657,60535,79249,55871,25543,45109,6537,,,,,,4208,4208,,3138882,,361580,,21991,,,52525,,1697,,242000,,,36000,,,,,,,858789,3997671
Hokuriku,1988,535143,233051,260086,1204,,,23771,,,,,,,,,,,,,,12,158806,60455,41132,,14382,9439,18751,10228,639,2862,108,,,,,,12148,12148,,706097,,111531,,27887,,,14450,,276,,51500,,,9500,,,,,,,240853,946951
Kansai,1988,3264692,1265281,1507090,3091,,,78612,295484,,,,,,,,,,,,,1533,1124922,354386,394428,,40055,51737,101311,43944,71024,56210,8174,,,,,,6601,6601,,4396216,,476044,,75654,,,67936,,4058,,194000,,,35000,,,,,,,999146,5395363
Chugoku,1988,1432517,576655,745652,2211,,,49661,30902,,,,,,,,,,,,,899,362855,116975,116211,,23251,16268,36524,17473,19928,11270,880,,,,,,1589,1589,,1796961,,179484,,15433,,,24048,,605,,50000,,,18000,,,,,,,360603,2157565
Shikoku,1988,584877,203547,300575,46,,26,22251,46332,,,,,,,,,,,,,7061,173469,78696,38500,,5541,6683,14817,12854,8000,7083,547,,,,,,,,,758347,,145551,,35140,,,15154,,909,,43000,,,5000,,,,,,,276441,1034789
Kyushu,1988,1903938,729995,964042,2568,,1136,71269,92717,,,,,,,,,,,,,2767,540296,186446,152900,,18676,53617,58240,32979,11087,21612,2368,,,,,,4310,4310,,2448546,,231170,,24957,,,30884,,1475,,83400,,,15000,,,,,,,488362,2936908
Okinawa,1988,72420,,65719,,,,6700,,,,,,,,,,,,,,,28015,10436,,,3310,3883,3196,3429,371,3117,228,,,,,,,,,100436,,7364,,7364,,,,,,,6000,,,6000,,,,,,,33732,134168
Hokkaido,1987,940614,402592,512545,3145,,,21611,,,,,,,,,,,,,,671,171714,64270,43850,,11936,8316,20433,8976,9404,3968,244,,,,,,,,,1112329,,101029,,7564,,,13308,,315,,11000,,,,,,,,,,183571,1295901
Tohoku,1987,1395709,697361,625283,1684,,8,59865,11344,,,,,,,,,,,,,83,390597,123496,119000,,23335,12296,34510,30881,15908,20400,8640,,,,,,,,,1786306,,242973,,25489,,,30327,,581,,67000,,,18000,,,,,,,468493,2254800
Tokyo,1987,7021188,2546084,3738639,11741,,22,117963,418414,,,,,,,,,,,,,188022,1541295,524617,433700,,69076,125978,169480,108980,14795,71808,12059,,,,,,,,,8562483,,656500,,37379,,,89597,,5144,,185200,,,37000,,,,,,,1332843,9895327
Chubu,1987,2296178,1122866,985792,24231,,,82929,80121,,,,,,,,,,,,,,647072,133339,215000,,40989,75369,71475,37263,24378,44387,2407,,,,,,,,,2943250,,361580,,21991,,,48909,,1901,,206000,,,36000,,,,,,,823912,3767163
Hokuriku,1987,503161,255055,223028,1329,,,23691,,,,,,,,,,,,,,8,128886,41689,24750,,13644,8906,18382,11143,6944,2408,224,,,,,,7827,7827,,639875,,100000,,16365,,,13455,,300,,46000,,,9500,,,,,,,211473,851348
Kansai,1987,3119264,1331241,1446133,1237,,,73636,265206,,,,,,,,,,,,,1254,1030125,254313,426428,,35408,45834,99624,39230,65226,52958,6971,,,,,,,,,4149389,,475876,,75486,,,63190,,4703,,129000,,,35000,,,,,,,977647,5127037
Chugoku,1987,1397968,594315,726617,3157,,,46852,25684,,,,,,,,,,,,,1245,368734,95550,122111,,22106,34058,31518,27550,19633,10579,413,,,,,,,,,1766703,,176252,,12202,,,22287,,711,,42000,,,18000,,,,,,,340708,2107412
Shikoku,1987,580047,213464,301939,53,,26,20966,38499,,,,,,,,,,,,,5050,154699,56013,36000,,6534,8490,17180,13187,8031,6848,1349,,,,,,,,,734746,,143604,,33274,,,13821,,1097,,35000,,,5000,,,,,,,266683,1001430
Kyushu,1987,1830322,741905,936561,1948,,1182,70950,75419,,,,,,,,,,,,,2274,499650,161036,141500,,19847,41669,61239,29664,11798,28684,2016,,,,,,4665,4665,,2334637,,226471,,20262,,,28618,,1705,,52200,,,15000,,,,,,,465954,2800592
Okinawa,1987,70861,,64500,,,,6360,,,,,,,,,,,,,,,24659,10850,,,2991,2320,3855,2084,388,1907,215,,,,,,,,,95520,,7364,,7364,,,,,,,5000,,,2000,,,,,,,27569,123089
Hokkaido,1986,872383,364447,482876,4385,,,20224,,,,,,,,,,,,,,424,177929,77031,34400,,9320,8301,18003,14911,9256,2573,3804,,,,,,,,,1050313,,101000,,7534,,,12298,,320,,6500,,,,,,,,,,168462,1218775
Tohoku,1986,1458778,763437,622224,2253,,,61586,9046,,,,,,,,,,,,,189,419669,121007,115800,,29530,12734,34793,51434,15355,20393,16382,,,,,,5610,5610,,1884059,,242400,,24915,,,27902,,582,,37000,,,18000,,,,,,,440606,2324665
Tokyo,1986,6685236,2304629,3697806,13062,,14,118374,338472,,,,,,,,,,,,,212726,1740583,620693,418475,,70178,178066,150948,190456,16271,68053,19055,,,,,,,,,8425819,,656500,,37379,,,83032,,5446,,75200,,,37000,,,,,,,1260288,9686108
Chubu,1986,2007352,937383,892880,25850,,1,83966,67050,,,,,,,,,,,,,100,761769,178524,188000,,39954,97016,63795,118255,23963,43877,6055,,,,,,,,,2769121,,361580,,21991,,,45293,,2000,,91000,,,36000,,,,,,,790827,3559948
Hokuriku,1986,462946,208777,228982,1461,,,23691,,,,,,,,,,,,,,8,131183,48311,19050,,13698,6942,17521,13730,6750,2662,1726,,,,,,16586,16586,,610716,,100000,,16364,,,12470,,298,,34000,,,9500,,,,,,,204608,815325
Kansai,1986,2882529,1207608,1362656,1678,,,72777,236754,,,,,,,,,,,,,773,1100373,308928,370428,,35013,67571,89928,105678,60432,50523,8670,,,,,,13338,13338,,3996241,,466899,,66037,,,58512,,5174,,52000,,,35000,,,,,,,887885,4884126
Chugoku,1986,1332471,574824,682908,3813,,,48197,21034,,,,,,,,,,,,,1645,376942,107231,111386,,28912,48414,30853,14902,18754,11325,1360,,,,,,,,,1709413,,176002,,11952,,,20525,,740,,33000,,,18000,,,,,,,324203,2033617
Shikoku,1986,610224,230073,320906,60,,26,23891,34040,,,,,,,,,,,,,1203,161655,59206,35400,,6793,9231,17262,15119,8466,7477,1998,,,,,,,,,771879,,110368,,12268,,,12613,,1231,,23000,,,5000,,,,,,,248015,1019895
Kyushu,1986,1756681,711290,905918,2766,,1461,67793,64245,,,,,,,,,,,,,3166,484239,155164,129500,,16259,46497,55594,44010,11601,21088,2278,,,,,,,,,2240921,,226464,,20254,,,26353,,1851,,24400,,,15000,,,,,,,444252,2685173
Okinawa,1986,76062,,69923,,,,6138,,,,,,,,,,,,,,,27624,11628,,,3133,1987,3132,6027,365,1076,232,,,,,,,,,103686,,14728,,,,,,,,,,,,,,,,,,,22500,126186
Hokkaido,1985,817731,329960,462776,4415,,,20367,,,,,,,,,,,,,,210,177322,85407,30200,,10171,6753,16818,13066,8884,2067,3586,,,,,,,,,995054,,100000,,8534,,,11298,,322,,4000,,,,,,,,,,152355,1147409
Tohoku,1985,1500888,781305,652843,2818,,4,56955,6525,,,,,,,,,,,,,435,449939,162067,130000,,33184,8442,34711,32972,14828,18091,13133,,,,,,,,,1950828,,240000,,27315,,,25502,,566,,17000,,,18000,,,,,,,411279,2362107
Tokyo,1985,6502955,2274599,3660668,11495,,14,120821,197214,,,,,,,,,,,,,238141,1732567,614594,426420,,94953,118883,148643,186390,49228,59669,22776,,,,,,,,,8235523,,650000,,43879,,,76532,,5581,,16500,,,37000,,,,,,,1135894,9371417
Chubu,1985,1871055,885923,822859,23151,,,79229,59891,,,,,,,,,,,,,,673443,199058,161000,,54369,37113,63306,87587,23170,38446,6371,,,,,,,,,2544499,,358000,,25571,,,41713,,2061,,47000,,,36000,,,,,,,665741,3210240
Hokuriku,1985,434838,195982,212282,1332,,,24089,,,,,,,,,,,,,,1151,131451,42895,18050,,16797,7509,15457,19591,6433,2636,1178,,,,,,19516,19516,,585807,,100000,,16364,,,11494,,291,,22000,,,9500,,,,,,,191199,777006
Kansai,1985,2786089,1183488,1356483,2385,,,67338,174613,,,,,,,,,,,,,1779,1057264,327067,369228,,35896,31367,75991,111421,57043,35225,9782,,,,,,28492,28492,,3871847,,455876,,63752,,,53932,,5358,,15000,,,35000,,,,,,,786173,4658020
Chugoku,1985,1194995,486272,643867,3812,,,45690,14162,,,,,,,,,,,,,1189,373339,109087,104925,,32171,26508,33480,33815,17702,10854,79,,,,,,,,,1568334,,174260,,13694,,,18782,,740,,21000,,,18000,,,,,,,302134,1870469
Shikoku,1985,608669,234939,321052,67,,26,22358,29045,,,,,,,,,,,,,1179,175574,74615,35400,,8264,6096,15417,19529,8162,6153,1127,,,,,,,,,784243,,106110,,7556,,,11538,,1297,,15000,,,5000,,,,,,,177677,961921
Kyushu,1985,1648619,662409,871861,1927,,26,66934,45272,,,,,,,,,,,,,186,470955,168492,120140,,23937,30242,52602,40916,11866,17427,3052,,,,,,,,,2119574,,224222,,22496,,,24110,,1872,,7600,,,15000,,,,,,,420318,2539892
Okinawa,1985,85443,,79616,,,,5826,,,,,,,,,,,,,,,22695,11450,,,2249,1119,2993,3336,359,811,318,,,,,,,,,108138,,14728,,,,,,,,,,,,,,,,,,,14842,122981
Hokkaido,1984,798939,326345,448680,4628,,,19076,,,,,,,,,,,,,,208,166576,73523,30600,,14367,7756,16299,9781,8666,1817,3337,,,,,,,,,965515,,100000,,8534,,,10298,,310,,3500,,,,,,,,,,141469,1106984
Tohoku,1984,1515564,792684,649269,10297,,4,57750,4897,,,,,,,,,,,,,658,438883,132384,126000,,42652,26243,32759,38930,15576,13375,8540,,,,,,1379,1379,,1955826,,240000,,27315,,,23102,,757,,7000,,,18000,,,,,,,392115,2347942
